key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_!cr_skaven_unit_dumping_ground
cr_skv_burrowing_behemoth	0	0	100	350	7.0000	axe	creatures_claws	medium	6	1.5000	1.0000	0.0000	false		0	10	2.0		false
cr_skv_chimaerat	0	20	145	310	9.0000	axe	creatures_claws	large	8	1.1000	1.0000	0.0000	false		0	10	1.8		false
cr_skv_giant_rat	0	0	6	4	1.0000	sword	creatures_claws		1	1.0000	1.0000	0.0000	false		0	10	2.15		false
cr_skv_stormfiend_brazierfists	0	0	115	170	6.0000	axe	axe	medium	6	0.9000	1.0000	1.0000	true	cr_unit_contact_warpfumes	0	10	1.9		false
cr_skv_stormfiend_doomflayer_gauntlet	0	16	115	170	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	false		0	10	1.9		false
cr_skv_stormfiend_doomflayer_gauntlet_scartorn	0	16	115	170	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	1.9		false
cr_skv_stormfiend_grinderfists	0	0	80	205	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	true		0	10	1.9		false
cr_skv_stormfiend_ratling_gun	0	0	100	145	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	false		0	10	1.9		false
cr_skv_stormfiend_shock_gauntlet	0	0	170	115	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	true	cr_unit_contact_shocking_revelation	0	10	1.9		false
cr_skv_stormfiend_warpfire	0	0	70	160	6.0000	axe	axe	medium	6	0.9000	1.0000	0.0000	false		0	10	1.9		false
