key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_@ror_series_compilation
deco_backstabbers	0	7	21	10	1.0000	axe	axe		1	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	2.3		false
deco_bhagar	25	0	140	380	5.0000	axe	club_huge	large	10	1.7000	1.0000	0.0000	false		0	10	1.5		false
deco_bonebreakers_axe	0	0	16	44	1.0000	axe	axe	medium	4	1.0000	1.0000	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	2.0		false
deco_bouncers	0	12	12	24	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	2.0		false
deco_burning_dark	0	0	14	34	2.0000	axe	hammer		1	1.0000	1.0000	10.0000	false		0	10	2.15		false
deco_doombringer	0	0	250	450	6.0000	axe	club_huge	large	11	1.7000	2.0000	0.0000	false		0	10	2.0		false
deco_drillaz	0	0	28	10	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.0		false
deco_emerald	0	12	22	57	2.0000	sword	sword_medium	medium	4	1.0000	1.0000	0.0000	true		0	10	1.9		false
deco_frik	10	0	26	8	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false	wh_main_unit_contact_poison	0	10	2.15		false
deco_grof_riders	0	0	30	12	1.0000	lance	spear		1	1.0000	0.5000	0.0000	false		0	10	2.55		false
deco_grokkamobs	0	6	15	25	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.25		false
deco_kinslayers	25	0	15	45	1.0000	axe	axe		1	1.0000	1.2500	0.0000	true		0	10	2.15		false
deco_magma_beasts	0	0	75	20	2.0000	axe	club_medium	medium	4	1.0000	1.2500	10.0000	false		0	10	2.0		false
deco_ravenspears	0	0	7	23	1.0000	spear	spear		4	1.0000	0.5000	0.0000	false		0	10	2.25		false
deco_royal_chariot	0	16	32	14	5.0000	axe	creatures_claws	very_large	3	1.0000	1.2500	0.0000	false		2	2	2.0		false
deco_soulskulls	0	0	22	8	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	2.2		false
deco_underworld	0	10	110	270	4.0000	axe	creatures_claws	medium	5	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	1.85		false
deco_white_reavers	16	0	8	22	1.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	2.8		false
ror_beast_gibberkin	0	0	130	25	2.0000	sword	creatures_claws	medium	6	1.3000	1.0000	0.0000	true		0	10	1.9		false
ror_beast_gulmoth	30	0	35	80	2.0000	axe	axe	medium	3	1.2000	1.2500	0.0000	true		0	10	2.0		false
ror_beast_inmates	0	6	22	7	1.0000	sword	sword		1	1.0000	1.2500	0.0000	false		0	10	2.15		false
ror_beast_nashara	0	0	32	12	1.0000	axe	creatures_claws		1	1.0000	1.2500	0.0000	true	wh_dlc06_unit_contact_sundered_armour	0	0	2.0		false
ror_beast_redmaw	10	0	10	25	1.0000	sword	creatures_claws		1	1.0000	0.5000	1.0000	false		0	10	2.15		false
ror_beast_shadowg	0	5	28	11	1.0000	axe	axe		1	1.0000	1.2500	0.0000	false	wh_main_unit_contact_poison	0	10	2.2		false
ror_beast_toxote	0	0	9	30	2.0000	axe	axe	small	5	1.0000	1.2500	0.0000	false		0	10	2.3		false
ror_beast_ymgir	0	0	30	70	2.0000	axe	axe	medium	3	1.4000	1.2500	0.0000	false	wh_dlc08_unit_contact_frostbite	0	10	2.0		false
ror_bret_weap_fastric	0	0	21	40	1.0000	lance	spear	medium	3	1.0000	0.5000	0.0000	true		0	10	2.35		false
ror_bret_weap_flame	22	0	18	11	2.0000	spear	spear		1	1.0000	1.0000	4.0000	false		0	10	2.2		false
