key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_ab_unwashed_masses
gnob_bonechewer_sword	0	0	200	80	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_master_muncher_sword	0	0	205	95	3.0000	sword	sword	medium	5	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_cha_bunsen_the_burna_sword	0	0	210	100	3.0000	sword	sword	medium	5	1.0000	0.7500	10.0000	false		0	10	2.0		false
gnob_bonechewer_chariot	0	30	180	70	5.0000	axe	creatures_claws	very_large	4	1.0000	0.7500	0.0000	false		5	5	2.0		false
gnob_master_muncher_chariot	0	30	185	85	5.0000	axe	creatures_claws	very_large	4	1.0000	0.7500	0.0000	false		5	5	2.0		false
gnob_lucky_gits_sword	0	0	21	6	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
gnob_manbiter_flail	0	5	11	25	1.0000	axe	flail		5	1.0000	1.0000	0.0000	false		0	10	2.15		false
gnob_rhinox_riders	0	20	55	125	5.0000	axe	axe	very_large	6	1.0000	1.0000	0.0000	false		4	2	1.9		false
gnob_yhetees	0	0	30	70	2.0000	axe	axe_medium	medium	4	1.0000	1.2500	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	1.7		false
gnob_ogrebiter_spear	18	0	9	29	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.0		false
gnob_gnoblar_duals	0	5	17	4	1.0000	axe	axe		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
gnob_scalded_horde_spear_poison	0	0	17	4	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false	gnob_unit_contact_poison_toxic	0	10	2.0		false
gnob_gorespittles_sword_sunder	0	0	17	4	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	2.0		false
gnob_gnoblags_manbiters_duals	0	10	14	28	1.0000	axe	axe		1	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_pigback_riders	15	0	17	4	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.0		false
gnob_knights_of_pigbarter	0	0	6	21	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.0		false
gnob_powder_sniffers_sword	0	0	17	4	1.0000	sword	sword		1	1.0000	0.7500	10.0000	false		0	10	2.15		false
gnob_pigback_riders_javelin	0	0	17	4	2.0000	sword	sword		1	1.0000	0.5000	0.0000	false		0	10	2.0		false
gnob_bragg_the_gutsman_poleaxe	0	25	160	340	7.0000	axe	axe	medium	6	1.0000	1.2500	0.0000	false		0	10	2.0		false
gnob_bloodnose_sword	0	0	240	120	3.0000	sword	sword	medium	3	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_bloodnose_sabretusk	0	0	255	145	3.0000	sword	sword	medium	3	1.0000	0.7500	0.0000	false		0	10	2.15		false
gnob_woodbelly_hammer	0	0	120	240	3.0000	axe	club	large	4	1.0000	1.0000	0.0000	false		0	2	2.0		false
gnob_gnobbo_sword	0	0	275	145	3.0000	sword	sword	medium	6	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_gnobbo_sabretusk	0	0	285	155	3.0000	sword	sword	medium	4	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_head_honcho_spear	15	0	260	140	3.0000	spear	spear	medium	8	1.0000	0.5000	0.0000	false		0	10	2.0		false
gnob_head_honcho_spear_rhinox	0	20	140	260	5.0000	spear	spear	very_large	6	1.0000	1.0000	0.0000	false		5	5	2.0		false
gnob_head_honcho_spear_pigback	15	0	260	140	3.0000	spear	spear	medium	8	1.0000	0.5000	0.0000	false		0	10	2.25		false
gnob_woodbelly_hammer_pigback	0	0	120	240	3.0000	axe	club	large	4	1.0000	1.0000	0.0000	false		0	2	2.25		false
gnob_rustbucket_great_weapon	0	0	9	25	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	2.15		false
gnob_rustbucket_handweapon	0	0	25	7	1.0000	axe	axe		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
gnob_king_bezos_mace	15	0	150	280	3.0000	axe	club	medium	8	1.0000	1.0000	0.0000	false		0	10	2.0		false
gnob_scrapper_rhinox_draught_chariot	0	20	80	160	5.0000	axe	axe	very_large	4	1.0000	1.0000	0.0000	false		5	5	2.0		false
gnob_sabretusk_riders	0	0	35	15	2.0000	sword	creatures_claws	small	2	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_torch_gnoblar_sword	0	0	240	80	3.0000	sword	sword	medium	5	1.0000	1.5000	10.0000	false		0	10	2.0		false
gnob_ror_kings_treasure_guards	0	0	30	15	1.0000	sword	unarmed	small	2	1.0000	0.7500	0.0000	false		0	10	2.0		false
gnob_mon_lava_spider_fangs	0	0	12	25	3.0000	knife	creatures_claws		1	1.0000	0.2500	10.0000	false	wh_main_unit_contact_morale	0	10	2.0		false
