key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_archer_fuyuanshan_faction
wh3_main_cth_fuyuanshan_rider	0	0	130	310	5.0000	lance	spear	medium	8	1.0000	1.2500	0.0000	false		0	10	1.5		false
wh3_main_cth_fuyuanshan_human	30	0	240	160	3.0000	spear	halberd	medium	8	1.0000	1.2500	0.0000	false		0	10	1.5		false
f_cth_scout_sword	0	5	20	10	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	1.25		false
f_cth_sky_keeper_halberd	30	0	45	70	4.0000	lance	halberd_medium	large	4	1.0000	1.0000	0.0000	true		0	10	2.0		false
f_cth_langya_club	0	8	15	30	0.0000	axe	club_medium		2	1.0000	2.0000	0.0000	false	ability_steelcharge	0	10	2.0		false
jade_general_human	30	0	250	150	3.0000	spear	halberd	medium	8	1.5000	0.7500	0.0000	false		0	10	2.0		false
jade_general_longma	30	0	150	250	3.0000	spear	halberd	medium	8	1.5000	0.7500	0.0000	false		0	10	2.0		false
jade_general_unicorn	30	0	200	200	3.0000	spear	halberd	medium	8	1.0000	0.7500	0.0000	true		0	10	2.0		false
jade_banner	0	0	0	0	3.0000	spear	halberd	medium	8	1.0000	0.7500	0.0000	true		0	10	2.0		false
cth_mon_yaksha	0	0	150	400	9.0000	sword	sword_huge	large	12	1.0000	1.2500	1.0000	true		0	10	1.7		false
fuyuanshan_xinwu	0	0	240	400	9.0000	sword	sword_huge	large	8	1.0000	0.7500	1.0000	true		0	10	2.0		false
cth_fys_firelance	0	0	21	9	1.0000	lance	spear		4	1.2000	3.0000	1.0000	false	contact_blast	0	10	1.95		false
