key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_dominion
dom_aeronaught	0	0	20	6	1.0000	knife	unarmed		1	1.0000	0.2500	0.0000	false		0	10	2.15		false
dom_baron_0	0	15	130	315	3.0000	sword	sword_medium	medium	7	1.5000	0.7500	0.0000	true		0	10	2.0		false
dom_baron_01	0	20	165	400	5.0000	axe	axe	medium	7	1.8000	1.0000	1.0000	true		0	10	1.9		false
dom_baron_02	0	20	185	435	5.0000	axe	axe_huge	large	8	1.0000	0.7500	0.0000	false		0	10	2.0		false
dom_battle_mage_01	0	0	30	20	3.0000	sword	sword	medium	2	1.0000	0.7500	0.0000	true		0	10	2.0		false
dom_bulwark_0	0	0	40	80	3.0000	sword	sword_medium	medium	3	1.0000	0.7500	1.0000	true		0	10	1.9		false
dom_bulwark_01	0	0	30	50	2.0000	sword	sword_medium	medium	3	1.0000	0.7500	1.0000	true		0	10	1.9		false
dom_carryall_0	0	0	20	6	3.0000	axe	spear	very_large	4	1.0000	1.0000	0.0000	false		2	2	2.0		false
dom_flame_tank	0	15	75	182	4.0000	axe	unarmed	very_large	6	1.0000	0.7500	1.0000	false		3	3	2.0		false
dom_heavy_tank	0	20	70	180	4.0000	axe	unarmed	very_large	6	1.0000	0.7500	1.0000	false		4	4	2.0		false
dom_light_tank	0	15	50	120	4.0000	axe	unarmed	very_large	4	1.0000	1.2500	0.0000	false		4	4	2.0		false
dom_magus_0	0	0	220	100	0.0000	sword	sword	medium	10	1.0000	0.7500	1.0000	true		0	10	2.0		false
dom_magus_01	0	0	220	200	0.0000	sword	sword	medium	10	1.0000	0.7500	1.0000	true		0	10	2.0		false
dom_pillbox	0	30	102	195	4.0000	axe	axe_huge	very_large	7	1.0000	0.7500	0.0000	false		4	1	2.15		false
dom_quad_cannon_crew	0	0	20	20	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	2.0		false
dom_snipers	0	0	15	20	1.0000	sword	sword		1	1.0000	0.5000	0.0000	true		0	10	2.0		false
dom_soldat_0	16	0	21	7	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.2		false
dom_soldat_01	0	0	23	8	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
dom_valium_0	0	0	140	330	3.0000	sword	sword	medium	7	2.0000	0.7500	1.0000	true		0	10	2.0		false
dom_valium_sled	0	30	130	320	5.0000	axe	axe_huge	very_large	4	1.8000	0.7500	0.0000	true		4	4	2.0		false
dom_vol_legion_01	15	0	19	6	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.2		false
dom_vol_legion_02	0	0	21	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.1		false
dom_vol_legion_03	0	0	21	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
dom_vol_legion_04	0	0	21	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
ksl_cavernbear_rider	23	0	25	35	3.0000	lance	halberd	medium	3	1.0000	0.5000	0.0000	false		0	10	2.0		false
ksl_cavernbear_rider_2	23	0	33	77	3.0000	lance	halberd	medium	3	1.0000	0.5000	0.0000	true		0	10	2.0		false
ksl_champion	0	0	68	28	2.0000	axe	axe	medium	3	1.4000	0.7500	0.0000	true		0	10	2.0		false
ksl_charger	0	0	15	18	1.0000	axe	axe	small	1	1.0000	1.0000	0.0000	false		0	10	2.0		false
ksl_eclipse	0	0	12	27	1.0000	axe	axe	small	1	1.0000	1.0000	1.0000	true		0	10	1.9		false
ksl_heavyrifle	0	0	15	25	1.0000	axe	axe	small	1	1.0000	1.0000	0.0000	false		0	10	2.0		false
ksl_lightrifle	0	0	10	26	1.0000	axe	axe	small	1	1.0000	1.0000	0.0000	false		0	10	1.9		false
ksl_magneticsentinel	0	0	160	450	7.0000	spear	sword_huge	large	12	1.0000	0.5000	2.0000	true		0	10	2.0		false
ksl_paladin1hs	0	0	40	15	1.0000	sword	sword		1	1.0000	0.5000	0.0000	false		0	10	2.0		false
ksl_paladin2hs	0	16	20	27	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
ksl_runemech	0	0	135	315	13.0000	sword	sword_huge	large	8	1.0000	0.7500	0.0000	true		0	10	2.0		false
ksl_urbem_eversorem	0	0	150	400	6.0000	axe	sword_huge	very_large	10	1.2500	0.7500	2.0000	true		0	10	2.0		false
ksl_vanguard	0	0	26	10	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	2.0		false
ogr_battlerooks	0	5	30	70	3.0000	sword	sword_medium	medium	3	1.0000	0.7500	0.0000	false		0	10	1.9		false
ogr_rookcans	0	0	20	45	2.0000	sword	sword_medium	medium	3	1.0000	0.7500	0.0000	false		0	10	1.9		false
ogr_royalrook	0	0	20	45	2.0000	sword	sword_medium	medium	3	1.0000	0.7500	0.0000	false		0	10	1.9		false
