key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_froeb_dark_land_orcs
frb_dark_land_bulwarks_ror_weapon	0	0	80	50	2.0000	axe	club	medium	5	1.4000	1.2500	0.0000	false	wh2_dlc17_unit_contact_dazed	0	10	1.95		false
frb_dark_land_bulwarks_weapon	0	0	30	60	2.0000	axe	axe	medium	3	1.4000	1.2500	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	1.95		false
frb_dark_land_drake_ror_weapon	0	0	400	400	9.0000	axe	creatures_claws	large	9	1.0000	1.2500	0.0000	false		0	10	1.9		false
frb_dark_land_drake_weapon	0	0	200	100	7.0000	axe	creatures_claws	large	7	1.0000	1.2500	0.0000	false		0	10	1.9		false
frb_dark_land_orc_boyz_big_uns_weapon	8	0	25	15	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	1.95		false
frb_dark_land_orc_boyz_weapon	0	0	15	20	1.0000	axe	club		1	1.0000	1.0000	0.0000	false		0	10	1.95		false
frb_dark_land_orcs_legendary_hero_weapon	0	0	150	350	3.0000	sword	sword	large	10	1.0000	1.0000	0.0000	false		0	10	1.9		false
frb_dark_land_orcs_legendary_lord_weapon	0	0	150	300	3.0000	sword	sword	medium	8	1.0000	1.0000	0.0000	false		0	10	1.75		false
frb_orc_dragonrider_weapon	0	0	250	150	9.0000	axe	creatures_claws	large	9	1.0000	1.2500	0.0000	false		0	10	1.9		false
frb_scrap_shooters_ror_weapon	10	0	15	35	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	2.25		false
frb_scrap_shooters_weapon	0	0	15	10	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	2.25		false
frb_warboss_lord_weapon	0	0	120	280	3.0000	sword	sword	medium	8	1.0000	1.0000	0.0000	false		0	10	1.75		false
