key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_gra_knightly_orders
wh_main_emp_axe_white_wolf	0	16	15	23	1.0000	axe	axe_2h		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_demigryph_lance_griffon_guard	0	0	20	40	1.0000	lance	spear	small	3	1.6000	0.5000	0.0000	false		0	10	2.35		false
wh_main_emp_demigryph_lance_knights_panther	10	0	20	40	1.0000	lance	spear	small	3	1.6000	0.5000	0.0000	false	wh_main_unit_contact_magic_debuff	0	10	2.35		false
wh_main_emp_demigryph_lance_reiksguard_elite	0	0	20	40	1.0000	lance	spear	small	3	1.6000	0.5000	0.0000	false		0	10	2.35		false
wh_main_emp_greatsword_everlasting_light	0	14	10	25	1.0000	sword	sword		1	1.0000	0.7500	0.0000	true		0	10	2.15		false
wh_main_emp_halberd_black_guard	16	0	10	20	1.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	2.8		false
wh_main_emp_halberd_blazing_sun	16	0	10	20	1.0000	spear	halberd		1	1.0000	0.5000	10.0000	false		0	10	2.8		false
wh_main_emp_halberd_hunters_sigmar	16	7	8	20	1.0000	lance	halberd		1	1.0000	0.5000	0.0000	false		0	10	2.55		false
wh_main_emp_halberd_knights_griffon	16	0	10	20	1.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	2.8		false
wh_main_emp_halberd_reiksguard	16	0	10	20	1.0000	spear	halberd		1	1.0000	0.5000	0.0000	false		0	10	2.8		false
wh_main_emp_hammer_fiery_heart	0	10	7	23	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_hammer_great_white_wolf	0	10	12	26	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_hammer_hammers_sigmar	0	10	9	23	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_hammer_white_wolf	0	10	9	23	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_lance_blazing_sun	0	0	28	12	1.0000	lance	spear		1	1.0000	0.5000	10.0000	false		0	10	2.55		false
wh_main_emp_lance_everlasting_light	0	0	21	9	1.0000	lance	spear		1	1.0000	0.5000	0.0000	true		0	10	2.55		false
wh_main_emp_lance_knights_griffon	0	7	28	12	1.0000	lance	spear		1	1.0000	0.5000	0.0000	false		0	10	2.55		false
wh_main_emp_lance_knights_panther	10	0	28	12	1.0000	lance	spear		1	1.0000	0.5000	0.0000	false	wh_main_unit_contact_magic_debuff	0	10	2.55		false
wh_main_emp_mace_black_rose	0	0	10	20	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_scythe_sacred_scythe	0	7	25	5	1.0000	axe	halberd		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_black_bear	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_broken_sword	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_everlasting_light	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	true		0	10	2.15		false
wh_main_emp_sword_gold_lion	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_hunters_sigmar	8	7	22	6	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_knights_encarmine	0	8	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_knights_raven	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_reiksguard	0	0	21	9	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_shroud_comp	0	15	21	9	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
wh_main_emp_sword_sigmars_blood	0	0	23	7	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
