key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_ovn_dread_king																			
hand_of_nagash_sword_halberd	0	0	150	300	3.0000	spear	halberd	medium	7	1.0000	0.5000	0.0000	true		0	10	2.1500		false
hand_of_nagash_chariot	0	25	150	300	5.0000	axe	claw	very_large	4	1.0000	0.7500	0.0000	true		4	4	2.0000		false
larenscheld_wright_scythe	0	0	0	300	3.0000	axe	staff	medium	7	1.0000	0.5000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	2.0000		false
liche_sword_staff	0	0	250	150	3.0000	sword	sword	medium	8	1.0000	0.7500	0.0000	false		0	10	2.0000		false
2h_axe_centurion	0	25	125	240	3.0000	axe	axe	medium	5	1.4000	1.0000	0.0000	false		0	10	2.0000		false
ovn_dk_skeleton_javelin	0	0	18	4	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.2500		false
ovn_dk_skeleton_hoplites_spear	14	0	21	9	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.2000		false
ovn_dk_skeleton_pikemen_pike	20	0	18	8	3.0000	long_spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.0000		false
mummy_dual_swords	0	8	25	10	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false	contact_phase_mummy_curse	0	10	2.4000		false
mummy_mace	0	0	35	15	1.0000	sword	sword		4	1.0000	0.7500	0.0000	false	contact_phase_mummy_curse	0	10	2.2000		false
ovn_dk_black_grail_knights_lance	23	0	30	44	2.0000	lance	spear	small	3	1.0000	0.5000	0.0000	true		0	10	1.9000		false
ovn_dk_tomb_guardian_sword	0	8	30	12	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.2000		false
ovn_dk_tomb_guardian_great_sword	0	13	15	32	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.1500		false
ovn_dk_tomb_guardian_sword_cavalry	0	12	32	12	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.0000		false
ovn_dk_tomb_guardian_sword_lance	0	0	32	12	1.0000	lance	spear		1	1.0000	0.5000	0.0000	false		0	10	2.0000		false
ovn_dk_skeleton_thessos_ror_spear	14	0	0	30	2.0000	spear	spear		1	1.0000	0.5000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	2.2000		false
dread_skeletal_elephant_tusks	0	20	130	270	8.0000	axe	claw	large	8	1.0000	1.2500	0.0000	false		5	5	1.6000		false
