key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_snek_guns_of_the_empire
wh2_dlc13_snek_emp_munitions_wagon	0	0	20	6	3.0000	axe	unarmed	very_large	4	1.0000	1.2500	0.0000	false		3	2	2.0		false
wh_main_emp_bergjaeger_axe	16	0	23	10	1.0000	axe	axe		1	1.0000	1.2500	0.0000	false		3	10	2.0		false
snek_emp_gote_inf_rocketeers	0	0	20	15	2.0000	sword	sword_medium	medium	3	1.0000	1.0000	0.0000	false		3	10	2.0		false
field_engineer_sword	0	0	21	7	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		3	10	2.1		false
snek_emp_gote_inf_dwarf_crank_gunners	0	0	17	3	1.0000	sword	drakegun		1	1.0000	1.0000	0.0000	false		3	10	2.0		false
wh_main_emp_steamcopter	0	0	50	16	1.0000	axe	unarmed	large	3	1.0000	1.2500	0.0000	false		3	10	1.6		false
wh_main_emp_sword_hybrid_cav	0	0	27	7	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		3	10	2.55		false
wh_main_emp_sword_heavy	0	0	23	9	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		3	10	2.15		false
wh_main_emp_bayonet	8	0	16	12	2.0000	spear	spear		1	1.0000	0.7500	0.0000	false		3	10	1.6		false
wh_main_emp_war_baloon	0	0	20	6	1.0000	axe	unarmed		1	1.0000	1.2500	0.0000	false		3	10	3.0		false
wh_main_emp_dagger	0	0	18	7	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		3	10	2.15		false
wh_main_emp_wooden_stake	15	0	20	8	2.0000	spear	spear		2	1.0000	0.7500	0.0000	false		3	1	0.05		false
snek_mar_landship	0	0	150	125	7.0000	axe	spear_huge	very_large	4	1.0000	1.0000	0.0000	false		6	4	2.0		false
