key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!lost_calm_jurassic_normal
calm_croclion	rat01
calm_solar_beam	heavyquadruped01
calm_turtle_gunner	humanoid07
calm_proto_spitter	feral_proto
calm_skink_culchan_rider	humanoid07
calm_allo_rider	humanoid07b
calm_quatzelotus	dragon04
calm_no_tongue_trog	raptor03b
calm_new_parasaur	calm_parasaur
calm_thunder_lizard	calm_thunder_lizard
calm_ictlamimus	calm_ict_skelly_01
calm_shield_proto	calm_shield_proto
calm_dilophiraptor	calm_dilo
calm_bastiladon_noglo	heavyquadruped01
calm_rex	calm_rex
calm_custodian_prime	calm_custodian
calm_allosaur	calm_allosaur
calm_solar_cannon	heavyquadruped01
calm_nuatl	lizard01
calm_cherupin	heavyquadruped01
calm_apex_lizard	feral_proto
calm_culchan	bigcat02
calm_cerapod_mount	heavyquadruped01
calm_armoured_proto	feral_proto
