key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!calm_animals_for_wood_elves
rory_welf_boar	horse	1.7000	6.5000	5.0000	5.0000	11.6000	45.0000	35.0000	25.0000	1.6000	capsule	0.5000	1100.0000	1.9000	60.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_boar	2.0000	cavalry_effects	15	15	0.0000	false	1.0000	0.8500	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_elk	horse	1.8000	11.1000	6.0000	7.0000	12.4000	35.0000	30.0000	30.0000	1.4000	ellipse	0.5000	1000.0000	1.8500	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_dlc_wef_stag	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_giant_boar	horse	1.7000	7.5000	5.0000	5.0000	11.6000	45.0000	35.0000	25.0000	1.6000	capsule	0.5000	1400.0000	1.9000	60.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_boar	2.0000	cavalry_effects	15	15	0.0000	false	1.0000	0.8500	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_great_stag	horse	1.8000	9.7000	6.0000	7.0000	13.8000	35.0000	30.0000	30.0000	1.4000	ellipse	0.5000	1200.0000	1.8500	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh_dlc_wef_stag	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.3000	1.3000	1.3000	1.0000		false	false
rory_welf_grey_wolf	horse	1.7000	9.2000	6.0000	7.0000	11.9000	45.0000	45.0000	45.0000	1.4000	capsule	0.5000	1300.0000	2.0000	60.0000	120.0000	8	true	true	0.7500	0.0000	0.0000	medium	1.0000	rotation_x	wh_dire_wolve_warhound	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.9000	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_griffon	giant	3.0000	7.4000	6.0000	10.0000	10.2000	35.0000	30.0000	35.0000	2.4000	capsule	0.5000	1650.0000	4.0000	120.0000	100.0000	8	true	true	0.0000	9.0000	13.0000	very_large	1.5000	rotation_x	wh_griffin	6.0000	war_beast_effects	50	50	0.0000	false	1.3000	0.7500	5			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_pegasus	giant	1.6000	7.0000	6.0000	10.0000	10.2000	35.0000	35.0000	35.0000	1.4000	ellipse	0.5000	1000.0000	2.3000	60.0000	120.0000	8	true	true	1.0000	11.0000	13.0000	medium	1.0000	rotation_x	wh_horse_pegasus	0.0000	ethereal_effects	0	0	0.0000	false	1.3000	0.8500	3			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
rory_welf_quest_beast	giant	2.5000	7.6000	6.0000	10.0000	10.8000	35.0000	30.0000	35.0000	2.1000	capsule	0.6500	1500.0000	4.0000	120.0000	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.5000	rotation_x	wh_hippogryph	6.0000	war_beast_effects	50	50	0.0000	false	1.3000	0.8000	4			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	10	very_large_entity	false	0.0000	0.0000	1.0000	1.0000		false	false
rory_welf_tiger	horse	1.5000	7.0000	6.0000	7.0000	11.6000	40.0000	35.0000	35.0000	1.4000	capsule	0.5000	1200.0000	2.0000	60.0000	120.0000	8	true	true	0.7500	0.0000	0.0000	medium	1.0000	rotation_x	wh2_dlc15_war_lion	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.9000	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
