key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!!!!lost_calm_jurassic_normal
calm_croc	giant	3.5000	7.5000	4.5000	6.0000	11.0000	50.0000	40.0000	35.0000	3.8000	capsule	0.3600	2000.0000	3.0000	70.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	wh2_dlc16_brood_horror	6.0000	cavalry_effects	70	60	0.0000	false	1.2500	0.7500	5			0.5000	1.4500	8	false		true	false		-1.0000	-1.0000	20	very_large_entity	true	1.0000	1.0000	1.0000	1.0000		false
calm_stegasaur_artillery	giant	1.6000	5.0000	3.0000	6.0000	9.0000	45.0000	42.0000	30.0000	4.0000	capsule	0.4000	4000.0000	4.2000	30.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh_dlc_dragon_ogre_large	6.0000	giant_effects	80	60	0.0000	false	1.1500	0.7500	5			0.5000	1.4500	10	false		true	false		-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_cherupins	horse	1.4000	3.4000	3.0000	4.0000	4.6000	30.0000	25.0000	25.0000	2.5000	capsule	0.4000	500.0000	2.0000	45.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	rotation	wh_dlc_dragon_ogre_large	6.0000	infantry_light_effects	80	60	0.0000	false	1.0000	0.7500	5			0.5000	1.4500	0	false		true	false		-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_spitter_proto	giant	2.2000	7.5000	5.0000	5.0000	10.0000	45.0000	45.0000	45.0000	0.9000	circle	1.0000	1300.0000	2.6000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	4.0000	monstrous_infantry_effects	15	15	0.0000	false	1.0000	0.8000	3			0.5000	1.4500	0	false		true	false		-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_culchan	horse	2.0000	10.0000	6.5000	7.0000	12.0000	35.0000	30.0000	30.0000	1.5000	ellipse	0.5000	400.0000	1.9000	360.0000	180.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh3_steed_of_slaanesh	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	medium_entity	false	1.8000	1.0000	1.0000	1.0000		false
calm_allosaur	horse	2.0000	8.2000	4.0000	6.0000	10.0000	40.0000	50.0000	50.0000	1.5000	ellipse	0.5000	1800.0000	1.9000	360.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_quatzalotus	giant	3.0000	6.5000	7.0000	7.0000	9.5000	25.0000	20.0000	20.0000	6.2000	capsule	0.3500	3500.0000	5.2000	120.0000	100.0000	8	true	true	1.5000	8.0000	15.0000	very_large	1.0000	rotation_x	wh3_cth_dragon_miao_ying_LORD	8.0000	war_beast_effects	85	85	0.0000	false	0.8000	0.7500	5			0.5000	1.4500	25	false		true	false		-1.0000	-1.0000	20	cathay_dragon_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_pleuridon	giant	3.0000	4.2000	5.0000	7.0000	4.8000	35.0000	30.0000	30.0000	4.3000	capsule	0.5500	5000.0000	4.5000	60.0000	100.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dragon_large_hydra	6.0000	giant_effects	30	30	0.0000	false	1.0000	0.7500	5			0.3000	1.4500	86	false		true	false		-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_pirhajara	man	3.0000	7.0000	10.0000	10.0000	9.0000	35.0000	35.0000	35.0000	0.6000	circle	1.0000	150.0000	1.6000	120.0000	180.0000	8	true	true	1.0000	11.0000	12.0000	small	1.0000	ignore	wh_fell_bat	0.0000	hovering_effects	30	0	0.0000	false	2.0000	0.9000	2			0.0000	1.4500	0	false		true	false		-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_tupilaq	giant	2.5000	7.5000	4.5000	6.0000	10.0000	50.0000	40.0000	35.0000	4.0000	capsule	0.4000	3800.0000	4.7500	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh2_carnosaur	6.0000	giant_effects	95	60	0.0000	false	1.2000	0.7500	5			0.5000	1.4500	8	false		true	false		-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_parasaur	horse	2.0000	8.0000	6.5000	7.0000	9.5000	35.0000	30.0000	30.0000	1.5000	ellipse	0.5000	1600.0000	1.9000	360.0000	180.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	rotation_x	wh3_steed_of_slaanesh	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	5			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	medium_entity	false	1.8000	1.0000	1.0000	1.0000		false
calm_ornisornis	giant	2.0000	6.0000	6.0000	8.0000	7.5000	35.0000	35.0000	35.0000	1.7000	circle	1.0000	1150.0000	2.5000	360.0000	200.0000	8	true	true	1.0000	9.0000	12.0000	large	1.5000	rotation_x	wh2_dlc12_ripperdactyl	3.0000	war_beast_effects	0	0	0.0000	false	0.7000	0.8500	3			0.0000	2.0000	0	false		true	false		-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_vulture	giant	2.2000	7.0000	8.0000	10.0000	10.0000	35.0000	35.0000	35.0000	2.3000	capsule	0.3500	1400.0000	3.0000	120.0000	120.0000	8	true	true	0.0000	8.8000	13.0000	large	1.0000	rotation_x	wh_dlc_manticore	4.0000	war_beast_effects	40	40	0.0000	false	1.2000	0.8000	4			0.0000	1.4500	0	false		true	false		-1.0000	-1.0000	70	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_cerapod	horse	2.0000	6.2000	5.0000	6.0000	9.0000	40.0000	35.0000	30.0000	2.1000	capsule	0.5500	500.0000	2.0000	360.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh3_ksl_warbear	0.0000	cavalry_effects	50	50	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_thunder_lizard	giant	2.2000	5.2000	2.5000	6.0000	6.0000	40.0000	35.0000	35.0000	6.3000	capsule	0.5500	14000.0000	12.0000	60.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	none	6.0000	giant_effects	20	20	0.0000	false	0.9000	0.7500	5			0.5000	1.4500	2	false		true	false		-1.0000	-1.0000	30	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_pachy	giant	1.7000	6.6000	4.5000	5.5000	11.0000	50.0000	40.0000	30.0000	2.4000	capsule	0.5000	1400.0000	3.0000	60.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	large	3.0000	rotation_x	wh3_ogr_mournfang	3.0000	war_beast_effects	35	35	-0.2000	false	1.0000	0.8500	4			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	80	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_ictlamimus	giant	2.5000	7.5000	4.5000	6.0000	10.0000	50.0000	40.0000	35.0000	3.8000	capsule	0.3600	2000.0000	3.0000	70.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation_x	wh2_dlc12_Ancient_salamander	6.0000	giant_effects	70	60	0.0000	false	1.2500	0.7500	5			0.5000	1.4500	8	false		true	false		-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_shield_proto	giant	2.0000	6.0000	3.5000	5.0000	8.0000	40.0000	35.0000	35.0000	1.0000	circle	1.0000	1500.0000	2.8000	60.0000	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	3.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_dilophiraptor	horse	2.0000	8.0000	4.0000	6.0000	10.0000	40.0000	50.0000	50.0000	1.5000	ellipse	0.5000	900.0000	1.9000	360.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_stegasaur	giant	1.6000	5.0000	3.0000	6.0000	9.0000	45.0000	42.0000	30.0000	4.0000	capsule	0.4500	4000.0000	4.2000	60.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh_dlc_dragon_ogre_large	6.0000	giant_effects	80	60	0.5000	false	1.1500	0.7500	5			0.3000	1.4500	0	false		true	false		-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
calm_rex	giant	2.5000	9.0000	6.0000	8.0000	2.5000	9.0000	6.0000	8.0000	8.0000	capsule	0.4000	7000.0000	9.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh2_carnosaur	6.0000	giant_effects	90	70	0.0000	false	1.2000	0.7500	5			0.5000	1.4500	8	false		true	false		-1.0000	-1.0000	45	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
