key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!landmarks_of_legend_wh
feral_arachnarok_blood	giant	3.5000	6.1000	4.3000	6.2000	7.9000	35.0000	30.0000	30.0000	4.9000	capsule	0.7000	4000.0000	8.8000	60.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh_spider_large	7.0000	war_beast_effects	15	15	-1.7000	false	0.9000	0.7500	5			0.2500	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
gleaming_shield_knights_blood	man	2.0000	8.0000	7.0000	7.0000	11.0000	35.0000	30.0000	30.0000	1.4000	ellipse	0.5000	1250.0000	2.0000	360.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	3.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.8500	2			0.5000	1.6000	80	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
laf_vehicle_mining_drill	chariot	1.6000	4.8000	4.0000	6.0000	8.4000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.0000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	very_large	1.6000	rotation	wh_war_machine_steamtank	6.0000	giant_effects	0	0	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
phoenix_rider_blood	man	1.5000	3.6000	3.0000	4.0000	4.4000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	500.0000	2.2000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	58	20	0.0000	false	1.0000	0.9000	1			0.5000	1.6000	1	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
ruin_trolls_blood	giant	1.8000	5.0000	3.8000	4.8000	8.0000	40.0000	35.0000	35.0000	1.1000	circle	1.0000	1600.0000	2.9000	60.0000	100.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_troll	5.0000	monstrous_infantry_effects	20	20	0.0000	false	0.8000	0.7500	3			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	40	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
shadowgor_bestigor_blood	man	1.5000	4.4000	3.5000	4.0000	4.6000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	160.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
shadowgor_blood	man	1.5000	4.4000	3.5000	4.0000	4.6000	35.0000	30.0000	30.0000	0.6000	circle	1.0000	130.0000	1.8000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
sir_baldrin_reliquae_blood	giant	1.8000	4.0000	3.0000	4.0000	7.3000	30.0000	30.0000	30.0000	1.4000	capsule	0.5000	950.0000	2.4000	60.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_dwarf_throne_of_power_LH	3.0000	infantry_effects_noblood	70	70	0.0000	false	1.0000	0.8000	4	wh_main_generic_character_aura		0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
sla_dryads_blood	man	1.5000	5.3000	4.0000	5.0000	6.2000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	140.0000	1.8000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_dlc_wef_dryad	0.0000	infantry_light_effects	0	0	0.0000	true	0.8000	0.9500	1			0.5000	1.6000	122	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
