key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!17C_Deithland_Main
emp_autofalcon	artillery	2.5000	2.5000	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	1.8000	capsule	0.4500	2000.0000	2.1000	50.0000	50.0000	425	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_wood_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		skv_jezzails	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_autofalcon_armored	artillery	2.5000	2.5000	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	1.8000	capsule	0.4500	2000.0000	2.1000	50.0000	50.0000	450	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_metal_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		skv_jezzails	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_cinderbell	artillery	1.7500	1.7500	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	2.6000	capsule	0.4500	2300.0000	2.5000	75.0000	45.0000	500	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_wood_medium	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		emp_steam_tank	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_cinderwind_arbalests	man	1.5000	3.3000	3.2000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_cofferglare	artillery	1.7500	1.7500	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	1.8000	capsule	0.4500	2300.0000	2.5000	50.0000	45.0000	425	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_metal_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		grn_rock_lobber	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_culverin	artillery	2.5000	2.5000	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	2.6000	capsule	0.4500	2000.0000	2.0000	50.0000	45.0000	425	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_wood_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		emp_great_cannon	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_danzigers	man	1.5000	3.5000	3.2000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_deithguard_axelocks	man	1.5000	3.3000	3.0000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_deithguard_blasterkeys	man	1.5000	3.3000	3.0000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_deithguard_shields	man	1.5000	3.3000	3.0000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_drakebiter	artillery	2.8000	2.8000	2.0000	3.0000	2.0000	30.0000	20.0000	20.0000	2.6000	capsule	0.4500	1500.0000	2.0000	50.0000	45.0000	400	true	true	0.0000	0.0000	0.0000	large	1.2000	rotation	wh_war_machine_wood_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		emp_great_cannon	0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false
emp_engelspeers	man	1.5000	3.5000	3.2000	4.5000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	120.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_fumecorps_bayos	man	1.5000	3.3000	3.5000	5.0000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	110.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_gallowdogs	man	1.5000	3.6000	3.5000	5.0000	4.0000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	110.0000	1.8000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
emp_gottzorn	giant	1.5000	1.5000	0.6000	9.0000	7.0000	50.0000	40.0000	40.0000	5.0000	capsule	0.4500	7000.0000	3.0000	40.0000	25.0000	10	true	true	2.5000	0.0000	0.0000	large	0.6000	rotation	wh_war_machine_steamtank	7.0000	artillery_effects	0	0	0.0000	false	1.0000	1.0000	25			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false
