key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	strafe_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_resistance	projectile_penetration_speed_change	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	combat_camera_shake	has_blood	can_dismember	dismember_arms_alive_hp_ratio	dismember_head_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	anim_lod_distance_multiplier	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!derpy_gunpowder_units
derpy_gp_landship	artillery	1.0000	2.8000	1.0000	10.0000	3.0000	0.7000	35.0000	30.0000	30.0000	5.6000	capsule	0.3200	5000.0000	2.0000	360.0000	25.0000	0	true	false	1.5000	0.0000	0.0000	very_large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	-0.2000	false	1.0000	100	0.2500			0.5000	1.4500	3	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
derpy_gp_landship_1	artillery	2.0000	4.5000	2.0000	10.0000	4.0000	0.7000	35.0000	30.0000	30.0000	5.6000	capsule	0.3200	3000.0000	2.0000	360.0000	30.0000	0	true	false	1.5000	0.0000	0.0000	very_large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	-0.2000	false	1.0000	100	0.2500			0.5000	1.4500	3	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
derpy_gp_landship_articulation_fast	chariot	2.0000	6.0000	3.5000	5.0000	8.0000	0.7000	35.0000	30.0000	30.0000	3.0000	capsule	0.6000	5000.0000	3.0000	0.0000	35.0000	0	true	false	1.5000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
derpy_gp_landship_articulation_heavy	chariot	1.0000	2.0000	1.0000	3.0000	3.0000	0.7000	35.0000	30.0000	30.0000	3.0000	capsule	0.6000	5000.0000	3.0000	0.0000	20.0000	0	true	false	1.5000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
derpy_gp_landship_articulation_slow	chariot	1.0000	2.8000	1.0000	5.0000	5.0000	0.7000	35.0000	30.0000	30.0000	3.0000	capsule	0.6000	5000.0000	3.0000	0.0000	25.0000	0	true	false	1.5000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
derpy_gp_landship_articulation_very_fast	chariot	3.0000	6.7000	3.0000	10.0000	10.0000	0.7000	35.0000	30.0000	30.0000	2.0000	capsule	0.3200	1500.0000	3.0000	0.0000	30.0000	0	true	false	1.5000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
derpy_gp_landship_hidden	horse	1.0000	2.8000	1.0000	10.0000	3.0000	0.7000	35.0000	30.0000	30.0000	1.0000	capsule	1.0000	5000.0000	1.0000	360.0000	25.0000	0	true	false	1.5000	0.0000	0.0000	very_large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
derpy_gp_landship_hidden_1	horse	2.0000	6.0000	3.5000	10.0000	8.0000	0.7000	35.0000	30.0000	30.0000	1.0000	capsule	1.0000	3000.0000	1.0000	360.0000	35.0000	0	true	false	1.5000	0.0000	0.0000	very_large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
derpy_gp_landship_hidden_heavy	horse	1.0000	2.0000	1.0000	3.0000	3.0000	0.7000	35.0000	30.0000	30.0000	1.0000	capsule	1.0000	5000.0000	1.0000	360.0000	20.0000	0	true	false	1.5000	0.0000	0.0000	very_large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	100	0.2500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
