key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/!!!dog
cst_jericho_ghostship	giant	1.0000	4.0000	0.5000	2.0000	2.2000	30.0000	25.0000	25.0000	18.0000	capsule	0.2600	4000.0000	19.0000	60.0000	10.0000	8	true	true	0.0000	4.0000	6.0000	very_large	1.0000	rotation	wh_dlc_mortis_engine	0.0000	hovering_effects	40	0	0.0000	false	0.9000	0.8000	4			0.0000	1.4500	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_deathship	chariot	0.5000	4.5000	0.5000	1.5000	5.0000	35.0000	30.0000	30.0000	3.7000	capsule	0.3700	1100.0000	9.0000	40.0000	10.0000	8	true	true	0.0000	0.0000	0.0000	large	0.7000	rotation	wh2_dlc11_cst_war_machine_queen_bess	0.0000	hovering_effects	0	0	0.0000	false	1.0000	0.8000	20			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_deathship_big	man	1.5000	3.0000	3.0000	4.0000	3.8000	30.0000	25.0000	25.0000	0.6000	circle	1.0000	100.0000	1.8000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	rotation	wh_human_male	0.0000	hovering_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_jericho_spectral_cannons	giant	1.0000	4.0000	1.0000	2.0000	5.0000	30.0000	25.0000	25.0000	20.0000	capsule	0.2000	9000.0000	22.0000	360.0000	10.0000	8	true	true	0.0000	4.0000	6.0000	very_large	1.0000	ignore_and_disable_banking	wh_dlc_mortis_engine	0.0000	ethereal_effects	40	0	0.0000	false	0.9000	0.8000	4			0.0000	1.4500	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_medium_ship_2	chariot	1.8000	4.0000	1.0000	2.0000	6.8000	35.0000	30.0000	30.0000	13.0000	capsule	0.2600	5000.0000	10.0000	40.0000	12.0000	8	true	true	2.8000	0.0000	0.0000	large	1.6000	rotation	wh2_dlc11_cst_war_machine_queen_bess	0.0000	hovering_effects	0	0	0.0000	false	1.1000	0.7500	5			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_harkonship_third	giant	1.0000	8.0000	1.0000	2.0000	9.0000	30.0000	25.0000	25.0000	10.0000	capsule	0.2600	7500.0000	11.0000	60.0000	10.0000	8	true	true	0.0000	4.0000	6.0000	very_large	1.0000	rotation	wh2_dlc11_cst_Harkon_LORD	0.0000	hovering_effects	40	0	0.0000	false	0.9000	0.8000	4			0.0000	1.4500	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_boarding	man	1.5000	4.0000	4.0000	5.0000	4.6000	60.0000	55.0000	55.0000	0.5500	circle	1.0000	480.0000	1.6000	360.0000	160.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	none	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_medium_ship	chariot	1.8000	4.0000	1.0000	2.0000	6.8000	35.0000	30.0000	30.0000	13.0000	capsule	0.2600	5000.0000	10.0000	40.0000	12.0000	8	true	true	2.8000	0.0000	0.0000	large	1.6000	rotation	wh2_dlc11_cst_war_machine_queen_bess	0.0000	hovering_effects	0	0	0.0000	false	1.1000	0.7500	5			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_corsairs	man	1.5000	4.0000	3.0000	5.0000	4.6000	30.0000	25.0000	25.0000	0.6500	circle	1.0000	100.0000	1.8000	360.0000	140.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
cst_medium_ship_1	chariot	1.8000	4.0000	1.0000	2.0000	6.8000	35.0000	30.0000	30.0000	13.0000	capsule	0.2600	5000.0000	10.0000	40.0000	12.0000	8	true	true	2.8000	0.0000	0.0000	large	1.6000	rotation	wh2_dlc11_cst_war_machine_queen_bess	0.0000	hovering_effects	0	0	0.0000	false	1.1000	0.7500	5			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
