key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	strafe_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_resistance	projectile_penetration_speed_change	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	combat_camera_shake	has_blood	can_dismember	dismember_arms_alive_hp_ratio	dismember_head_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	anim_lod_distance_multiplier	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!singe_units_wh_all
singe_ancient_razordon_body	giant	2.5000	7.5000	4.5000	6.0000	10.5000	1.0000	50.0000	40.0000	35.0000	3.8000	capsule	0.3600	3700.0000	3.0000	360.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	rotation_x	wh2_dlc12_Ancient_salamander	6.0000	giant_effects	70	60	0.0000	false	1.2500	5	0.7500			0.5000	1.4500	8	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_bm_razorgor_behemoth	giant	2.4000	7.0000	5.0000	5.0000	11.0000	1.0000	50.0000	50.0000	35.0000	5.0000	capsule	0.5000	4700.0000	5.5000	60.0000	160.0000	8	true	true	1.0000	0.0000	0.0000	very_large	rotation_x	wh_boar	2.0000	cavalry_effects	60	50	0.0000	false	1.0000	5	0.8500			0.5000	1.4500	0	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_chaos_gorebeasts	giant	2.4000	7.0000	5.0000	5.0000	11.0000	1.0000	35.0000	40.0000	35.0000	5.0000	capsule	0.5000	2100.0000	5.5000	60.0000	160.0000	530	true	true	1.0000	0.0000	0.0000	very_large	rotation_x	wh_boar	2.0000	cavalry_effects	60	50	0.0000	false	1.0000	5	0.8500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_grn_spider_chariot_record	giant	1.5000	7.6000	6.1000	6.5000	10.6000	1.0000	35.0000	30.0000	30.0000	0.9500	circle	1.0000	1080.0000	1.6000	360.0000	80.0000	8	true	true	2.2000	0.0000	0.0000	large	rotation	wh_grn_wolf_chariot	3.0000	artillery_effects	0	0	-0.0500	false	1.0000	4	0.7500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_grn_spider_chariot_record_articulation	chariot	1.5000	7.6000	6.1000	6.5000	10.6000	1.0000	35.0000	30.0000	30.0000	1.0000	capsule	0.9500	1080.0000	1.6000	360.0000	80.0000	8	true	true	2.2000	0.0000	0.0000	large	rotation	wh2_chariot_articulation_wood	3.0000	artillery_effects	0	0	0.0000	false	1.0000	20	0.7500			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_manticore_body	giant	2.2000	7.0000	8.0000	10.0000	10.0000	1.0000	35.0000	35.0000	35.0000	2.3000	capsule	0.3500	2900.0000	3.0000	120.0000	120.0000	8	true	true	0.0000	8.5000	13.0000	large	rotation_x	wh_dlc_manticore	4.0000	war_beast_effects	50	50	0.0000	false	1.2000	4	0.8000			0.0000	1.4500	0	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_nur_monstrous_toad_entity	giant	2.0000	6.5000	4.0000	4.0000	8.0000	1.0000	30.0000	25.0000	25.0000	2.0000	capsule	0.6000	2700.0000	2.9000	60.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	rotation_x	wh_dlc_squig	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	1	0.9500			0.5000	1.6000	0	false		wh_main_unit_combat	true	false	0.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000	very_large	false	false
singe_sla_exalted_fiend_entity	giant	3.0000	9.5000	5.0000	6.0000	13.0000	3.0000	40.0000	35.0000	35.0000	2.2000	capsule	0.6500	2300.0000	2.9000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	large	rotation_x	wh_dlc_dragon_ogre_small	4.0000	monstrous_infantry_effects	50	30	-0.2000	false	1.0000	4	0.7500			0.5000	1.4500	1	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	40	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
singe_slaanesh_cultist_entity	man	1.5000	4.4000	4.0000	5.0000	5.2000	1.0000	35.0000	30.0000	30.0000	0.6500	circle	1.0000	100.0000	1.8000	60.0000	160.0000	8	true	true	0.0000	0.0000	0.0000	small	ignore	wh_human_female	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	1	0.9000			0.5000	1.6000	0	false		wh_main_unit_combat	true	true	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
