key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale
#battlefield_engines_tables;23;db/battlefield_engines_tables/!!!17C_Deithland_Main
emp_autofalcon	warmachines/engines/emp_autofalcon/emp_autofalcon_destroyed.rigid_model_v2	emp_autofalcon_destruct	Generic_3_Crew	engine_emp_autofalcon	emp_autofalcon_gun	emp_autofalcon	emp_autofalcon									war_machine_metal	all_riders_shooting	1.3500
emp_autofalcon_armored	warmachines/engines/emp_autofalcon_shield/emp_autofalcon_shield_destroyed.rigid_model_v2	emp_autofalcon_armored_destruct	Generic_3_Crew	engine_emp_autofalcon	emp_autofalcon_gun	emp_autofalcon_armored	emp_autofalcon_armored									war_machine_metal	all_riders_shooting	1.3500
emp_cinderbell	warmachines/engines/emp_cinderbell/emp_cinderbell_bess_destroyed.rigid_model_v2	emp_cinderbell_destruct	Generic_3_Crew	engine_emp_cinderbell_bess	emp_cinderbell_cannon	emp_cinderbell	emp_cinderbell									war_machine_metal	all_riders_shooting	1.0000
emp_cofferglare	warmachines/engines/emp_cofferglare/cofferglare_destroyed.rigid_model_v2	emp_cofferglare_destruct	Generic_3_Crew	engine_emp_cofferglare	emp_cofferglare_rocket_big_gun	emp_cofferglare	emp_cofferglare									war_machine_metal	all_riders_shooting	1.5000
emp_culverin	warmachines/engines/emp_culverin/emp_culverin_destroyed.rigid_model_v2	emp_culverin_destruct	Generic_3_Crew	wm_great_cannon01	emp_culverin_cannon	emp_culverin	emp_culverin									war_machine_metal	all_riders_shooting	1.0000
emp_drakebiter	warmachines/engines/emp_drakebiter/drakebiter_destroyed.rigid_model_v2	emp_drakebiter	Generic_3_Crew	wm_great_cannon01	emp_drakebiter_cannon	emp_drakebiter	emp_drakebiter									war_machine_metal	all_riders_shooting	1.0000
emp_gottzorn	warmachines/engines/emp_gottzorn/emp_gottzorn_destroyed.rigid_model_v2	emp_gottzorn_destruct	Generic_No_Crew_Rotate	engine_emp_gottzorn		emp_gottzorn	emp_gottzorn				warmachines/engines/emp_gottzorn/tech					war_machine_metal	all_riders_shooting	1.0000
emp_knellgun	warmachines/engines/emp_knellgun/knellgun_destroyed.rigid_model_v2	emp_knellgun_destruct	Generic_3_Crew	engine_emp_small_cannon	emp_knellgun_cannon	emp_knellgun	emp_knellgun									war_machine_metal	all_riders_shooting	1.0000
emp_mountain_gun	warmachines/engines/emp_mountain_gun/mountain_gun_destroyed.rigid_model_v2	emp_mountain_gun_destruct	Generic_3_Crew	engine_emp_small_cannon	emp_mountain_gun_cannon	emp_mountain_gun	emp_mountain_gun									war_machine_metal	all_riders_shooting	1.0000
emp_vinderbane	warmachines/engines/emp_vinderbane/vinderbane_destroyed.rigid_model_v2	emp_vinderbane_destruct	Generic_3_Crew	engine_emp_vinderbane	emp_vinderbane_gun	emp_vinderbane	emp_vinderbane									war_machine_metal	all_riders_shooting	1.3500
emp_vinderbane_armored	warmachines/engines/emp_vinderbane_shield/vinderbane_shield_destroyed.rigid_model_v2	emp_vinderbane_armored_destruct	Generic_3_Crew	engine_emp_vinderbane	emp_vinderbane_gun	emp_vinderbane_armored	emp_vinderbane_armored									war_machine_metal	all_riders_shooting	1.3500
