key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!1a_glf_unit_expansion
glf_sp_mercenary_rangers	10	wh2_main_leather_30	2100	inf_melee	18	inf_mel	glf_sp_mercenary_units	hu1d_shadow_walkers_dual_sword_bow	wh2_dlc10_hef_infantry_fast_shadow_blood_dismembers	28	24	70	55		0	wh2_dlc15_hef_dual_sword	glf_sp_mercenary_rangers	8	none	glf_sp_mercenary_rangers	wh_dlc05_wef_infantry_skirmish	trained			true	40.0000	1500.0000	glf_sp_mercenary_rangers	60	80	0	vo_sel_default	vo_sel_default	vo_sel_generic_short	1.0000	small_forest_strider	0	8	0	0	0	20	0	0	ranged_harasser_flanker	false	true	false	false	default	default	domination_infantry			skirmish	1.0000	1.0000	false	false
glf_skv_poison_wind_blast	10	wh2_main_heavy_metal_70	2100	inf_ranged	2	inf_mis	wh2_main_unit_long_text_skv_inf_poison_wind_globadiers	skv2_dlc14_weapon_team_mortar01	wh2_main_skv_infantry_heavy_globadiers	24	18	100	400		0	wh2_dlc14_skv_claw		2	none	glf_skv_poison_wind_blast	wh2_main_skv_weaponteam_mortars	trained			true	40.0000	1500.0000	glf_skv_poison_wind_blast	60	80	0	vo_sel_skv_Poisoned_Wind_Mortar	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	20	0	0	melee_flanker_shock	true	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
glf_tmb_ushabti_2handed_axe	10	wh2_dlc10_bone_90	2100	inf_melee	18	inf_mel	wh2_dlc09_tmb_mon_ushabti	glf_hu6e_ushabti_2handed_axe	wh2_dlc09_tmb_mon_ushabti	23	35	50	500		0	glf_tmb_ushabti_2handed_axe		3	none	glf_tmb_ushabti_2handed_axe	wh_main_monstrous_trolls	trained			true	40.0000	1500.0000	glf_tmb_ushabti_2handed_axe	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher	false	true	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
glf_hef_white_lion_riders	10	wh2_main_plate_80	2100	war_beast	48	cav_shk	wh2_main_unit_long_text_hef_inf_white_lions_of_chrace_0	hu1d_elf_hr1_warhorse_halberd	wh_main_cavalry_rider_standard_blood	42	36	75	262	glf_hef_white_lion_riders_mnt_lion	24	glf_hef_white_lion_riders		3	none	glf_hef_white_lion_riders	wh2_main_cavalry_cold_ones	trained			true	40.0000	1500.0000	wh2_dlc15_hef_veh_lion_chariot_of_chrace_0	60	80	0	vo_sel_hef_White_Lions_of_Chrace	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	30	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav			melee	1.0000	1.0000	false	false
glf_skv_stormfiend_rattling_gun	10	wh2_main_heavy_metal_100	2100	inf_ranged	46	inf_mis	glf_skv_stormfiend_rattling_gun	hu18b_stormfiend_rattling_gun	glf_skv_stormfiend_rattling_gun	45	38	60	6500		0	glf_skv_stormfiend_rattling_gun	glf_skv_stormfiend_rattling_gun	1	none	glf_skv_stormfiend_rattling_gun	wh_main_monstrous_infantry	trained			true	40.0000	1500.0000	glf_skv_stormfiend_rattling_gun	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_default	1.0000	large	0	630	0	0	0	0	0	0	ranged_direct_flanker_harasser	true	true	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
glf_sp_mercenary_handgunners	10	wh2_main_chainmail_40	2100	inf_ranged	4	inf_mis	glf_sp_mercenary_units	hu1_empire_sword_rifle	wh_main_infantry_handgunners_blood_dismembers	24	24	60	61		0	wh_main_emp_sword_short	wh_main_emp_rifle	3	none	glf_sp_mercenary_handgunners	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	wh_main_emp_inf_handgunners	60	80	0	vo_sel_handgunners	vo_sel_ranged	vo_sel_culture	1.0000	small	0	30	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
glf_def_elf_slaves	10	wh_main_body_0	2100	inf_melee	16	inf_mel	glf_def_slaves	hu1d_elf_dual_sword	glf_def_elf_slaves	28	18	40	52		0	glf_def_elf_slaves		6	none	glf_def_elf_slaves	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	glf_def_elf_slaves	60	80	0	vo_sel_def_Bleakswords	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
glf_sp_mercenary_halberdiers	10	wh2_main_plate_60	2100	inf_melee	8	inf_mel	glf_sp_mercenary_units	hu1_empire_halberd	wh_main_infantry_standard_blood_dismembers	34	36	70	65		0	wh_main_emp_halberd		6	none	glf_sp_mercenary_halberdiers	wh_main_infantry	trained			true	40.0000	1500.0000	glf_sp_mercenary_halberdiers	60	80	0	vo_sel_halberdiers	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
glf_sp_mercenary_port_guard	10	wh2_main_chainmail_25	2100	inf_ranged	12	inf_mis	glf_sp_mercenary_units	hu1c_wh3_kislev_pistol_axe_and_shield	wh3_main_ksl_inf_kossars	30	28	60	64		0	glf_sp_mercenary_port_guard	wh3_main_ksl_armoured_kossar_pistol_bullet	4	none	glf_sp_mercenary_port_guard	wh3_main_kislev_infantry	trained			true	40.0000	1500.0000	wh3_main_ksl_inf_armoured_kossars_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	aquatic_small	0	12	0	0	0	0	0	0	hybrid_melee	false	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
