key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!ak_teb
teb_enforcers	10	leather_40	2100	war_beast	22	cav_mis	wh_main_unit_long_text_brt_mounted_yeomen_archers	hu1_wh3_kislev_hr1_warhorse_sword_and_bow	wh_main_cavalry_rider_standard_blood	30	22	60	77	wh3_main_ksl_mnt_horse_light	60	teb_enforcers	teb_enforcers	4	none	teb_enforcers	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	wh_guerrilla_hideForest_mountedFireMove	60	80	0	vo_sel_cavalry	vo_sel_missile	vo_sel_culture	1.0000	large	0	20	0	0	0	0	0	0	ranged_harasser_flanker	true	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
teb_montante_greatswords	10	plate_80	2100	inf_melee	18	inf_mel	wh_main_unit_long_text_emp_great_swords	hu1_pr7_felix_2h_sword	wh_main_infantry_standard_blood_dismembers	33	54	70	82		0	wh_main_emp_greatsword		4	none	teb_montante_greatswords	wh_main_infantry	trained			true	40.0000	1500.0000	teb_montante_greatswords	60	80	0	vo_sel_greatswords	vo_sel_melee	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
teb_conqui_royal_guard	10	plate_75	2100	inf_ranged	6	inf_mis	wh_main_unit_long_text_emp_state_troops	hu1_empire_sword_rifle	teb_conqui_royal_guard	32	26	70	65		0	wh_main_emp_sword	teb_royal_guard	3	none	teb_conqui_royal_guard	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	wh_hideForest	60	80	0	vo_sel_handgunners	vo_sel_ranged	vo_sel_ranged	1.0000	small	0	22	0	0	0	0	0	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
teb_galloper	10	leather_20	2100	artillery	5	art_fld	wh_main_unit_long_text_emp_great_cannon	hu1_empire_helstorm_crew	wh_main_infantry_standard_blood_dismembers	10	6	50	92		0	wh_main_emp_sword_short		1	none	teb_galloper	wh_main_artillery	trained		teb_galloper	true	40.0000	1500.0000	wh_dlc06_dwf_art_bolt_thrower_0	60	80	0	vo_sel_artillery	vo_sel_artillery	vo_sel_culture	1.0000	small	0	22	0	0	4	0	0	0	ranged_direct	false	true	false	false	medium	medium	domination_artillery		teb_galloper_gun		1.0000	1.0000	false	false
teb_light_cannon	10	leather_20	2100	artillery	5	art_fld	wh_main_unit_long_text_emp_great_cannon	hu1_empire_helstorm_crew	wh_main_infantry_standard_blood_dismembers	10	6	50	48		0	wh_main_emp_sword_short		5	none	teb_light_cannon	wh_main_artillery_small	trained		light_cannon	true	40.0000	1500.0000	wh_cantRun	60	80	0	vo_sel_great_cannon	vo_sel_artillery	vo_sel_generic	1.5000	small	0	22	0	0	4	0	0	0	ranged_direct	false	false	false	false	medium	medium	domination_artillery		teb_light_cannon		1.0000	1.0000	false	false
teb_encarmine	10	plate_120	2100	cavalry	34	cav_mel	wh_main_unit_long_text_emp_reiksguard	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_cavalry_rider_standard_blood	40	38	68	96	teb_warhorse_encarmine	60	teb_encarmine		4	none	teb_encarmine	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	teb_encarmine	60	80	0	vo_sel_swordsmen	vo_sel_cavalry	vo_sel_cavalry	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
teb_conqui_lancers	10	plate_70	2100	cavalry	48	cav_shk	wh_main_emp_cav_empire_knights	hu1_empire_hr1_warhorse_lance_sword_shield	wh_main_cavalry_rider_standard_blood	24	28	68	88	teb_warhorse_carab	60	wh_main_emp_lance		4	wh_missile_block_30_metal	teb_conqui_lancers	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	wh_hideForest	60	80	0	vo_sel_cavalry	vo_sel_cavalry	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
teb_pavisiers	10	mail_40	2100	inf_ranged	4	inf_mis	wh_main_unit_long_text_emp_state_troops	hu1_empire_sword_crossbow	wh_main_infantry_standard_blood_dismembers	15	22	55	63		0	wh_main_emp_sword_short	teb_crossbow	4	wh_missile_block_60_wood	teb_pavisiers	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	wh_hideForest	60	80	0	vo_sel_crossbowmen	vo_sel_ranged	vo_sel_generic	1.0000	small	0	24	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
teb_pikemen	10	plate_70	2100	inf_melee	6	inf_spr	wh_main_unit_long_text_emp_state_troops	hu1_teb_pike	wh_main_infantry_standard_blood_dismembers	29	40	62	65		0	teb_pike		6	none	teb_pikemen	wh_main_dwf_infantry_standard_shield	trained			true	40.0000	1500.0000	teb_attr_pikes	60	80	0	vo_sel_spearmen	vo_sel_melee	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
teb_half_pikes	10	mail_30	2100	inf_melee	4	inf_spr	wh_main_unit_long_text_emp_state_troops	hu1_teb_pike	wh_main_infantry_standard_blood_dismembers	22	25	60	57		0	teb_half_pikes		6	none	teb_half_pikes	wh_main_dwf_infantry_standard_shield	trained			true	40.0000	1500.0000	teb_attr_pikes	60	80	0	vo_sel_spearmen	vo_sel_melee	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
teb_conqui_riders	10	plate_70	2100	cavalry	24	cav_mis	wh_main_unit_long_text_emp_pistoliers	hu1_empire_hr1_warhorse_sword_and_dual_pistols	wh_main_cavalry_rider_standard_blood	25	14	65	70	teb_warhorse_360_riders	60	wh_main_emp_sword	wh2_dlc13_emp_pistol_noble_sons	3	none	teb_conqui_riders	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_guerrilla_hideForest_mountedFireMove	60	80	0	vo_sel_pistoliers	vo_sel_cavalry	vo_sel_ranged	1.0000	large	0	24	0	0	0	0	0	0	ranged_harasser_flanker	true	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
teb_republican_guard	10	plate_95	2100	inf_melee	12	inf_spr	wh_main_unit_long_text_emp_state_troops	hu1_empire_halberd	wh_main_infantry_slow_blood_dismembers	35	42	74	68		0	teb_halberd_guard		6	none	teb_republican_guard	wh_main_infantry	trained			true	40.0000	1500.0000	wh_main_emp_inf_halberdiers	60	80	0	vo_sel_halberdiers	vo_sel_melee	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
