key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!MOD_red_hef_highborn_elves
wh2_main_hbe_inf_silverhelm_swords	10	wh2_main_plate_90	2100	inf_melee	16	inf_mel	wh2_main_unit_long_text_hef_cav_silver_helms_1	hu1d_elf_sword_and_shield	wh2_main_hef_infantry_blood_dismembers	42	38	72	88		0	wh2_main_hbe_silverhelm_sword		5	wh_missile_block_30_metal	wh2_main_hbe_inf_silverhelm_swords	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_def_inf_bleakswords_0	60	80	10	vo_sel_hef_Silver_Helms	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hbe_inf_silverhelm_spears	10	wh2_main_plate_90	2100	inf_melee	4	inf_mel	wh2_main_unit_long_text_hef_cav_silver_helms_1	hu1d_hef_spear_and_shield	wh2_main_hef_infantry_heavy_blood_dismembers	27	48	72	88		0	wh2_main_hbe_silverhelm_spear		8	wh_missile_block_55_metal	wh2_main_hbe_inf_silverhelm_spears	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_inf_spearmen_0	60	80	0	vo_sel_hef_Silver_Helms	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hbe_inf_white_lions_sword_company	10	wh2_main_plate_80	2100	inf_melee	16	inf_mel	wh2_main_unit_long_text_hef_inf_white_lions_of_chrace_0	hu1d_elf_sword_and_shield	wh2_main_hef_infantry_blood_dismembers	39	35	75	67		0	wh2_main_hbe_white_lions_sword		5	wh_missile_block_55_metal	wh2_main_hbe_inf_white_lions_sword_company	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hbe_inf_white_lions_sword_company	60	80	10	vo_sel_hef_White_Lions_of_Chrace	vo_sel_melee	vo_sel_culture	1.0000	small_forest_strider	0	0	0	0	0	0	30	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_gol_swords	10	wh2_main_plate_85	2100	inf_melee	10	inf_mel	placeholder	hu1d_elf_sword_and_shield	wh2_main_hef_infantry_blood_dismembers	35	40	100	80		0	wh2_main_hbe_gol_sword		7	wh_missile_block_55_metal	wh2_main_hef_gol_swords	wh2_main_inf_2handed_ordered	elite			true	40.0000	1500.0000	wh2_main_def_inf_bleakswords_0	60	80	10	vo_sel_hef_Lothern_Sea_Guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	30	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_highborn_spears	10	wh2_main_plate_60	2100	inf_melee	4	inf_mel	placeholder	hu1d_hef_spear_and_shield	wh2_main_hef_infantry_heavy_blood_dismembers	33	49	80	80		0	wh2_main_hef_spear_silverin_guard		8	wh_missile_block_55_metal	wh2_main_hef_highborn_spears	wh_main_infantry	well_trained			true	40.0000	1500.0000	wh2_main_hef_inf_spearmen_0	60	80	0	vo_sel_hef_Gate_Guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_shadow_warriors	10	wh2_main_leather_45	2100	inf_ranged	18	inf_mis	placeholder	hu1d_glade_lord_sword_and_bow	wh2_main_hef_infantry_fast_blood_dismembers	20	30	80	65		0	wh2_main_hef_sword	wh2_main_hef_longbow_arrow	3	none	wh2_main_hef_shadow_warriors	wh_main_infantry	well_trained			true	40.0000	1500.0000	wh2_dlc10_hef_inf_shadow_walkers_0	60	80	25	vo_sel_hef_Shadow_Warriors	vo_sel_ranged	vo_sel_culture	1.0000	small	0	35	0	0	0	0	15	0	ranged_no_skirmish	true	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_highborn_archers	10	wh2_main_plate_60	2100	inf_ranged	4	inf_mis	placeholder	hu1d_elf_spear_and_shield_bow	wh2_main_hef_infantry_fast_blood_dismembers	22	40	80	80		0	wh2_main_hef_spear_gate_guard	wh2_main_hef_longbow_arrow	6	wh_missile_block_55_metal	wh2_main_hef_highborn_archers	wh_main_infantry_2handed	well_trained			true	40.0000	1500.0000	wh2_main_hef_inf_lothern_sea_guard_1	60	80	20	vo_sel_hef_Gate_Guard	vo_sel_ranged	vo_sel_culture	1.0000	small	0	30	0	0	0	0	0	0	ranged_no_skirmish	true	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_highborn_axes	10	wh2_main_plate_60	2100	inf_melee	22	inf_mel	placeholder	hu1d_def_lord_sword_and_shield	wh2_main_hef_infantry_blood_dismembers	45	20	85	90		0	wh2_main_hbe_greataxe		5	wh_missile_block_55_metal	wh2_main_hef_highborn_axes	wh2_main_hef_infantry_chaotic	well_trained			true	40.0000	1500.0000	wh2_main_def_inf_bleakswords_0	60	80	10	vo_sel_hef_Gate_Guard	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_highborn_knights	10	wh2_main_plate_75	2100	cavalry	66	cav_shk	placeholder	hu1d_elf_hr1_warhorse_lance_sword_shield	wh_main_cavalry_rider_standard_blood	36	30	72	85	wh2_main_hef_mnt_barded_steed	60	wh2_main_hef_lance		5	wh_missile_block_30_metal	wh2_main_hef_highborn_knights	wh_main_cavalry_ordered	well_trained			true	40.0000	1500.0000	wh2_main_hef_cav_silver_helms_1	60	80	10	vo_sel_hef_Silver_Helms	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_cav_shock	false	false	false	false	medium	medium	domination_cav				1.0000	1.0000	false	false
wh2_main_hef_elven_paladins_dismounted	10	wh2_main_plate_100	2100	inf_melee	22	inf_mel	placeholder	hu1d_def_lord_sword_and_shield	wh2_main_hef_infantry_heavy_blood_dismembers	46	37	90	90		0	wh2_main_hbe_greatsword		7	wh_missile_block_55_metal	wh2_main_hef_elven_paladins	wh_main_infantry_2handed	elite			true	40.0000	1500.0000	wh2_main_hef_inf_swordmasters_of_hoeth_0	60	80	0	vo_sel_hef_Dragon_Princes	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	false	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
wh2_main_hef_elven_paladins	10	wh2_main_plate_110	2100	cavalry	80	cav_shk	placeholder	hu1d_elf_hr1_warhorse_lance_sword_shield	wh_main_cavalry_rider_standard_blood	39	33	90	94	wh2_main_hef_mnt_dragon_princes	60	wh2_main_hef_lance_dragon_princes		5	wh_missile_block_35_metal	wh2_main_hef_elven_paladins	wh_main_cavalry_ordered	elite			true	40.0000	1500.0000	wh2_main_hef_cav_dragon_princes	60	80	0	vo_sel_hef_Dragon_Princes	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	70	0	0	25	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
