key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!Mf_Bertrand_Thieves_Honor
brt_aspirant_hoods	15	wh2_main_leather_45	2100	inf_ranged	18	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_huntsmarshal_sword_bow	brtbrg_brt_aspiring_hoods_blood_dismembers	40	35	68	395		0	brt_aspirant_hoods_sword	brt_aspirant_hoods_arrow	2	none	wh_main_unit_short_text_brt_aspirant_hoods	wh2_dlc13_emp_inf_huntsmen	trained			true	40.0000	1500.0000	brt_Faceless_attributes	60	80	0	vo_sel_archers	vo_sel_missile	vo_sel_culture	1.0000	small	0	35	0	0	0	0	0	0	ranged_stalkers_harasser	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
brt_brigand_crossbows	10	wh2_main_leather_30	2100	inf_ranged	4	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_empire_sword_crossbow	wh_main_infantry_standard_light_blood_dismembers	16	18	45	58		0	wh_dlc07_brt_sword	wh_main_emp_crossbow	4	none	wh_main_unit_short_text_brt_brigand_crossbows	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	brt_brigands_attributes	60	80	0	vo_sel_crossbowmen	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
brt_brigand_cutthroats	10	wh2_main_leather_40	2100	inf_melee	22	inf_mel	wh_main_unit_long_text_brt_men_at_arms	hu1_empire_dual_hammer	brtbrg_brt_brigands_fast_blood_dismembers	37	32	62	61		0	brt_brigand_cutthroats_sword		6	none	wh_main_unit_short_text_brt_brigand_cutthroats	wh_main_infantry	trained			true	40.0000	1500.0000	brt_brigand_cutthroats_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_stalkers_flankers	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
brt_brigand_raiders	10	wh2_main_leather_30	2100	cavalry	32	cav_mel	wh_main_unit_long_text_brt_mounted_yeomen	hu1_empire_hr1_warhorse_dual_hammer	wh_main_cavalry_rider_standard_blood	27	26	50	78	wh_main_brt_mnt_warhorse_fast	60	brt_dual_swords_brigands		5	none	wh_main_unit_short_text_brt_brigand_raiders	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	brt_brigands_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
brt_chasseurs	10	wh2_main_leather_30	2100	cavalry	26	cav_mis	wh_main_unit_long_text_brt_mounted_yeomen_archers	hu1_empire_hr1_warhorse_sword_and_bow	wh_main_cavalry_rider_standard_blood	32	26	65	84	wh_main_brt_mnt_warhorse_fast	60	brt_sword_herrimaults	brt_longbow_herrimault	4	none	wh_main_unit_short_text_brt_chasseurs	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	brt_chasseurs_attributes	60	80	10	vo_sel_default	vo_sel_missile	vo_sel_culture	1.0000	large	0	18	0	0	0	0	0	0	ranged_harasser_flanker	true	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
brt_herrimaults	10	wh2_main_leather_30	2100	inf_ranged	12	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_dlc13_huntsman_sword_bow	wh_dlc04_infantry_free_company_blood_dismembers	32	26	65	61		0	brt_sword_herrimaults	brt_longbow_herrimault	4	none	wh_main_unit_short_text_brt_herrimaults	wh2_dlc13_emp_inf_huntsmen	trained			true	40.0000	1500.0000	brt_herrimaults_attributes	60	80	10	vo_sel_archers	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged_stalkers_harasser	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
brt_brigands	10	wh2_main_leather_30	2100	inf_melee	14	inf_mel	wh_main_unit_long_text_brt_men_at_arms	hu1_empire_dual_hammer	wh_main_infantry_standard_blood_dismembers	27	30	50	58		0	brt_dual_swords_brigands		7	none	wh_main_unit_short_text_brt_brigands	wh_main_infantry	trained			true	40.0000	1500.0000	brt_brigands_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
brt_brigand_waylayers	10	wh2_main_leather_40	2100	inf_melee	12	inf_mel	wh_main_unit_long_text_brt_men_at_arms	hu1_men_arms_halberd	brtbrg_brt_brigands_fast_blood_dismembers	31	36	62	61		0	brt_brigand_waylayers_halberd		6	none	wh_main_unit_short_text_brt_brigand_waylayers	wh_main_infantry	trained			true	40.0000	1500.0000	brt_brigand_waylayers_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
brt_brigands_axes	10	wh2_main_leather_30	2100	inf_melee	14	inf_mel	wh_main_unit_long_text_brt_men_at_arms	hu1_bretonnian_2handed_hammer	wh_main_infantry_standard_blood_dismembers	27	26	50	58		0	brt_axe_great_brigands		7	none	wh_main_unit_short_text_brt_brigands_axes	wh_main_infantry	trained			true	40.0000	1500.0000	brt_brigands_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
