key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!The_Gunpowder_Road2.
cth_baizichong	artillery	art_fld	wh3_main_unit_short_text_cth_art_grand_cannon_0	wh3_main_unit_long_text_cth_art_grand_cannon_0	2100	wh3_main_cth_artillery_crew	hu1e_sword	0		cth_paobing	5	50	48	trained	wh2_main_leather_15	none		10	66	wh3_main_cth_peasant_sword	10	2	6	4	cth_baizichong		false	40.0000	1500.0000	wh3_main_cth_art_grand_cannon_0	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	small	0	0	0	0	0	0	ranged_direct_arty	false	false	false	medium	medium	domination_artillery		false	dwf_cannon	artillery	1.0000	1.0000	false	false
cth_dajiangjun_canno	artillery	art_fld	wh3_main_unit_short_text_cth_art_grand_cannon_0	wh3_main_unit_long_text_cth_art_grand_cannon_0	2100	wh3_main_cth_artillery_crew	hu1e_sword	0		cth_paobing	5	50	48	trained	wh2_main_leather_20	none		10	22	wh3_main_cth_peasant_sword	10	2	6	4	cth_dajiangjun_canno		false	40.0000	1500.0000	wh3_main_cth_art_grand_cannon_0	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	small	0	0	0	0	0	0	ranged_direct_arty	false	false	false	medium	medium	domination_artillery		false	dwf_cannon	artillery	1.0000	1.0000	false	false
cth_dilei_fudichongtianlei	inf_ranged	inf_mis	wh3_main_unit_short_text_cth_inf_peasant_spearmen_1	wh3_main_unit_long_text_cth_peasants	2100	wh3_main_cth_juma	hu1e_cth_dilei	0		wh3_main_cth_juma	2	64	500	trained	wh2_main_plate_80	wh_missile_block_80_wood		10	0	wh3_main_cth_jade_warrior_halberd	22	8	38	0			true	40.0000	1500.0000	cth_dilei	60	80	0	vo_sel_cth_peasant_spearmen	vo_sel_melee	vo_sel_culture	0.5000	small	0	0	0	0	0	0	melee_anti_large	false	false	false	medium	medium	domination_infantry_expendable		true		melee	1.0000	1.0000	false	false
cth_dilei_ganglunzifanhuo	inf_ranged	inf_mis	wh3_main_unit_short_text_cth_inf_peasant_spearmen_1	wh3_main_unit_long_text_cth_peasants	2100	wh3_main_cth_juma	hu1e_cth_dilei	0		wh3_main_cth_juma	2	64	500	trained	wh2_main_plate_80	wh_missile_block_80_wood		10	0	wh3_main_cth_jade_warrior_halberd	22	8	38	0			true	40.0000	1500.0000	cth_dilei	60	80	0	vo_sel_cth_peasant_spearmen	vo_sel_melee	vo_sel_culture	0.0100	small	0	0	0	0	0	0	melee_anti_large	false	false	false	medium	medium	domination_infantry_expendable		true		melee	1.0000	1.0000	false	false
cth_huoguigongdiche	artillery	art_fld	cth_pianxiangche_light	cth_pianxiangche_light	2100	wh3_main_cth_pinfengche_crew	hu1e_sword	0		cth_pinfengche	1	65	61	trained	wh2_main_chainmail_80	wh_missile_block_0_wood		10	135	wh3_main_cth_jade_warrior_sword	24	29	34	6	cth_huoguigongdiche		false	40.0000	1500.0000	cth_chonglucanglunche	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	large	0	0	0	0	0	0	ranged_direct_arty	true	false	false	medium	medium	domination_artillery		false	dwf_cannon	melee	1.0000	1.0000	false	false
cth_huolongchushui	war_machine	chariot	wh3_main_unit_short_text_cth_art_fire_rain_rocket_battery_0	wh3_main_unit_long_text_cth_art_fire_rain_rocket_battery_0	2100	wh3_main_cth_pianxiangche_crew	hu1e_warcompass01_mage_hero	2	cth_ogre_ironfist_mount	wh_main_chariot	1	75	8000	trained	wh2_main_plate_45	none		10	440	wh3_main_cth_war_compass	30	20	20	1	cth_huolongchushui_00	huolongchushui00_articulation	false	40.0000	1500.0000	wh3_main_cth_veh_war_compass_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	15	0	mage_highvalue	false	false	false	high	high	domination_cav	harmony_amplifier_120%	false		melee	1.0000	1.0000	false	false
cth_huolongchushui_fashezhendi	war_machine	chariot	wh3_main_unit_short_text_cth_art_fire_rain_rocket_battery_0	wh3_main_unit_long_text_cth_art_fire_rain_rocket_battery_0	2100	wh3_main_cth_pianxiangche_crew	hu1e_sword	12	cth_juma_zhendi	wh_main_monster	1	65	8000	trained	wh2_main_plate_90	wh_missile_block_60_wood	cth_huolongchushui	10	45	wh3_main_cth_peasant_sword	18	29	12	1	cth_huolongchushui_fashezhendi		false	40.0000	1500.0000	cth_huolongchushui_fashezhendi	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	large	440	0	0	0	0	0	pianxiangche_ai_usage	true	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
cth_huoxiangche	artillery	art_fld	wh3_main_unit_short_text_cth_art_fire_rain_rocket_battery_0	wh3_main_unit_long_text_cth_art_fire_rain_rocket_battery_0	2100	wh3_main_cth_artillery_crew	hu1e_sword	0		cth_paobing	5	50	48	trained	wh2_main_leather_15	none		10	240	wh3_main_cth_peasant_sword	10	2	6	4	cth_huoxiangche		false	40.0000	1500.0000	wh3_main_cth_art_grand_cannon_0	60	80	0	vo_sel_cth_grand_cannon	vo_sel_artillery	vo_sel_culture	1.0000	small	0	0	0	0	0	0	ranged_direct_arty	false	false	false	medium	medium	domination_artillery		false	dwf_cannon	artillery	1.0000	1.0000	false	false
cth_inf_dulongpenhuoshentong	inf_ranged	inf_mis	cth_inf_dulongpenhuoshentong	cth_inf_dulongpenhuoshentong	2100	wh3_main_cth_infantry_heavy_blood_dismembers	hu1e_cth_inf_dulongpenhuoshentong	0		wh3_main_cth_rocket_small	4	64	150	trained	wh2_main_chainmail_70	none	cth_dulongpenhuoshentong	10	72	wh3_main_cth_jade_warrior_halberd	22	15	38	0			true	40.0000	1500.0000	cth_pentong	60	80	0	vo_sel_cth_jade_warriors	vo_sel_missile	vo_sel_culture	1.0000	small	0	0	0	0	0	0	ranged_direct	true	false	false	medium	medium	domination_infantry		true		archer	1.0000	1.0000	false	false
