key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!dog
cst_boarding	inf_ranged	inf_mis	wh2_dlc11_unit_short_text_cst_cha_fleet_admiral	wh2_dlc11_unit_long_text_cst_cha_fleet_admiral	2100	cst_boarding	hu1b_cst_admiral_cutlass_and_pistol	0		wh2_dlc11_infantry_depth_guard	3	60	105	trained	wh2_main_leather_20	none	cst_boarding	10	1	cst_boarding	40	30	20	0			true	40.0000	1500.0000	cst_boarding	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		false			1.0000	1.0000	false	false
cst_corsairs	inf_ranged	inf_mis	wh2_main_unit_short_text_def_inf_black_ark_corsairs_1	wh2_main_unit_long_text_def_inf_black_ark_corsairs_1	2100	cst_corsairs	cst_corsairs_no_effects	0		wh2_dlc11_infantry_depth_guard	3	78	132	trained	wh2_main_plate_90	none	cst_corsairs	10	1	cst_corsairs	50	25	50	0			true	40.0000	1500.0000	cst_corsairs	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_small	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		false			1.0000	1.0000	false	false
cst_deathship	war_machine	chariot	wh_dlc04_unit_short_text_vmp_mortis_engine	wh_dlc04_unit_long_text_vmp_mortis_engine	2100	cst_deathship_big	hu1_empire_hr1_warhorse_lance_sword_shield	0		wh_main_chariot	1	60	1400	trained	wh2_main_body_15	none	cst_ship_rider_crane	10	6	wh_dlc04_vmp_mortis_engine	30	12	2	1	cst_deathship_engine		true	40.0000	1500.0000	cst_generic_ship_not_undead	60	80	0	vo_sel_zombiemob_deckgunners	vo_sel_zombiemob_deckgunners	vo_sel_culture	1.0000	aquatic_large	60	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
cst_ghostship	war_beast	inf_mis	wh3_main_unit_short_text_cth_veh_sky_junk_0	wh3_main_unit_long_text_cth_veh_sky_junk_0	2100	wh2_dlc16_infantry_zombie_blood_crew	hu1_cst_zombie_dual_cutlass	1	cst_jericho_ghostship	wh_thunderbarge	1	60	5940	trained	wh2_main_heavy_metal_40	none	harkonship_test_jericho	10	60	wh3_dlc25_dwf_veh_thunderbarge	20	12	4	0			true	40.0000	1500.0000	cst_ghostship	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_default	1.0000	large	180	0	0	0	0	0	ranged_direct_highvalue	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
cst_harkonship_third	war_beast	inf_mis	wh3_main_unit_short_text_cth_veh_sky_junk_0	wh3_main_unit_long_text_cth_veh_sky_junk_0	2100	wh2_dlc16_infantry_zombie_blood_crew	hu1_cst_zombie_dual_cutlass	1	cst_jericho_harkonship_medium	wh_thunderbarge	1	50	1800	trained	wh2_main_body_30	none	harkonship_test_jericho	10	28	wh3_dlc25_dwf_veh_thunderbarge	15	1	4	0			true	40.0000	1500.0000	harkonatt	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_default	1.0000	aquatic_large	200	0	0	0	0	0	ranged_direct_highvalue	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	true	false
cst_medium_ship	war_machine	chariot	wh_dlc04_unit_short_text_vmp_mortis_engine	wh_dlc04_unit_long_text_vmp_mortis_engine	2100	wh_main_infantry_standard	hu1_empire_hr1_warhorse_lance_sword_shield	0		wh_main_chariot	1	60	4000	trained	wh2_main_heavy_metal_40	none	cst_small_mortars	10	60	wh_dlc04_vmp_mortis_engine	30	12	13	1	cst_medium_ship_engine		true	40.0000	1500.0000	cst_generic_ship_not_undead	60	80	0	vo_sel_zombiemob_deckgunners	vo_sel_zombiemob_deckgunners	vo_sel_culture	1.0000	aquatic_large	200	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
cst_medium_ship_1	war_machine	chariot	wh_dlc04_unit_short_text_vmp_mortis_engine	wh_dlc04_unit_long_text_vmp_mortis_engine	2100	wh_main_infantry_standard	hu1_empire_hr1_warhorse_lance_sword_shield	0		wh_main_chariot	1	60	4000	trained	wh2_main_heavy_metal_40	none	cst_small_mortars	10	60	wh_dlc04_vmp_mortis_engine	30	12	13	1	cst_medium_ship_1		true	40.0000	1500.0000	cst_generic_ship_not_undead	60	80	0	vo_sel_zombiemob_deckgunners	vo_sel_zombiemob_deckgunners	vo_sel_culture	1.0000	aquatic_large	200	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
cst_medium_ship_2	war_machine	chariot	wh_dlc04_unit_short_text_vmp_mortis_engine	wh_dlc04_unit_long_text_vmp_mortis_engine	2100	wh_main_infantry_standard	hu1_empire_hr1_warhorse_lance_sword_shield	0		wh_main_chariot	1	60	4000	trained	wh2_main_heavy_metal_40	none	cst_small_mortars	10	60	wh_dlc04_vmp_mortis_engine	30	12	13	1	cst_medium_ship_2		true	40.0000	1500.0000	cst_generic_ship_not_undead	60	80	0	vo_sel_zombiemob_deckgunners	vo_sel_zombiemob_deckgunners	vo_sel_culture	1.0000	aquatic_large	200	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
cst_spectral	war_beast	inf_mis	wh3_main_unit_short_text_cth_veh_sky_junk_0	wh3_main_unit_long_text_cth_veh_sky_junk_0	2100	wh2_dlc16_infantry_zombie_blood_crew	hu1_cst_zombie_dual_cutlass	1	cst_jericho_spectral_cannons	wh_thunderbarge	1	60	4000	trained	wh_main_body_0	none	harkonship_test_jericho	10	150	wh3_dlc25_dwf_veh_thunderbarge	20	1	4	0			true	40.0000	1500.0000	cst_spectral	60	80	0	vo_sel_zombiemob_deckgunners	vo_sel_zombiemob_deckgunners	vo_sel_culture	1.0000	large	200	0	0	10	0	0	flying_ranged_harasser_flanker_highvalue	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
