key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo
#land_units_tables;53;db/land_units_tables/!!!dominion
ksl_champion	10	wh2_main_heavy_metal_120	2100	inf_ranged	26	inf_mis	wh3_dlc20_unit_long_text_chs_aspiring_champions	hu1c_ksl_champion_01	ksl_champion	40	55	90	608		0	ksl_champion	ksl_champion	2	wh_missile_block_55_metal	ksl_champion	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	wh3_main_ksl_inf_armoured_kossars_0	60	80	0	vo_sel_generic	vo_sel_generic	vo_sel_generic	1.0000	small	0	15	0	0	0	0	0	0	hybrid_melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
ksl_runemech	10	wh2_main_heavy_metal_120	2100	inf_ranged	30	spcl	wh3_main_unit_long_text_nur_mon_soul_grinder_0	hc7_ksl_runemech_01	ksl_runemech	42	35	85	8500		0	ksl_runemech	ksl_runemech	1	none	ksl_runemech	wh_main_monster	trained			true	40.0000	1500.0000	wh3_main_kho_mon_soul_grinder_0	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large	0	45	0	0	0	20	0	0	ranged_no_skirmish_gatecrusher	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false
ksl_eclipse	10	wh2_main_plate_90	2100	inf_ranged	14	inf_mis	wh3_main_unit_long_text_ksl_inf_streltsi_0	hu1c_ksl_eclipse_01	ksl_eclipse	30	28	80	90		0	ksl_eclipse	ksl_eclipse	4	none	ksl_eclipse	wh3_main_kislev_infantry_2handed	trained			true	40.0000	1500.0000	wh3_main_ksl_inf_streltsi_0	60	80	0	vo_sel_ksl_streltsi	vo_sel_generic	vo_sel_generic	1.0000	small	0	30	30	15	0	0	0	0	hybrid	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
dom_carryall_0	10	wh2_main_plate_80	2100	war_machine	29	chariot	wh2_dlc13_unit_long_text_emp_war_wagon	hu1_dlc13_wagon01_crew_rifle01	wh_main_cavalry_rider_standard_blood	18	12	65	1120		0	dom_carryall_0	dom_carryall_rifle	1	none	dom_carryall_0	wh2_dlc09_tmb_chariot	trained		dom_carryall	true	40.0000	1500.0000	wh2_dlc13_emp_veh_war_wagon_0	60	80	0	vo_sel_default	vo_sel_ranged	vo_sel_generic_short	1.0000	large	300	300	0	0	4	0	0	0	ranged_harasser	true	false	false	false	medium	medium	domination_cav			archer	1.0000	1.0000	false
ksl_cavernbear_rider	10	wh2_main_heavy_metal_120	2100	war_beast	38	cav_mis	wh3_main_unit_long_text_ksl_cav_war_bear_riders_1	hu1c_ksl_cavernbear_rider_01	wh_main_war_beast_rider_standard_blood	38	34	85	500	ksl_cavernbear	20	ksl_cavernbear_rider	ksl_cavernbear_rider	2	none	ksl_cavernbear_rider	wh3_main_bear_cavalry	trained			true	40.0000	1500.0000	wh3_main_ksl_cav_war_bear_riders_1	60	80	0	vo_sel_ksl_war_bear_riders	vo_sel_generic	vo_sel_culture	1.0000	large	0	20	0	0	0	0	0	0	ranged_direct_flanker_harasser	true	false	false	false	low	low	domination_cav				1.0000	1.0000	false
ksl_charger	10	wh2_main_plate_55	2100	inf_ranged	16	inf_mis	wh3_main_unit_long_text_ksl_inf_armoured_kossars_0	hu1c_ksl_charger_01	ksl_charger	35	33	75	65		0	ksl_charger	ksl_charger	4	none	ksl_charger	wh3_main_kislev_infantry_2handed	trained			true	40.0000	1500.0000	dom_charger	60	80	0	vo_sel_ksl_streltsi	vo_sel_generic	vo_sel_generic	1.0000	small	0	15	0	0	0	0	0	0	hybrid_melee	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
ksl_vanguard	10	wh2_main_plate_60	2100	inf_ranged	15	inf_mis	wh3_main_unit_long_text_ksl_inf_armoured_kossars_0	hu1c_wh3_kislev_pistol_axe_and_shield	ksl_vanguard	36	40	75	68		0	ksl_vanguard	ksl_vanguard	4	wh_missile_block_55_metal	ksl_vanguard	wh3_main_kislev_infantry	trained			true	40.0000	1500.0000	dom_vanguard	60	80	0	vo_sel_ksl_armoured_kossars	vo_sel_generic	vo_sel_generic	1.0000	small	0	12	0	0	0	0	0	0	hybrid_melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
ksl_paladin1hs	10	wh2_main_heavy_metal_120	2100	inf_melee	20	inf_mel	wh3_main_unit_long_text_ksl_inf_tzar_guard_0	hu1c_wh3_kislev_tsar_guard_sword_and_shield	ksl_paladin1hs	40	55	85	200		0	ksl_paladin1hs		4	wh_missile_block_55_metal	ksl_paladin1hs	wh3_main_kislev_infantry	trained			true	40.0000	1500.0000	wh3_main_ksl_inf_tzar_guard_0	60	80	0	vo_sel_ksl_tsar_guard	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false
dom_heavy_tank	10	wh2_main_heavy_metal_160	2100	war_machine	50	chariot	wh3_dlc23_unit_long_text_chd_veh_iron_daemon	wm_locomotive01_dom_heavy_tank_01	dom_heavy_tank	30	37	100	10000		0	dom_heavy_tank	dom_heavy_tank_cannons	1	none	dom_heavy_tank	wh_main_monster	trained		dom_heavy_tank	true	40.0000	1500.0000	wh_main_emp_veh_steam_tank_driver	60	80	0	vo_sel_chd_iron_daemon	vo_sel_chd_engines	vo_sel_generic_short	1.0000	large	500	40	5	2	1	0	0	0	hybrid_direct_shock_gatecrusher	false	true	false	false	medium	medium	domination_cav		dom_heavy_tank		1.0000	1.0000	false
