key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!ovn_albion
albion_chariot	10	wh2_main_body_100	2100	war_machine	68	chariot	long_descr_albion_chariot	hu1c_chaos_wm_chariot_halberd	wh_main_cavalry_rider_standard_blood	26	22	70	1000	albion_warhorse_chariot	2	albion_chariot_scythe		1	none	albion_chariot	wh_main_chariot	trained	wh_main_chs_chariot_horse	elo_albion_chariot	true	40.0000	1500.0000	ovn_attribute_albion_chariot	60	80	0	vo_sel_cavalry	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	0	0	4	0	0	0	melee_cav_shock	false	false	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
albion_stonethrower	10	wh2_main_leather_15	2100	artillery	5	art_fld	long_descr_albion_stonethrower	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	albion_stonethrower	wh_main_artillery	trained		wm_stonethrower_albion	true	40.0000	1500.0000	ovn_attribute_albion_stonethrower	60	80	10	vo_sel_artillery	vo_sel_artillery	vo_sel_generic	1.0000	small	0	22	0	0	4	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_infantry			artillery	1.0000	1.0000	false	false
elo_youngbloods	10	wh2_main_body_10	2100	inf_ranged	10	inf_mis	long_descr_elo_youngbloods	hu1c_alb_sword_and_sling	wh_main_chs_infantry_fast_blood_dismembers	22	16	55	60		0	wh_main_chs_axe_marauders	alb_sling	4	none	elo_youngbloods	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	ovn_attribute_elo_youngbloods	60	80	10	vo_sel_generic	vo_sel_generic	vo_sel_generic	1.0000	small	0	20	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
albion_swordmaiden	10	wh2_main_leather_15	2100	inf_melee	28	inf_mel	long_descr_albion_swordmaiden	alb_maidenguard_sword1h	wh2_main_def_infantry_witch_elves_blood_dismembers	36	30	75	72		0	albion_swordmaiden_sword		3	none	ovn_alb_order_of_the_truthsayers_swordmaiden	wh_main_vmp_crypt_ghouls	trained			false	40.0000	1500.0000	ovn_attribute_albion_swordmaiden	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	0	0	0	25	0	0	melee_highvalue	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
albion_huntresses	10	wh2_main_leather_15	2100	inf_ranged	4	inf_mis	long_descr_albion_huntresses	hu1b_huntress_sword_and_bow	huntress_entity	16	24	60	63		0	albion_hunting_knife	albion_hunting_bow	4	none	albion_huntresses	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	ovn_attribute_albion_huntresses	60	80	10	vo_sel_hef_Sisters_of_Averlorn	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	24	0	0	0	0	0	0	ranged_harasser	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
albion_hearthguard	10	wh2_main_chainmail_80	2100	inf_melee	26	inf_mel	long_descr_albion_hearthguard	hu1c_chaos_axe_and_shield_shieldwall	wh_dlc08_infantry_champion_large_blood_dismembers	34	42	75	90		0	hearthguard_sword		7	wh_missile_block_55_metal	albion_hearthguard	cr_shieldwall	trained			true	40.0000	1500.0000	ovn_attribute_albion_hearthguard	60	80	0	vo_sel_oathsworn	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
alb_viridian_champ	10	wh2_main_body_60	2100	inf_melee	26	inf_mel	long_descr_alb_viridian_champ	hu1c_alb_chosen_ishernos	wh_main_infantry_standard_very_large_blood_dismembers	40	65	70	150		0	wh_main_chs_axe_great_chosen		4	none	alb_viridian_champ	wh_main_infantry_chaos_chosen	trained			true	40.0000	1500.0000	ovn_attribute_alb_viridian_champ	60	80	0	vo_sel_chaos_chosen	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	20	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
alb_cav_noble	10	wh2_main_chainmail_80	2100	war_beast	40	cav_mel	long_descr_alb_cav_noble	hu1c_chaos_hr1_warhorse_sword_and_shield	wh3_dlc20_chaos_knight_rider_blood	30	30	70	105	albion_warhorse_noble	60	albion_riders_sword_noble		5	wh_missile_block_30_metal	alb_cav_noble	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	ovn_attribute_alb_cav_noble	60	80	0	vo_sel_oathsworn	vo_sel_cavalry	vo_sel_generic	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
elo_fenbeast	10	wh2_main_body_40	2100	inf_melee	35	inf_mel	long_descr_elo_fenbeast	hc2_chaos_spawn	wh_main_monster_chaos_spawn_blood	34	45	60	730		0	wooden_arms		2	none	elo_fenbeast	wh_main_monstrous_infantry_chaotic	trained			true	40.0000	1500.0000	ovn_attribute_elo_fenbeast	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	20	0	melee_gatecrusher	false	true	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
