key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!scm_beasts_most_foul
bst_mino_nurgle	inf_melee	inf_mel	bst_mino_nurgle	wh_dlc03_unit_long_text_bst_minotaur_shields	2100	bst_mino_nurgle	hu12_minotaur_axe	0		wh_dlc03_bst_minotaur	3	75	506	trained	wh2_main_body_45	wh_missile_block_55_wood		10	0	bst_mino_nurgle	36	34	45	0			true	40.0000	1500.0000	bst_mino_nurgle	60	80	0	vo_sel_beastmen_minotaurs	vo_sel_default	vo_sel_culture	1.0000	large_bst	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
bst_mino_slaanesh	inf_melee	inf_mel	bst_mino_slaanesh	wh_dlc03_unit_long_text_bst_minotaur_great_weapons	2100	wh_dlc03_bst_mon_minotaur_blood	hu12_minotaur_dual_axe	0		wh_dlc03_bst_minotaur	3	75	506	trained	wh2_main_body_25	none		10	0	bst_mino_slaanesh	36	50	32	0			true	40.0000	1500.0000	bst_mino_slaanesh	60	80	0	vo_sel_beastmen_minotaurs	vo_sel_default	vo_sel_culture	1.0000	large_bst	0	0	0	0	0	15	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
bst_mino_tzeentch	inf_melee	inf_mel	bst_mino_tzeentch	wh_dlc03_unit_long_text_bst_minotaur_great_weapons	2100	wh3_main_kho_mon_minotaur_blood	hu12_minotaur_2handed_axe	0		wh_dlc03_bst_minotaur	3	75	506	trained	wh2_main_body_35	none		10	0	bst_mino_tzeentch	34	44	38	0			true	40.0000	1500.0000	bst_mino_tzeentch	60	80	0	vo_sel_beastmen_minotaurs	vo_sel_default	vo_sel_culture	1.0000	large_bst	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
khorngor	inf_melee	inf_mel	khorngor1	khorngor_historic_theakdead	2100	wh_dlc03_bst_inf_bestigor_blood_dismembers	hu6_gor_2handed_axe	0		wh_dlc03_bst_gor_rabble	5	70	92	trained	wh2_main_heavy_metal_110	none		10	0	khorngor_great_axe	34	32	21	0			true	40.0000	1500.0000	kho_khorngor_attribs	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	15	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
khorngor_shld	inf_melee	inf_mel	khorngor1	khorngor_historic_theakdead	2100	wh_dlc03_bst_inf_bestigor_blood_dismembers	hu6_gor_dual_axe	0		wh_dlc03_bst_gor_rabble	5	70	92	trained	wh2_main_heavy_metal_110	none		10	0	khorngor_1h_axe_dual	32	28	34	0			true	40.0000	1500.0000	kho_khorngor_attribs	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	15	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
theak_pestigor_as	inf_melee	inf_mel	wh3_dlc25_unit_short_text_nur_inf_pestigors	wh3_dlc25_unit_long_text_nur_inf_pestigor	2100	wh_dlc03_bst_inf_gor_blood_dismembers	hu6_gor_axe_and_shield	0		wh_dlc03_bst_gor_rabble	5	70	99	trained	wh2_main_body_45	wh_missile_block_35_wood		10	0	presti_1h_axe	30	24	45	0			true	40.0000	1500.0000	wh3_dlc25_nur_inf_pestigor	60	80	0	vo_sel_beastmen_gors	vo_sel_default	vo_sel_culture	1.0000	small	0	0	0	0	25	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
theak_slaangor_axe	inf_ranged	inf_mis	theak_slaangor_axe_short	theak_slaangor_long	2100	slaangor_blood_dismember_vlarge	hu1c_norsca_dual_axe_and_throwing_axe	0		wh_dlc03_bst_gor_rabble	5	70	90	trained	wh2_main_chainmail_25	none	theak_slaan_axe	10	10	slaangor_axekama	35	25	24	0			true	40.0000	1500.0000	theak_slaangor_attribs2	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	0	10	0	0	ranged	true	false	false	medium	medium	domination_infantry		true		skirmish	1.0000	1.0000	false	false
theak_slaangor_jav	inf_ranged	inf_mis	theak_slaangor_jav_short	theak_slaangor_long	2100	slaangor_blood_dismember_vlarge	hu1c_norsca_javelin	0		wh_dlc03_bst_gor_rabble	5	70	90	trained	wh2_main_chainmail_25	none	theak_slaan_jav	10	10	slaangor_javspear	29	15	33	0			true	40.0000	1500.0000	theak_slaangor_attribs1	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	0	10	0	0	ranged	true	false	false	medium	medium	domination_infantry		true		skirmish	1.0000	1.0000	false	false
theak_tzaangors_gw	inf_melee	inf_mel	wh3_dlc24_unit_short_text_tze_inf_tzaangors	wh3_dlc24_unit_long_text_tze_inf_tzaangors	2100	theak_tzaan_bst_inf_bestigor_blood_dismembers	hu6_gor_2handed_axe	0		wh_dlc03_bst_gor_rabble	5	70	92	trained	wh2_main_plate_70	none		10	0	besti_tzn_axe	35	32	30	0			true	40.0000	1500.0000	tzaan_hal	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	small	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true		melee	1.0000	1.0000	false	false
