unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!!!!calm_kislev_erengrad
calm_erengrad_cannon	calm_erengrad_cannon	4	wh_main_shp_transport	1	1	8	false	medium	800	200	2	-1	800	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	artillery_cannon		2	false	emp_art_mortar		false	true		80.0000	720.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	4	false	false	
calm_erengrad_mortar	calm_erengrad_mortar	8	wh_main_shp_transport	1	1	8	false	medium	600	150	1	-1	600	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	artillery_mortar		2	false	emp_art_mortar		false	true		60.0000	540.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	4	false	false	
calm_hajduks	calm_hajduks	60	wh_main_shp_transport	1	1	60	false	medium	650	165	1	-1	650	0	missile_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_cavalry_rifle		2	false	emp_reiksguard		false	true		112.0000	448.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Mixed_Unit	0	true	false	5	false	false	
calm_kreml_guard	calm_kreml_guard	80	wh_main_shp_transport	1	1	90	false	medium	1150	288	1	-1	1150	1	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_axe_great		3	false	ksl_streltsi		false	true		650.0000	500.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	4	false	false	
calm_kvassniks	calm_kvassniks	100	wh_main_shp_transport	1	1	120	false	medium	500	140	1	-1	500	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh2_main_skv_missile_infantry_globe_death		2	false	default		false	true		150.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false	
calm_mounted_kirasirs	calm_mounted_kirasirs	60	wh_main_shp_transport	1	1	60	false	medium	1250	312	2	-1	1250	0	melee_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_cavalry_rifle		3	false	emp_reiksguard		false	true		400.0000	800.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Female_Unit	0	true	false	5	false	false	
calm_ryadniks	calm_ryadniks	120	wh_main_shp_transport	1	1	120	false	medium	350	92	1	-1	350	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_spear		1	false	cth_peasant_spearmen		false	true		350.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
calm_sarmatyrs	calm_sarmatyrs	100	wh_main_shp_transport	1	1	120	false	medium	500	140	1	-1	500	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_infantry_pistol		2	false	emp_soldier_15_degrees		false	true		250.0000	250.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Mixed_Unit	0	true	false	6	false	false	
calm_storozhi	calm_storozhi	60	wh_main_shp_transport	1	1	90	false	medium	1150	288	2	-1	1150	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh3_main_ksl_streltsi		3	false	emp_soldier_30_degrees		false	true		625.0000	625.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	4	false	false	
calm_straznik_blunderbuss	calm_straznik_blunderbuss	90	wh_main_shp_transport	1	1	90	false	medium	850	213	1	-1	850	1	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh2_dlc11_cst_close_quarters_missile_infantry		3	false	cth_iron_hail_gunners		false	true		350.0000	500.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	4	false	false	
calm_urugan_cannon	calm_urugan_cannon	4	wh_main_shp_transport	1	1	44	false	medium	1050	263	2	-1	1000	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	artillery_field_gun		3	false	emp_art_mortar		false	true		80.0000	900.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	2	false	false	
