unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!cou_blood_knight_heretics_live_build
cou_kho_blood_dragons_bi2_rider		-1	war_beast	3	false	cou_kho_blood_dragons_bi2_rider	1	1	3500	wh_main_shp_transport	1	1	1	3500	875	super_heavy		0	true	wh_main_vo_culture_Chaos	dragon	5	true	chs_cavalry		false		2000.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	cou_vo_actor_Blood_Dragon_Proslyte	0	true	false	1	false	false		0.0000	false	1	false
cou_kho_blood_dragons_cav		-1	melee_cavalry	2	false	cou_kho_blood_dragons_cav	16	0	2000	wh_main_shp_transport	1	1	16	2000	500	heavy		0	true	wh_main_vo_culture_Chaos	cou_dg_proslyete_cav	4	true	chs_cavalry		false		2400.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Blood_Dragon_Proslyte	0	true	false	2	false	false		0.0000	false	1	false
cou_kho_blood_dragons_inf		-1	melee_infantry	1	false	cou_kho_blood_dragons_inf	20	0	1100	wh_main_shp_transport	1	1	20	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	cou_dg_proslyete_inf	4	true	chaos_warrior_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Blood_Dragon_Proslyte	0	true	false	2	false	false		0.0000	false	1	false
cou_nur_depth_guard_cav		-1	melee_cavalry	2	false	cou_nur_depth_guard_cav	16	1	2000	wh_main_shp_transport	1	1	16	2000	500	heavy		0	true	wh_main_vo_culture_Chaos	cou_dg_fathomite_cav	4	true	chs_cavalry		false		2400.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Depth_Guard_Fathomite	0	true	false	2	false	false		0.0000	false	1	false
cou_nur_depth_guard_dr5_rider		-1	war_beast	3	false	cou_nur_depth_guard_dr5_rider	1	0	3500	wh_main_shp_transport	1	1	1	3500	875	super_heavy		0	true	wh_main_vo_culture_Chaos	dragon	5	true	chs_cavalry		false		2300.0000	0.0000	true	vo_culture_None	false	cou_vo_actor_Depth_Guard_Fathomite	0	true	false	1	false	false		0.0000	false	1	false
cou_nur_depth_guard_inf		-1	melee_infantry	1	false	cou_nur_depth_guard_inf	20	0	1100	wh_main_shp_transport	1	1	20	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	infantry_sword	4	true	chaos_warrior_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Depth_Guard_Fathomite	0	true	false	2	false	false		0.0000	false	1	false
cou_sla_seneschal_dame_cav		-1	monstrous_cavalry	2	false	cou_sla_seneschal_dame_cav	16	0	2000	wh_main_shp_transport	1	1	16	2000	500	heavy		0	true	wh_main_vo_culture_Chaos	wh2_dlc09_tmb_necroserpent_halberd	4	true	chs_archaon		false		2400.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Dame_Of_Excess	0	true	false	2	false	false		0.0000	false	1	false
cou_sla_seneschal_dame_inf		-1	melee_infantry	1	false	cou_sla_seneschal_dame_inf	20	0	1100	wh_main_shp_transport	1	1	20	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	infantry_sword	4	true	chaos_warrior_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Dame_Of_Excess	0	true	false	2	false	false		0.0000	false	1	false
cou_sla_seneschal_dame_inf_angel		-1	melee_infantry	3	false	cou_sla_seneschal_dame_inf_angel	8	0	3500	wh_main_shp_transport	1	1	8	3500	875	very_heavy		0	true	wh_main_vo_culture_Chaos	infantry_sword	5	true	chs_azazel		false		1600.0000	0.0000	true	vo_culture_None	false	cou_vo_actor_Dame_Of_Excess	0	true	false	1	false	false		0.0000	false	1	false
cou_tze_drakenhof_templar_cav		-1	monstrous_cavalry	3	false	cou_tze_drakenhof_templar_cav	4	0	3500	wh_main_shp_transport	1	1	4	3500	875	very_heavy		0	true	wh_main_vo_culture_Chaos	cou_dt_magi_cav	5	true	hef_general_foot		false		2200.0000	0.0000	true	vo_culture_None	false	cou_vo_actor_Drakenhof_Templar_Mystic	0	true	false	1	false	false		1500.0000	false	1	false
cou_tze_drakenhof_templar_cav_horse		-1	melee_cavalry	2	false	cou_tze_drakenhof_templar_cav_horse	16	0	2000	wh_main_shp_transport	1	1	16	2000	500	heavy		0	true	wh_main_vo_culture_Chaos	cavalry_spear_skeleton	4	true	hef_general_foot		false		1350.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Drakenhof_Templar_Mystic	0	true	false	2	false	false		1000.0000	false	1	false
cou_tze_drakenhof_templar_inf		-1	melee_infantry	1	false	cou_tze_drakenhof_templar_inf	20	0	1100	wh_main_shp_transport	1	1	20	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	cou_dt_magi_inf	4	true	hef_general_foot		false		1100.0000	0.0000	false	vo_culture_None	false	cou_vo_actor_Drakenhof_Templar_Mystic	0	true	false	2	false	false		800.0000	false	1	false
