unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!_sartosa_overhaul
cathay_pirate_bombard		-1	warmachine	1	false	cathay_pirate_bombard	44	0	900	wh_main_shp_transport	1	1	44	900	225	medium		0	true	wh3_main_vo_culture_Cathay	artillery_cannon	2	false	cth_cannon		false	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_crossbows		-1	missile_infantry	1	false	cathay_pirate_crossbows	120	0	550	wh_main_shp_transport	1	1	120	550	135	light		0	true	wh3_main_vo_culture_Cathay	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_dual_swords		-1	melee_infantry	1	false	cathay_pirate_dual_swords	120	0	450	wh_main_shp_transport	1	1	120	450	110	medium		0	true	wh3_main_vo_culture_Cathay	wh2_main_infantry_dual_swords	1	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_fire_rain_rocket_battery		-1	warmachine	2	false	cathay_pirate_fire_rain_rocket_battery	44	0	1100	wh_main_shp_transport	1	1	44	1200	300	medium		0	true	wh3_main_vo_culture_Cathay	emp_rocket_battery	3	false	cth_cannon		false	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneer_deck_gun_weapon_team		-1	missile_infantry	2	false	sartosa_buccaneer_deck_gun_weapon_team	32	0	1000	wh_main_shp_transport	1	1	28	1200	300	heavy		0	true	wh_main_vo_culture_Dwarf	missile_infantry_sniper	5	false	dwf_warrior_30_degrees		false		100.0000	900.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneer_drakefire_cannon		-1	warmachine	2	false	sartosa_buccaneer_drakefire_cannon	32	0	1000	wh_main_shp_transport	1	1	32	1000	250	heavy		0	true	wh_main_vo_culture_Dwarf	field_gun_flame	5	false	dwf_warrior_30_degrees		false		140.0000	1260.0000	true	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneer_drakegun_weapon_team		-1	missile_infantry	2	false	sartosa_buccaneer_drakegun_weapon_team	32	0	900	wh_main_shp_transport	1	1	28	1100	275	heavy		0	true	wh_main_vo_culture_Dwarf	dwf_irondrakes	4	false	dwf_warrior_30_degrees		false		90.0000	810.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneer_torpedo_weapon_team		-1	missile_infantry	2	false	sartosa_buccaneer_torpedo_weapon_team	32	0	1000	wh_main_shp_transport	1	1	28	1250	300	heavy		0	true	wh_main_vo_culture_Dwarf	dwf_irondrakes_torpedo	5	false	dwf_warrior_30_degrees		false		100.0000	900.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneers_axe_and_pistol		-1	missile_infantry	1	false	sartosa_buccaneers_axe_and_pistol	100	0	500	wh_main_shp_transport	1	1	120	500	125	medium		0	true	wh_main_vo_culture_Dwarf	missile_infantry_pistol	1	false	dwf_warrior_15_degrees		false		600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneers_blunderbuss		-1	missile_infantry	1	false	sartosa_buccaneers_blunderbuss	80	0	800	wh_main_shp_transport	1	1	120	800	200	medium		0	true	wh_main_vo_culture_Dwarf	wh2_dlc11_cst_close_quarters_missile_infantry	2	false	dwf_warrior_30_degrees		false		200.0000	600.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneers_dual_axes		-1	melee_infantry	1	false	sartosa_buccaneers_dual_axes	100	0	700	wh_main_shp_transport	1	1	120	750	175	medium		0	true	wh_main_vo_culture_Dwarf	infantry_axe_dual_shock	2	false	dwf_warrior_15_degrees		false		600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_leviathan		-1	monster	3	false	sartosa_leviathan	5	0	2200	wh_main_shp_transport	1	1	5	2200	500	heavy		0	true	wh2_dlc11_vo_culture_Rotting_Leviathan	monster_generic	5	true	cst_rotting_leviathon		true		2000.0000	200.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
sartosa_norscan_raider_great_weapons		-1	melee_infantry	1	false	sartosa_norscan_raider_great_weapons	120	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh_main_vo_culture_Chaos	infantry_axe_great	2	false	chaos_warrior_30_degrees		false		500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
sartosa_norscan_raiders		-1	melee_infantry	1	false	sartosa_norscan_raiders	120	0	500	wh_main_shp_transport	1	1	120	500	100	medium		0	true	wh_main_vo_culture_Chaos	infantry_axe	1	false	chaos_warrior_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
sartosa_norscan_reaver_axe_and_shield		-1	melee_infantry	1	false	sartosa_norscan_reaver_axe_and_shield	100	0	1000	wh_main_shp_transport	1	1	100	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	infantry_axe	3	false	chaos_warrior_30_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
sartosa_norscan_reaver_captain_chariot		-1	chariot	2	false	sartosa_norscan_reaver_captain_chariot	2	0	1500	wh_main_shp_transport	1	1	8	1300	325	heavy		0	true	wh_dlc08_vo_culture_Norsca	sartosa_mourngul_chariot	4	true	chaos_warrior_30_degrees		true		1300.0000	0.0000	false	wh_main_vo_culture_Chaos	true	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	0	false	true	2	false	false		0.0000	true	1	false
sartosa_norscan_reaver_dual_axes		-1	melee_infantry	1	false	sartosa_norscan_reaver_dual_axes	100	0	1250	wh_main_shp_transport	1	1	100	1200	325	medium		0	true	wh_main_vo_culture_Chaos	infantry_axe_dual	2	false	chaos_warrior_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
sartosa_norscan_reaver_halberds		-1	melee_infantry	1	false	sartosa_norscan_reaver_halberds	100	0	1400	wh_main_shp_transport	1	1	100	1400	350	heavy		0	true	wh_main_vo_culture_Chaos	infantry_spear_halberd	3	false	chaos_warrior_30_degrees		false		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
sartosa_norscan_warhounds		-1	war_beast	1	false	sartosa_norscan_warhounds	80	0	500	wh_main_shp_transport	1	1	80	500	125	heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	1	false	vamp_dire_wolf		false		400.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
sartosa_norscan_whalers		-1	melee_infantry	1	false	sartosa_norscan_whalers	90	0	700	wh_main_shp_transport	1	1	90	700	175	medium		0	true	wh_main_vo_culture_Chaos	infantry_spear	2	false	chaos_warrior_30_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder_Javelin	0	true	false	6	false	false		0.0000	true	1	false
sartosa_pirate_artillery_cannon		-1	warmachine	1	false	sartosa_pirate_artillery_cannon	44	0	800	wh_main_shp_transport	1	1	44	800	200	medium		0	true	wh_main_vo_culture_Empire	artillery_cannon	3	false	emp_soldier_15_degrees		false		80.0000	800.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_pirate_artillery_culverin		-1	warmachine	1	false	sartosa_pirate_artillery_culverin	48	0	800	wh_main_shp_transport	1	1	48	800	200	medium		0	true	wh_main_vo_culture_Empire	artillery_cannon	3	false	emp_soldier_15_degrees		false		80.0000	800.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_pirate_artillery_mortar		-1	warmachine	1	false	sartosa_pirate_artillery_mortar	44	0	850	wh_main_shp_transport	1	1	44	1000	225	medium		0	true	wh_main_vo_culture_Empire	artillery_cannon	3	true	emp_soldier_15_degrees		false		70.0000	700.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_pirate_halberds		-1	melee_infantry	1	false	sartosa_pirate_halberds	120	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	infantry_spear_halberd	2	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_pirate_handguns		-1	missile_infantry	1	false	sartosa_pirate_handguns	90	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_rifle	2	false	emp_soldier_15_degrees		false		120.0000	480.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_privateers		-1	missile_infantry	1	false	sartosa_privateers	120	0	750	wh_main_shp_transport	1	1	120	750	182	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_pistol	2	false	emp_soldier_15_degrees		false		250.0000	450.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_privateers_dual_swords		-1	melee_infantry	1	false	sartosa_privateers_dual_swords	120	0	800	wh_main_shp_transport	1	1	120	800	200	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	wh2_main_infantry_dual_swords	2	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_privateers_halberds		-1	melee_infantry	1	false	sartosa_privateers_halberds	120	0	850	wh_main_shp_transport	1	1	120	850	212	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	infantry_spear_halberd	2	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_promethean_riders		-1	monstrous_infantry	2	false	sartosa_promethean_riders	24	0	1600	wh_main_shp_transport	1	1	24	1600	375	medium		0	true	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean_missile	4	false	cst_rotting_prometheans		false		1150.0000	400.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	4	false	false		0.0000	true	1	false
sartosa_prometheans		-1	monstrous_infantry	2	false	sartosa_prometheans	12	0	1400	wh_main_shp_transport	1	1	12	1400	325	medium		0	true	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean	4	false	cst_rotting_prometheans		false		1200.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	6	false	false		0.0000	true	1	false
sartosa_saboteurs		-1	missile_infantry	1	false	sartosa_saboteurs	40	0	900	wh_main_shp_transport	1	1	120	900	225	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	wh2_dlc11_cst_explosives_infantry	2	false	emp_soldier_15_degrees		false		100.0000	750.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
sartosa_smugglers		-1	missile_infantry	1	false	sartosa_smugglers	90	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_pistol	2	false	emp_soldier_15_degrees		false		120.0000	400.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
