unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!!snek_dawi_thunder
snek_dwf_ammo_dump	snek_dwf_ammo_dump	1	wh_main_shp_transport	1	1	48	false	heavy	0	81	1	-1	0	0	monster	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	construction		1	false	brt_stakes		false	true		80.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false	
snek_dwf_bombard	snek_dwf_bombard	32	wh_main_shp_transport	1	1	32	false	medium	700	163	1	-1	700	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	artillery_cannon		2	false	emp_art_mortar		false	true		60.0000	590.0000	true	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
snek_dwf_breaker_cannon	snek_dwf_breaker_cannon	32	wh_main_shp_transport	1	1	32	false	medium	800	200	1	-1	800	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	artillery_cannon		2	false	emp_soldier_15_degrees		false	true		80.0000	720.0000	true	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
snek_dwf_crank_gunners	snek_dwf_crank_gunners	28	wh_main_shp_transport	1	1	14	false	heavy	1400	275	1	-1	1400	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	missile_infantry_gatling_gun		5	false	dwf_warrior_15_degrees		false	true		210.0000	490.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
snek_dwf_cycle	snek_dwf_cycle	24	wh_main_shp_transport	1	1	10	false	heavy	1100	240	1	-1	900	0	chariot	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	snek_dwf_cycle		3	false	dwf_cycle		false	true		600.0000	200.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	3	false	false	
snek_dwf_drop_chopper	snek_dwf_drop_chopper	1	wh_main_shp_transport	1	1	1	false	heavy	1150	288	2	-1	1150	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	dwf_gyrocopter		3	true	dwf_gyrobomber		true	true		230.0000	920.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	4	false	false	
snek_dwf_drop_chopper_regiment	snek_dwf_drop_chopper_regiment	1	wh_main_shp_transport	1	1	1	false	heavy	1150	288	2	-1	1300	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	dwf_gyrocopter		3	true	dwf_gyrobomber		true	true		230.0000	920.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Unique	0	true	false	4	false	false	
snek_dwf_expeditionaries	snek_dwf_expeditionaries	28	wh_main_shp_transport	1	1	14	false	heavy	1300	225	1	-1	1300	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	missile_infantry_sniper		4	false	dwf_warrior_30_degrees		false	true		210.0000	490.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
snek_dwf_githammers	snek_dwf_githammers	28	wh_main_shp_transport	1	1	28	false	heavy	1100	275	1	-1	1100	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Dwarf	dwf_irondrakes_torpedo		4	false	dwf_warrior_15_degrees		false	true		210.0000	490.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false	
