unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!obsidian_lustria_rises
lzd_ancient_razordon	lzd_ancient_razordon	1	wh_main_shp_transport	1	1	1	false	heavy	1200	300	1	-1	1200	0	monster	0					false	false	0	0	true		wh2_dlc13_vo_culture_Razordon	wh2_main_lzd_ancient_razordon		3	true	liz_salamander_hunting_pack		true	true		424.0000	790.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true	
lzd_great_wyrm	lzd_great_wyrm	1	wh_main_shp_transport	1	1	1	false	heavy	1950	488	3	-1	1950	0	monster	0					false	false	0	0	true		wh_main_vo_culture_Wyvern	wh2_dlc17_lzd_ripperdactyl_riders		3	true	grn_feral_hydrah_waaagh		true	true		2000.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true	
lzd_salamander_firestream	lzd_salamander_firestream	32	wh_main_shp_transport	1	1	32	false	heavy	925	231	1	-1	925	0	missile_infantry	0					false	false	0	0	true		wh2_dlc12_vo_culture_Salamander	wh2_dlc17_lzd_salamander		2	false	liz_salamander_hunting_pack		false	true		238.0000	712.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
lzd_skink_culchan_riders	lzd_skink_culchan_riders	40	wh_main_shp_transport	1	1	40	false	heavy	750	188	2	-1	750	0	missile_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_Lizardmen	wh2_main_lzd_culchans		2	false	liz_cold_one_riders		false	true		750.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Skink_Unit	0	true	false	6	false	false	
lzd_skink_horned_ones_riders	lzd_skink_horned_ones_riders	48	wh_main_shp_transport	1	1	48	false	heavy	1350	338	2	-1	1350	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_Lizardmen	wh2_main_horned_ones_spear		3	false	liz_cold_one_riders		false	true		1350.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Skink_Unit	0	true	false	6	false	false	
lzd_spawn_leaders	lzd_spawn_leaders	100	wh_main_shp_transport	1	1	100	false	heavy	1150	288	2	-1	1150	0	melee_infantry	0					false	false	0	0	false		wh2_main_vo_culture_Lizardmen	wh2_main_lzd_infantry_dual_mace		3	false	liz_saurus_0_degrees		false	true		1150.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Saurus_Unit	0	true	false	6	false	false	
obsidian_lzd_cav_cold_ones_spears_chotec	obsidian_lzd_cav_cold_ones_spears_chotec	48	wh_main_shp_transport	1	1	48	false	heavy	0	275	2	-1	1000	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_Lizardmen	wh2_main_cold_one_spear		3	false	liz_cold_one_riders		false	true		1000.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Saurus_Unit	0	true	false	6	false	false	
obsidian_lzd_cav_cold_ones_spears_huanchi	obsidian_lzd_cav_cold_ones_spears_huanchi	48	wh_main_shp_transport	1	1	48	false	heavy	0	275	2	-1	1000	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_Lizardmen	wh2_main_cold_one_spear		3	false	liz_cold_one_riders		false	true		1000.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Saurus_Unit	0	true	false	6	false	false	
obsidian_lzd_cav_cold_ones_spears_quetzl	obsidian_lzd_cav_cold_ones_spears_quetzl	48	wh_main_shp_transport	1	1	48	false	heavy	0	275	2	-1	1000	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_Lizardmen	wh2_main_cold_one_spear		3	false	liz_cold_one_riders		false	true		1000.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Lizardmen_Saurus_Unit	0	true	false	6	false	false	
