unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!scm_marienburg
hkrul_burgher	hkrul_burgher	120	wh_main_shp_transport	1	1	120	false	medium	275	71	1	-1	300	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_infantry_spear		1	false	emp_soldier_15_degrees		false	true		300.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
hkrul_carriers	hkrul_carriers	1	wh_main_shp_transport	1	1	1	false	medium	650	155	1	2	475	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	hkrul_mar_wh_dlc07_brt_grail_relique		1	true	emp_reiksguard		true	true		500.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
hkrul_klumpf	hkrul_klumpf	120	wh_main_shp_transport	1	1	120	false	medium	715	190	1	1	685	1	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_inf_sword		2	true	emp_soldier_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	true	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
hkrul_manann_flagellant	hkrul_manann_flagellant	120	wh_main_shp_transport	1	1	120	false	medium	600	150	1	-1	600	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	wh_dlc04_emp_flagelllents		2	false	emp_soldier_15_degrees		false	true		600.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false	
hkrul_mar_art_scheepskanon	hkrul_mar_art_scheepskanon	44	wh_main_shp_transport	1	1	44	false	medium	800	206	1	-1	800	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_cannon		2	false	emp_soldier_15_degrees		false	true		80.0000	720.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_black_caps	hkrul_mar_black_caps	120	wh_main_shp_transport	1	1	120	false	medium	415	172	1	4	415	4	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_goedendag		1	false	emp_soldier_15_degrees		false	true		355.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_cav_rijders	hkrul_mar_cav_rijders	60	wh_main_shp_transport	1	1	60	false	medium	400	115	1	-1	400	0	melee_cavalry	0					false	false	0	0	false		wh_main_vo_culture_Empire	hkrul_mar_cav		1	false	emp_reiksguard		false	true		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false	
hkrul_mar_cav_rijders_crossbow	hkrul_mar_cav_rijders_crossbow	60	wh_main_shp_transport	1	1	60	false	medium	500	135	1	-1	500	0	missile_cavalry	0					false	false	0	0	false		wh_main_vo_culture_Empire	hkrul_mar_missile_cavalry_bow		2	false	emp_reiksguard		false	true		40.0000	360.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false	
hkrul_mar_cleansing_flame	hkrul_mar_cleansing_flame	60	wh_main_shp_transport	1	1	60	false	heavy	1400	377	2	2	1400	0	melee_cavalry	0					false	false	0	0	true		wh_main_vo_culture_Empire	shock_cavalry		3	false	emp_reiksguard		false	true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false	
hkrul_mar_culverin	hkrul_mar_culverin	44	wh_main_shp_transport	1	1	44	false	medium	725	187	2	-1	725	0	warmachine	0					false	false	0	0	false		wh_main_vo_culture_Empire	hkrul_mar_cannon		2	false	emp_soldier_15_degrees		false	true		70.0000	655.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_defenders	hkrul_mar_defenders	120	wh_main_shp_transport	1	1	120	false	medium	975	278	2	4	975	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_inf_gsword		2	false	emp_soldier_30_degrees		false	true		950.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_handguns	hkrul_mar_handguns	90	wh_main_shp_transport	1	1	120	false	medium	680	172	1	-1	675	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_missile_infantry_rifle		2	false	emp_soldier_15_degrees		false	true		120.0000	480.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
hkrul_mar_hellblaster	hkrul_mar_hellblaster	44	wh_main_shp_transport	1	1	44	false	medium	1050	288	2	-1	1050	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_field_gun		3	false	emp_soldier_15_degrees		false	true		130.0000	1020.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_hellstorm	hkrul_mar_hellstorm	44	wh_main_shp_transport	1	1	44	false	medium	1050	279	2	-1	1050	0	warmachine	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_emp_rocket_battery		3	false	emp_soldier_15_degrees		false	true		130.0000	1070.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_inf_boogschutter	hkrul_mar_inf_boogschutter	90	wh_main_shp_transport	1	1	90	false	light	350	99	1	-1	350	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_missile_infantry_bow		1	false	emp_soldier_15_degrees		false	true		100.0000	250.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_inf_crossbow	hkrul_mar_inf_crossbow	90	wh_main_shp_transport	1	1	90	false	light	475	134	1	-1	475	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_missile_infantry_bow		1	false	emp_soldier_15_degrees		false	true		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_inf_goedendagers	hkrul_mar_inf_goedendagers	120	wh_main_shp_transport	1	1	120	false	medium	325	118	1	-1	325	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_goedendag		1	false	emp_soldier_15_degrees		false	true		325.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
hkrul_mar_inf_greatsword	hkrul_mar_inf_greatsword	120	wh_main_shp_transport	1	1	120	false	medium	850	235	1	-1	850	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	hkrul_mar_inf_gsword		2	false	emp_soldier_30_degrees		false	true		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
