unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!scm_totn
dead_drenok_ice_golem		-1	monstrous_infantry	1	false	dead_drenok_ice_golem	16	0	900	wh_main_shp_transport	1	1	16	900	275	heavy		0	true	wh_dlc05_vo_culture_Treekin	monstrous_infantry	2	false	wef_tree_kin		false		900.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hkrul_beorg_brown_feral		-1	war_beast	1	false	hkrul_beorg_brown_feral	16	0	850	wh_main_shp_transport	1	1	16	850	213	medium		0	false	wh_dlc08_vo_culture_Norsca	wh3_main_monster_feral_bear	2	false	ksl_war_bear_riders		false		650.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0000	true	1	false
hkrul_beorg_brown_feral_marked		-1	war_beast	1	false	hkrul_beorg_brown_feral_marked	16	0	975	wh_main_shp_transport	1	1	16	1000	245	medium		0	false	wh_dlc08_vo_culture_Norsca	wh3_main_monster_feral_bear	4	false	ksl_war_bear_riders		false		800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0000	true	1	false
hkrul_beorg_ice_feral		-1	war_beast	1	false	hkrul_beorg_ice_feral	12	0	1100	wh_main_shp_transport	1	1	12	1100	275	medium		0	false	wh_dlc08_vo_culture_Norsca	wh3_main_monster_feral_bear	3	false	ksl_war_bear_riders		false		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0000	true	1	false
hkrul_birna		-1	lord	1	false	hkrul_birna	1	0	815	wh_main_shp_transport	1	1	1	1000	321	heavy		0	false	wh2_main_vo_culture_Dark_Elves	hkrul_norsca_missile_bow_lord	0	true	ksl_katarina		true		650.0000	0.0000	true	vo_culture_None	true	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	0	true	false	0	false	false		0.0000	false	1	false
hkrul_birna_longship		-1	lord	1	false	hkrul_birna_longship	15	0	2615	wh_main_shp_transport	1	1	15	2800	642	super_heavy		0	false	wh2_main_vo_culture_Dark_Elves	hkrul_norsca_longship_lord	0	true	ksl_katarina	scm_mod_cam_mnt_sarl_longship	true		0.0000	2600.0000	true	vo_culture_None	true	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	0	true	false	0	false	false		0.0000	false	1	false
hkrul_geimdall_longship		-1	lord	1	false	hkrul_geimdall_longship	15	0	2615	wh_main_shp_transport	1	1	15	2800	611	super_heavy		0	false	wh_main_vo_culture_Chaos	hkrul_norsca_longship_lord	0	true	default	scm_mod_cam_mnt_gei_longship	true		0.0000	2600.0000	true	vo_culture_None	true	wh_main_vo_actor_Chaos_Marauder	0	true	false	0	false	false		0.0000	false	1	false
hkrul_harald_longship		-1	lord	1	false	hkrul_harald_longship	15	0	2615	wh_main_shp_transport	1	1	15	2800	611	super_heavy		0	false	wh_main_vo_culture_Chaos	hkrul_norsca_longship_lord	0	true	default	scm_mod_cam_mnt_gra_longship	true		0.0000	2600.0000	true	vo_culture_None	true	wh_main_vo_actor_Chaos_Marauder	0	true	false	0	false	false		0.0000	false	1	false
hkrul_sarl_hunters		4	missile_infantry	2	false	hkrul_sarl_hunters	90	0	1000	wh_main_shp_transport	1	1	90	900	289	medium		0	true	wh_main_vo_culture_Chaos	hkrul_norsca_missile_bow	3	false	ksl_infantry_15_degrees		false		150.0000	600.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	1	false	false		0.0000	true	1	false
hkrul_shark_1		3	monster	1	false	hkrul_shark_1	1	0	1050	wh_main_shp_transport	1	1	60	1000	301	very_heavy		0	false	wh2_dlc11_vo_culture_Rotting_Leviathan	war_beast	3	false	cst_rotting_leviathon		true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
hkrul_skeggi_inf_marauder_champions_0		-1	melee_infantry	2	false	hkrul_skeggi_inf_marauder_champions_0	100	0	1000	wh_main_shp_transport	1	1	100	1000	250	heavy		0	true	wh_main_vo_culture_Chaos	hkrul_norsca_axe	3	false	chaos_warrior_30_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	false
rhox_bjornling_huscarl		4	melee_infantry	2	false	rhox_bjornling_huscarl	100	0	1350	wh_main_shp_transport	1	1	100	1300	378	heavy		0	true	wh_main_vo_culture_Chaos	infantry_axe	4	false	chaos_warrior_30_degrees		false		1350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	4	false	false		0.0000	true	1	false
wolftribe_nor_inf_wolfguard_honorguard		1	melee_infantry	1	false	wolftribe_nor_inf_wolfguard_honorguard	100	0	1500	wh_main_shp_transport	1	1	100	1500	0	heavy		0	true	wh_main_vo_culture_Chaos	infantry_sword_great	3	false	chaos_warrior_30_degrees		false		1250.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Chaos_Marauder	0	true	false	1	false	false		0.0000	true	1	false
