unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!!xou_age_TKExtended
Bastethi_wb	Bastethi_wb	180	wh_main_shp_transport	1	1	180	false	medium	0	0	1	0	300	1	war_beast	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	war_beast		1	false	emp_reiksguard		false	true		400.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	true	1	false	false	
Great_Bastethi	Great_Bastethi	120	wh_main_shp_transport	1	1	120	false	medium	0	0	1	0	500	1	war_beast	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	wh3_main_nur_rot_flies		2	false	emp_reiksguard		false	true		400.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	true	1	false	false	
Khemri_Zombie_Dragon	Khemri_Zombie_Dragon	1	wh_main_shp_transport	1	1	1	false	heavy	0	0	3	0	2500	1	monster	0					false	false	0	0	false		wh2_main_vo_culture_Black_Dragon	dragon		3	true	hef_dragon		true	true		2500.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	1	true	false	
MC_D	MC_D	24	wh_main_shp_transport	1	1	24	false	medium	0	0	1	0	700	1	missile_infantry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	dwf_irondrakes		3	false	tmb_general		false	true		50.0000	720.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	1	false	false	
MC_Dhorse	MC_Dhorse	16	wh_main_shp_transport	1	1	16	false	medium	0	0	1	0	900	1	melee_cavalry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc10_magic_melee_cav		3	false	emp_reiksguard		false	true		50.0000	720.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	1	false	false	
MC_L	MC_L	24	wh_main_shp_transport	1	1	24	false	medium	0	0	1	0	700	1	missile_infantry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	dwf_irondrakes		3	false	tmb_general		false	true		50.0000	720.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	1	false	false	
MC_LAsaph	MC_LAsaph	8	wh_main_shp_transport	1	1	8	false	heavy	0	0	1	1	1800	1	missile_cavalry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_MC		3	true	tmb_necro_knights		false	true		600.0000	720.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	true	false	1	false	false	
MC_LDjaf	MC_LDjaf	8	wh_main_shp_transport	1	1	8	false	heavy	0	0	1	1	1800	1	missile_cavalry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_MC		3	true	tmb_necro_knights		false	true		600.0000	720.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	true	false	1	false	false	
MC_LPtra	MC_LPtra	8	wh_main_shp_transport	1	1	8	false	heavy	0	0	1	1	1800	1	missile_cavalry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_MC		3	true	tmb_necro_knights		false	true		600.0000	720.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	true	false	1	false	false	
