unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!@Deer24diguochuanqi
agesiqishi	agesiqishi	80	wh_main_shp_transport	1	1	80	false	medium	2000	450	3	1	2000	1	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_axe_great		4	true	emp_soldier_15_degrees		false	true		2000.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	1	false	false	
bailang	bailang	1	wh_main_shp_transport	1	1	1	false	very_heavy	2600	575	4	1	2600	1	monster	0	wh_main_emp_stables_3				false	false	0	0	false		wh_dlc08_vo_culture_skin_wolf_werekin	war_beast		5	true	vamp_terrorgheist		true	true		2600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	true	6	false	false	
buxingqishi	buxingqishi	120	wh_main_shp_transport	1	1	120	false	medium	1000	250	2	-1	1000	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_sword		3	false	emp_soldier_15_degrees		false	true		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false	
buxingqishi1	buxingqishi1	120	wh_main_shp_transport	1	1	120	false	medium	1100	265	2	-1	1100	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_spear_halberd		3	false	emp_soldier_15_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false	
diguohuoqiangshou	diguohuoqiangshou	90	wh_main_shp_transport	1	1	90	false	medium	1000	250	2	-1	1000	1	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	missile_infantry_rifle		3	true	emp_soldier_30_degrees		false	true		300.0000	700.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_BrightWizard	0	true	false	1	false	false	
diguolong	diguolong	1	wh_main_shp_transport	1	1	1	false	very_heavy	2800	600	4	1	2800	0	monster	0	wh_main_emp_stables_3				false	false	0	0	true		wh2_main_vo_culture_Star_Dragon	dragon		5	true	hef_dragon		true	true		2800.0000	0.0000	true	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	1	true	false	
dihuangqishi	dihuangqishi	120	wh_main_shp_transport	1	1	120	false	medium	1500	375	2	2	1500	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_sword_great		4	true	emp_soldier_15_degrees		false	true		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	0	false	false	
gaositianshi	gaositianshi	80	wh_main_shp_transport	1	1	80	false	medium	2000	450	3	1	2000	1	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_sword		4	true	emp_soldier_15_degrees		false	true		1700.0000	300.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	1	false	false	
huangjinzituan	huangjinzituan	120	wh_main_shp_transport	1	1	120	false	medium	1500	375	2	2	1500	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	infantry_spear_halberd		4	true	emp_soldier_15_degrees		false	true		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Captain	0	true	false	0	false	false	
