unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!@LOW_Dragon_Princes_Legion
low_hef_art_dragon_legion_bolt_thrower	low_hef_art_dragon_legion_bolt_thrower	32	wh_main_shp_transport	1	1	32	false	very_heavy	900	225	1	-1	900	0	warmachine	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	wh_dlc06_bolt_thrower		3	false	default		false	true		70.0000	830.0000	true	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
low_hef_cav_dragon_legion_caledorian_chariot_0	low_hef_cav_dragon_legion_caledorian_chariot_0	12	wh_main_shp_transport	1	1	12	false	heavy	1100	275	2	-1	1100	0	chariot	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	missile_chariot		3	true	default		false	true	composite_scene\porthole\ithilmar_chariot_porthole_01.csc	1100.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false	
low_hef_cav_dragon_legion_corsair_knight_lancer_01	low_hef_cav_dragon_legion_corsair_knight_lancer_01	48	wh_main_shp_transport	1	1	48	false	heavy	1400	350	1	-1	1400	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	wh2_main_cold_one		3	false	liz_cold_one_riders		false	true		1300.0000	0.0000	false	liz_cold_one_riders	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false	
low_hef_cav_dragon_legion_corsair_knight_swordsman_01	low_hef_cav_dragon_legion_corsair_knight_swordsman_01	48	wh_main_shp_transport	1	1	48	false	heavy	1400	350	1	-1	1400	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	wh2_main_cold_one_spear		3	false	liz_cold_one_riders		false	true		1300.0000	0.0000	false	liz_cold_one_riders	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false	
low_hef_cav_dragon_legion_knights_0	low_hef_cav_dragon_legion_knights_0	60	wh_main_shp_transport	1	1	60	false	heavy	1400	350	2	-1	1400	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	cavalry		3	false	emp_reiksguard		false	true		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false	
low_hef_cav_dragon_legion_knights_1	low_hef_cav_dragon_legion_knights_1	60	wh_main_shp_transport	1	1	60	false	heavy	1400	350	2	-1	1400	0	melee_cavalry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	shock_cavalry		3	false	emp_reiksguard		false	true		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false	
low_hef_inf_dragon_legion_archers_0	low_hef_inf_dragon_legion_archers_0	80	wh_main_shp_transport	1	1	80	false	medium	1000	200	2	-1	1000	0	missile_infantry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	missile_infantry_bow		3	false	wef_infantry_15_degrees		false	true		600.0000	400.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
low_hef_inf_dragon_legion_archers_shielded_0	low_hef_inf_dragon_legion_archers_shielded_0	80	wh_main_shp_transport	1	1	80	false	medium	1250	250	2	-1	1250	0	missile_infantry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear		3	false	def_black_guard		false	true		800.0000	400.0000	false	def_black_guard	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
low_hef_inf_dragon_legion_corsairs_arbalests_01	low_hef_inf_dragon_legion_corsairs_arbalests_01	80	wh_main_shp_transport	1	1	80	false	medium	1250	275	1	-1	1250	0	missile_infantry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	missile_infantry_bow		3	false	wef_infantry_15_degrees		false	true		120.0000	480.0000	false	wef_infantry_15_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
