unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!@xou_emp
avr_inf_crossbowmen	avr_inf_crossbowmen	90	wh_main_shp_transport	1	1	90	false	light	475	119	1	-1	475	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	missile_infantry_bow		1	false	emp_soldier_15_degrees		false	true		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_greatswords	avr_inf_greatswords	120	wh_main_shp_transport	1	1	120	false	medium	850	225	1	-1	850	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_sword_great		2	false	emp_soldier_30_degrees		false	true		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_halberdiers	avr_inf_halberdiers	120	wh_main_shp_transport	1	1	120	false	medium	550	138	1	-1	550	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_spear_halberd		2	false	emp_soldier_15_degrees		false	true		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_handgunners	avr_inf_handgunners	90	wh_main_shp_transport	1	1	120	false	medium	600	150	1	-1	600	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	missile_infantry_rifle		2	false	emp_soldier_30_degrees		false	true		120.0000	480.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_spearmen_0	avr_inf_spearmen_0	120	wh_main_shp_transport	1	1	120	false	medium	300	81	1	-1	300	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_spear		1	false	emp_soldier_15_degrees		false	true		325.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_spearmen_1	avr_inf_spearmen_1	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
avr_inf_swordsmen	avr_inf_swordsmen	120	wh_main_shp_transport	1	1	120	false	medium	375	100	1	-1	375	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_sword		1	false	emp_soldier_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
cos_inf_crossbowmen	cos_inf_crossbowmen	90	wh_main_shp_transport	1	1	90	false	light	475	119	1	-1	475	0	missile_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	missile_infantry_bow		1	false	emp_soldier_15_degrees		false	true		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
cos_inf_greatswords	cos_inf_greatswords	120	wh_main_shp_transport	1	1	120	false	medium	850	225	1	-1	850	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Empire	infantry_sword_great		2	false	emp_soldier_30_degrees		false	true		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
