unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!AAA_dynasty_of_the_damned
bm_theak_moloch_monks		1	melee_infantry	0	false	bm_theak_moloch_monks	20	0	2500	wh_main_shp_transport	1	1	16	1100	450	medium		0	false	wh3_main_vo_culture_Cathay	infantry_axe_dual	3	true	cth_shugengan_lord		false		600.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	1	false	false		0.0000	false	1	false
jiang_copsewight		-1	monster	3	false	jiang_copsewight	1	0	1500	wh_main_shp_transport	1	1	1	1700	390	very_heavy		0	true	wh_dlc05_vo_culture_Treekin	wh_dlc05_wef_treeman	3	true	bst_ghorgon		true		1700.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	false	1	false
jiang_damned_cannon		-1	warmachine	1	false	jiang_damned_cannon	44	0	900	wh_main_shp_transport	1	1	44	900	225	medium		0	true	wh_main_vo_culture_Skeleton	artillery_cannon	2	false	cth_cannon		false	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_dracolith		4	monster	3	false	jiang_dracolith	1	0	2200	wh_main_shp_transport	1	1	1	2300	565	heavy		0	false	wh_main_vo_culture_Wyvern	dragon	3	true	cth_dragon		true		2300.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	1	true	false		900.0000	false	1	false
jiang_grave_guard_crossbow		-1	missile_infantry	1	false	jiang_grave_guard_crossbow	90	0	950	wh_main_shp_transport	1	1	90	950	238	medium		0	true	wh_main_vo_culture_Skeleton	missile_infantry_bow	2	false	cth_jade_warrior_crossbow		false		400.0000	550.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_grave_guard_crossbow_balefireshaft	wh_main_vmp_balefire_2	-1	missile_infantry	1	false	jiang_grave_guard_crossbow_balefireshaft	90	0	975	wh_main_shp_transport	1	1	90	975	245	medium		0	true	wh_main_vo_culture_Skeleton	missile_infantry_bow	2	false	cth_jade_warrior_crossbow		false		400.0000	550.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_grave_guard_halberd		-1	melee_infantry	1	false	jiang_grave_guard_halberd	120	0	925	wh_main_shp_transport	1	1	120	925	231	medium		0	true	wh_main_vo_culture_Skeleton	infantry_spear_halberd	2	false	cth_jade_warrior_1		false		925.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_longma_undead		-1	monstrous_cavalry	2	false	jiang_longma_undead	24	0	1400	wh_main_shp_transport	1	1	24	1400	350	very_heavy		0	true	wh_main_vo_culture_Skeleton	wh3_main_flying_shock_cavalry	3	false	emp_reiksguard		false	composite_scene/porthole/cth_hu1e_hr1_great_longma_riders_porthole_01.csc	1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_necro_mortar		-1	warmachine	1	false	jiang_necro_mortar	44	0	700	wh_main_shp_transport	1	1	44	700	175	medium		0	true	wh_main_vo_culture_Zombie	artillery_mortar	2	false	cst_zombie_deckhands		false		40.0000	660.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0000	false	1	false
