unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!Guns_of_Bretonnia_III
bret_acolytes	bret_acolytes	120	wh_main_shp_transport	1	1	120	false	medium	800	200	1	-1	800	1	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_sword		2	false	emp_soldier_15_degrees		false	true		800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	1	false	false	
bret_armored_fusiliers	bret_armored_fusiliers	80	wh_main_shp_transport	1	1	120	false	heavy	1600	320	1	-1	1600	-1	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	missile_infantry_rifle		4	true	emp_soldier_30_degrees		false	true		120.0000	600.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
bret_armored_halberdiers	bret_armored_halberdiers	120	wh_main_shp_transport	1	1	120	false	very_heavy	1100	240	1	-1	1100	-1	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_spear_halberd		4	false	emp_soldier_15_degrees		false	true		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	4	false	false	
bret_arquebusiers	bret_arquebusiers	80	wh_main_shp_transport	1	1	90	false	medium	600	195	1	-1	600	-1	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	missile_infantry_rifle		2	false	emp_soldier_15_degrees		false	true		275.0000	325.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false	
bret_art_grand_battery	bret_art_grand_battery	88	wh_main_shp_transport	1	1	88	false	medium	1800	480	1	-1	1800	-1	warmachine	0					false	false	0	0	false		wh_main_vo_culture_Empire	artillery_cannon		3	false	emp_soldier_15_degrees		false	true		80.0000	1600.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
bret_art_great_cannon	bret_art_great_cannon	44	wh_main_shp_transport	1	1	44	false	medium	950	360	1	-1	950	-1	warmachine	0					false	false	0	0	false		wh_main_vo_culture_Empire	artillery_cannon		3	true	emp_soldier_15_degrees		false	true		80.0000	720.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
bret_art_helstorm_rocket_battery	bret_art_helstorm_rocket_battery	44	wh_main_shp_transport	1	1	44	false	medium	1100	270	1	-1	1100	-1	warmachine	0					false	false	0	0	false		wh_main_vo_culture_Empire	emp_rocket_battery		3	true	emp_soldier_15_degrees		false	true		130.0000	1070.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
bret_art_mortar	bret_art_mortar	44	wh_main_shp_transport	1	1	44	false	medium	750	280	1	-1	750	-1	warmachine	0					false	false	0	0	false		wh_main_vo_culture_Empire	artillery_cannon		3	true	emp_art_mortar		false	true		60.0000	590.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
bret_crossbowmen	bret_crossbowmen	80	wh_main_shp_transport	1	1	90	false	light	580	175	1	-1	500	-1	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	missile_infantry_bow		2	false	emp_soldier_15_degrees		false	true		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false	
