unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!KslUni
ksl_bridgeward_ly	ksl_bridgeward_ly	100	wh_main_shp_transport	1	1	100	false	medium	1100	275	1	8	1100	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	infantry_spear		2	false	ksl_infantry_15_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
ksl_dazh_chosen_ly	ksl_dazh_chosen_ly	24	wh_main_shp_transport	1	1	80	false	heavy	1500	375	3	4	1500	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	infantry_sword		5	false	chaos_warrior_30_degrees		false	true		1500.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
ksl_frost_pegasus_knight_ly	ksl_frost_pegasus_knight_ly	24	wh_main_shp_transport	1	1	24	false	very_heavy	1800	450	3	4	1800	0	monstrous_cavalry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	cavalry_flying_rare		5	false	emp_reiksguard		false	true		1800.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Female_Unit	0	true	false	3	false	false	
ksl_giant_ly	ksl_giant_ly	1	wh_main_shp_transport	1	1	1	false	very_heavy	1800	450	2	-1	1800	0	monster	0					false	false	0	0	true		wh_main_vo_culture_Giant	wh_dlc08_nor_giant		4	true	grn_giant		true	true		1800.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false	
ksl_gryphon_knight_ly	ksl_gryphon_knight_ly	60	wh_main_shp_transport	1	1	60	false	medium	1450	363	2	8	1450	0	melee_cavalry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	shock_cavalry		4	false	ksl_gryphon_legion_0		false	true		1450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
ksl_salyak_healer_ly	ksl_salyak_healer_ly	90	wh_main_shp_transport	1	1	90	false	medium	800	200	1	-1	800	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh3_main_ksl_bow_axe_infantry		2	false	emp_soldier_30_degrees		false	true		150.0000	650.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
ksl_tsarina_guard_ly	ksl_tsarina_guard_ly	80	wh_main_shp_transport	1	1	80	false	medium	1600	400	3	4	1600	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	infantry_spear		4	false	ksl_ice_guard		false	true		1350.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Female_Unit	0	true	false	6	false	false	
ksl_ungols_executioner_ly	ksl_ungols_executioner_ly	16	wh_main_shp_transport	1	1	16	false	heavy	1200	300	2	-1	1200	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	infantry_axe_great		3	false	chaos_warrior_30_degrees		false	true		1200.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
ksl_ungols_heavy_ly	ksl_ungols_heavy_ly	80	wh_main_shp_transport	1	1	80	false	medium	1100	275	2	-1	1100	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Kislev	wh3_main_ksl_pistol_axe_infantry		2	false	ksl_soldier_15_degrees		false	true		950.0000	150.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
