unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!Mf_Bertrand_Thieves_Honor
brt_aspirant_hoods	brt_aspirant_hoods	16	wh_main_shp_transport	1	1	80	false	medium	1100	275	1	-1	1100	0	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	missile_infantry_bow		3	false	emp_soldier_15_degrees		false	true		420.0000	650.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	1	false	false	
brt_brigand_crossbows	brt_brigand_crossbows	90	wh_main_shp_transport	1	1	90	false	light	550	130	1	-1	600	0	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	missile_infantry_bow		1	false	emp_soldier_15_degrees		false	true		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
brt_brigand_cutthroats	brt_brigand_cutthroats	120	wh_main_shp_transport	1	1	120	false	medium	725	175	1	-1	700	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_sword		2	false	emp_soldier_15_degrees		false	true		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
brt_brigand_raiders	brt_brigand_raiders	60	wh_main_shp_transport	1	1	60	false	medium	425	100	1	-1	450	0	melee_cavalry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	cavalry		1	false	emp_reiksguard		false	true		600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	6	false	false	
brt_brigand_waylayers	brt_brigand_waylayers	120	wh_main_shp_transport	1	1	120	false	medium	700	175	1	-1	700	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_spear_halberd		2	false	emp_soldier_15_degrees		false	true		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
brt_brigands	brt_brigands	120	wh_main_shp_transport	1	1	120	false	medium	400	92	1	-1	400	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_sword		1	false	emp_soldier_15_degrees		false	true		450.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
brt_brigands_axes	brt_brigands_axes	120	wh_main_shp_transport	1	1	120	false	medium	425	98	1	-1	475	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	infantry_axe_great		1	false	emp_soldier_15_degrees		false	true		500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
brt_chasseurs	brt_chasseurs	48	wh_main_shp_transport	1	1	48	false	medium	750	200	1	-1	750	0	missile_cavalry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	missile_cavalry_bow		2	false	emp_reiksguard		false	true		350.0000	450.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	6	false	false	
brt_herrimaults	brt_herrimaults	80	wh_main_shp_transport	1	1	80	false	medium	700	180	1	-1	700	0	missile_infantry	0					false	false	0	0	false		wh_main_vo_culture_Bretonnian	missile_infantry_bow		2	false	emp_soldier_15_degrees		false	true		350.0000	450.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false	
