unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!The_Gunpowder_Road2.
cth_baizichong	cth_baizichong	40	wh_main_shp_transport	1	1	44	false	medium	600	150	1	-1	600	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	artillery_field_gun		1	false	cth_cannon		false	true	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	false	6	false	false	
cth_dajiangjun_canno	cth_dajiangjun_canno	40	wh_main_shp_transport	1	1	44	false	medium	700	175	1	-1	700	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	artillery_cannon		2	false	cth_cannon		false	true	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	false	6	false	false	
cth_dilei_fudichongtianlei	cth_dilei_fudichongtianlei	1	wh_main_shp_transport	1	1	120	false	medium	200	50	1	-1	200	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	explosive		4	true	cth_peasant_spearmen		false	true		500.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false	
cth_dilei_ganglunzifanhuo	cth_dilei_ganglunzifanhuo	1	wh_main_shp_transport	1	1	120	false	medium	200	50	1	-1	200	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	explosive		2	true	cth_peasant_spearmen		false	true		500.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false	
cth_huoguigongdiche	cth_huoguigongdiche	72	wh_main_shp_transport	1	1	44	false	medium	1600	400	2	-1	1600	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	dunche		4	false	cth_cannon		false	true	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	false	6	false	false	
cth_huolongchushui	cth_huolongchushui	13	wh_main_shp_transport	1	1	6	false	medium	2800	700	3	1	2800	6	chariot	0	wh3_main_cth_gunners_3				false	false	0	0	true		wh3_main_vo_culture_Cathay	heavy_rocket		5	true	default		true	true	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	2	false	false	
cth_huolongchushui_fashezhendi	cth_huolongchushui_fashezhendi	11	wh_main_shp_transport	1	1	6	false	medium	2800	700	1	-1	2800	6	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	heavy_rocket		5	true	default		true	true	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	2	false	false	
cth_huoxiangche	cth_huoxiangche	40	wh_main_shp_transport	1	1	44	false	medium	600	150	1	-1	600	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	emp_rocket_battery		1	false	cth_cannon		false	true	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	false	6	false	false	
cth_inf_dulongpenhuoshentong	cth_inf_dulongpenhuoshentong	32	wh_main_shp_transport	1	1	120	false	medium	1000	250	2	-1	1000	0	missile_infantry	0	wh3_main_cth_jade_barracks_3				false	false	0	0	true		wh3_main_vo_culture_Cathay	flamethrower_infantry		4	true	cth_jade_warrior_1		false	true		400.0000	450.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false	
cth_inf_feimengpao	cth_inf_feimengpao	32	wh_main_shp_transport	1	1	160	false	light	900	225	2	-1	900	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	wh2_dlc11_cst_explosives_infantry		3	true	cth_iron_hail_gunners		false	true		80.0000	420.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	false	5	false	false	
cth_inf_huonuliuxingjian	cth_inf_huonuliuxingjian	32	wh_main_shp_transport	1	1	90	false	medium	600	150	1	-1	600	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	rocket_battery_infantry		2	false	cth_jade_warrior_crossbow		false	true		200.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_mixed	0	true	false	6	false	false	
cth_murenhuomayunzaiche	cth_murenhuomayunzaiche	10	wh_main_shp_transport	1	1	6	false	medium	2000	500	3	1	2000	6	chariot	0	wh3_main_cth_gunners_3				false	false	0	0	true		wh3_main_vo_culture_Cathay	zizhongche		4	true	cth_cannon		true	true	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	6	false	false	
cth_pianxiangche_fulangji	cth_pianxiangche_fulangji	56	wh_main_shp_transport	1	1	6	false	medium	2000	500	3	-1	2000	6	chariot	0	wh3_main_cth_gunners_3				false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		5	false	cth_cannon		true	true	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	6	false	false	
cth_pianxiangche_fulangji_bushu	cth_pianxiangche_fulangji_bushu	76	wh_main_shp_transport	1	1	6	false	medium	2000	500	1	-1	2000	6	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		5	false	default		true	true	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	2	false	false	
cth_pianxiangche_heavy	cth_pianxiangche_heavy	56	wh_main_shp_transport	1	1	6	false	medium	2200	550	3	1	2200	6	chariot	0	wh3_main_cth_gunners_3				false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		5	true	cth_cannon		true	true	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	6	false	false	
cth_pianxiangche_heavy_bushu	cth_pianxiangche_heavy_bushu	76	wh_main_shp_transport	1	1	6	false	medium	2200	550	1	-1	2200	6	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		5	true	default		true	true	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	2	false	false	
cth_pianxiangche_light	cth_pianxiangche_light	40	wh_main_shp_transport	1	1	6	false	medium	1200	300	2	-1	1200	6	chariot	0	wh3_main_cth_gunners_2				false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		3	false	cth_cannon		true	true	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	6	false	false	
cth_pianxiangche_light_bushu	cth_pianxiangche_light_bushu	48	wh_main_shp_transport	1	1	6	false	medium	1200	300	1	-1	1200	6	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	pianxiangche		3	false	default		true	true	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_female	0	true	true	2	false	false	
