unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!ab_mixu_legendary_lords
mixu_emp_art_carronade	mixu_emp_art_carronade	44	wh_main_shp_transport	1	1	44	false	medium	750	187	1	-1	750	0	warmachine	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	artillery_cannon		2	false	emp_soldier_15_degrees		false	true		80.0000	670.0000	true	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	false	false	6	false	false	
mixu_emp_art_mortar	mixu_emp_art_mortar	44	wh_main_shp_transport	1	1	44	false	medium	600	150	1	-1	600	0	warmachine	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	artillery_cannon		2	false	emp_soldier_15_degrees		false	true		60.0000	540.0000	true	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	false	false	6	false	false	
mixu_emp_cav_daughters_of_rhya	mixu_emp_cav_daughters_of_rhya	48	wh_main_shp_transport	1	1	1	false	heavy	1000	250	2	-1	1000	0	missile_cavalry	0					false	false	0	0	false		wh_dlc05_vo_culture_Wood_Elves	monstrous_shock_cavalry_stags		3	false	wef_wild_riders		false	true		170.0000	680.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Female_Units	0	true	false	6	false	false	
mixu_emp_inf_buccaneers_great_axe	mixu_emp_inf_buccaneers_great_axe	100	wh_main_shp_transport	1	1	100	false	medium	650	162	1	-1	650	0	melee_infantry	0					false	false	0	0	false		wh2_main_vo_culture_Dark_Elves	infantry_axe_great		3	false	emp_soldier_15_degrees		false	true		650.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_Dark_Elves_Infantry	0	true	false	6	false	false	
mixu_emp_inf_buccaneers_sword_and_bombs	mixu_emp_inf_buccaneers_sword_and_bombs	100	wh_main_shp_transport	1	1	100	false	medium	750	187	1	-1	750	0	melee_infantry	0					false	false	0	0	false		wh2_main_vo_culture_Dark_Elves	wh2_main_infantry_dual_swords		3	false	emp_soldier_15_degrees		false	true		650.0000	100.0000	false	vo_culture_None	false	wh2_main_vo_actor_Dark_Elves_Infantry	0	true	false	6	false	false	
mixu_emp_inf_celebrants	mixu_emp_inf_celebrants	120	wh_main_shp_transport	1	1	120	false	medium	600	150	1	-1	600	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Empire	wh2_dlc10_def_whip_infantry		2	false	emp_soldier_15_degrees		false	true		600.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false	
mixu_emp_inf_grog_carriers	mixu_emp_inf_grog_carriers	1	wh_main_shp_transport	1	1	1	false	medium	500	125	1	-1	500	0	melee_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	wh_dlc07_brt_grail_relique		1	true	emp_reiksguard		true	true		500.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
mixu_emp_inf_gunnery_mob_blunderbuss	mixu_emp_inf_gunnery_mob_blunderbuss	90	wh_main_shp_transport	1	1	120	false	medium	600	150	1	-1	600	0	missile_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_rifle		3	false	emp_soldier_30_degrees		false	true		120.0000	480.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
mixu_emp_inf_gunnery_mob_handguns	mixu_emp_inf_gunnery_mob_handguns	90	wh_main_shp_transport	1	1	120	false	medium	600	150	1	-1	600	0	missile_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_rifle		3	false	emp_soldier_30_degrees		false	true		120.0000	480.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
mixu_emp_inf_gunnery_mob_pistols	mixu_emp_inf_gunnery_mob_pistols	120	wh_main_shp_transport	1	1	120	false	medium	500	110	1	-1	450	0	missile_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_pistol		2	false	emp_soldier_15_degrees		false	true		250.0000	200.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false	
