unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!ab_unwashed_masses
gnob_cav_pigback_riders_javelin	gnob_cav_pigback_riders_javelin	100	wh_main_shp_transport	1	1	100	false	light	500	120	1	-1	500	0	missile_cavalry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	gnob_pigback_javalins		2	false	gnob_pigback_rider		false	true		40.0000	360.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_cav_sabretusk_riders	gnob_cav_sabretusk_riders	48	wh_main_shp_transport	1	1	48	false	heavy	1300	325	1	-1	1300	0	monstrous_cavalry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	war_beast		4	false	grn_goblin_45_degrees		false	true		500.0000	300.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	false	false	0	false	false	
gnob_inf_fighters	gnob_inf_fighters	160	wh_main_shp_transport	1	1	160	false	light	250	62	1	-1	225	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	infantry_sword_dual		2	false	grn_goblin_45_degrees		false	true		225.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_flingers	gnob_inf_flingers	120	wh_main_shp_transport	1	1	160	false	light	300	75	1	-1	300	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	wh2_main_missile_infantry_sling		2	false	grn_goblin_45_degrees		false	true		150.0000	350.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_lucky_gits	gnob_inf_lucky_gits	160	wh_main_shp_transport	1	1	160	false	light	750	188	1	-1	800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	infantry_sword		3	false	grn_goblin_45_degrees		false	true		800.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_manbiters	gnob_inf_manbiters	160	wh_main_shp_transport	1	1	160	false	light	850	212	1	-1	850	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	wh2_main_skv_infantry_censer		3	false	grn_goblin_45_degrees		false	true		850.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_ogrebiters	gnob_inf_ogrebiters	160	wh_main_shp_transport	1	1	160	false	light	875	218	1	-1	875	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	infantry_spear		3	false	grn_goblin_45_degrees		false	true		875.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_powder_sniffers	gnob_inf_powder_sniffers	160	wh_main_shp_transport	1	1	160	false	light	700	175	1	-1	700	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	wh2_dlc11_cst_explosives_infantry		3	false	grn_goblin_45_degrees		false	true		200.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_rustbuckets	gnob_inf_rustbuckets	100	wh_main_shp_transport	1	1	100	false	heavy	825	210	2	-1	825	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	missile_infantry_bow		4	false	dwf_warrior_45_degrees		false	true		385.0000	165.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_inf_rustbuckets_greatweapons	gnob_inf_rustbuckets_greatweapons	100	wh_main_shp_transport	1	1	100	false	heavy	825	210	2	-1	825	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	missile_infantry_bow		4	false	dwf_warrior_45_degrees		false	true		385.0000	165.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false	
gnob_mon_arachnarok_spider	gnob_mon_arachnarok_spider	8	wh_main_shp_transport	1	1	8	false	very_heavy	1900	475	3	-1	1900	1	monster	0					false	false	0	0	false		wh_main_vo_culture_Spider_Large	grn_arachnarok		5	true	grn_aracknarok		true	true	composite_scene\porthole\arachnarok_lava_porthole_01.csc	1900.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	1	false	false	
gnob_mon_great_scarlet_iiwi	gnob_mon_great_scarlet_iiwi	1	wh_main_shp_transport	1	1	1	false	heavy	1350	338	2	-1	1350	0	monster	0					false	false	0	0	false		wh2_main_vo_culture_Phoenix	wh2_main_hef_phoenix_fire		3	true	hef_phoenix		true	true		1400.0000	0.0000	false	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	3	false	false	
gnob_mon_lava_spiders	gnob_mon_lava_spiders	60	wh_main_shp_transport	1	1	60	false	heavy	550	138	1	-1	550	0	monstrous_infantry	0					false	false	0	0	false		wh_main_vo_culture_Spider_Small	grn_spider_hatchling		2	false	grn_aracknarok		false	true		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false	
