unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!cf-Ksl-units
cf_akshina_ambushers_dual_axes	cf_akshina_ambushers_dual_axes	80	wh_main_shp_transport	1	1	100	false	medium	1100	275	1	-1	1100	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	cf_claws		3	false	ksl_streltsi		false	true		850.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_akshina_ambushers_great_axes	cf_akshina_ambushers_great_axes	80	wh_main_shp_transport	1	1	100	false	medium	1100	275	1	-1	1100	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_axe_great		3	false	ksl_streltsi		false	true		850.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_akshina_ambushers_javelins	cf_akshina_ambushers_javelins	80	wh_main_shp_transport	1	1	100	false	medium	1100	275	1	-1	1100	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh_dlc08_nor_hunters_javelin		3	false	ksl_streltsi		false	true		300.0000	550.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_akshina_javelin_cavalry	cf_akshina_javelin_cavalry	60	wh_main_shp_transport	1	1	60	false	medium	1100	275	1	-1	1100	0	missile_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_cavalry_javelin		3	false	emp_reiksguard		false	true		200.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_akshina_scout_hawks	cf_akshina_scout_hawks	24	wh_main_shp_transport	1	1	24	false	medium	600	150	1	-1	600	0	monster	0					false	false	0	0	true		wh_main_vo_culture_Eagle	wh2_dlc16_wef_hawks		2	false	wef_great_eagle		false	true		600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false	
cf_ancient_widow	cf_ancient_widow	1	wh_main_shp_transport	1	1	1	false	heavy	1800	450	3	-1	1800	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Vampire	cf_ancient_widow		5	true	vamp_banshee		true	true		1800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Vampire_Banshee	0	true	false	1	false	false	
cf_armoured_brown_bear	cf_armoured_brown_bear	16	wh_main_shp_transport	1	1	16	false	medium	1500	375	1	-1	1500	0	war_beast	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh3_main_monster_feral_bear		3	false	ksl_feral_war_bear		false	true		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
cf_armoured_kossars_dual_swords	cf_armoured_kossars_dual_swords	100	wh_main_shp_transport	1	1	100	false	medium	700	175	1	-1	700	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_sword_dual		2	false	ksl_armoured_kossars_1		false	true		700.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_big_brass_cannon	cf_big_brass_cannon	44	wh_main_shp_transport	1	1	44	false	medium	3000	750	3	-1	3000	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	artillery_cannon		5	true	wef_great_eagle		true	true		0.0000	3000.0000	true	vo_culture_None	true	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	2	false	false	
cf_black_bear_riders	cf_black_bear_riders	16	wh_main_shp_transport	1	1	16	false	medium	1700	400	2	-1	1700	0	monstrous_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh3_bear_cavalry		4	false	ksl_war_bear_riders		false	true		1700.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_boyar_guards	cf_boyar_guards	80	wh_main_shp_transport	1	1	100	false	medium	1600	400	3	-1	1600	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_axe_dual		4	true	chaos_warrior_30_degrees		false	true		1600.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_chekist	cf_chekist	100	wh_main_shp_transport	1	1	100	false	medium	1100	275	2	-1	1100	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh_dlc04_emp_flagelllents		3	false	ksl_infantry_15_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_dazh_fire_rockets	cf_dazh_fire_rockets	44	wh_main_shp_transport	1	1	44	false	medium	3000	750	1	1	3000	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	emp_rocket_battery		5	true	emp_luminark		false	true		0.0000	3000.0000	true	vo_culture_None	true	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	1	false	false	
cf_dazh_hearth_blades_cav	cf_dazh_hearth_blades_cav	32	wh_main_shp_transport	1	1	32	false	medium	2000	500	1	1	2000	0	melee_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	wh2_dlc10_magic_melee_cav		5	true	ksl_gryphon_legion_0		false	true		2000.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	1	false	false	
cf_dazh_phoenix	cf_dazh_phoenix	1	wh_main_shp_transport	1	1	1	false	heavy	2000	500	3	-1	2000	0	monster	0					false	false	0	0	true		wh2_main_vo_culture_Phoenix	wh2_main_hef_phoenix_fire		5	true	hef_phoenix		true	true		2000.0000	0.0000	false	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	1	false	false	
cf_erengrad_cannon	cf_erengrad_cannon	44	wh_main_shp_transport	1	1	44	false	medium	1000	250	1	-1	1000	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	artillery_field_gun		3	false	emp_luminark		false	true		0.0000	1000.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	2	false	false	
cf_feral_elk	cf_feral_elk	32	wh_main_shp_transport	1	1	32	false	heavy	550	138	1	-1	550	0	monstrous_infantry	0					false	false	0	0	true		wh_main_vo_culture_Horse	cf_stags		1	false	emp_reiksguard		false	true		500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false	
cf_frostheart_phoenix	cf_frostheart_phoenix	1	wh_main_shp_transport	1	1	1	false	heavy	2000	500	3	-1	2000	0	monster	0					false	false	0	0	true		wh2_main_vo_culture_Phoenix	wh2_main_hef_phoenix_frost		5	true	hef_phoenix		true	true		2000.0000	0.0000	false	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	1	false	false	
cf_giant_spider_frost	cf_giant_spider_frost	60	wh_main_shp_transport	1	1	60	false	heavy	550	138	1	-1	550	0	monstrous_infantry	0					false	false	0	0	true		wh_main_vo_culture_Spider_Small	grn_spider_hatchling		3	false	grn_aracknarok		false	true		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false	
cf_gryphon_legion_archers	cf_gryphon_legion_archers	80	wh_main_shp_transport	1	1	80	false	medium	1400	350	3	-1	1400	0	missile_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_infantry_bow		4	false	emp_soldier_30_degrees		false	true		300.0000	1100.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_gryphon_legion_halberds	cf_gryphon_legion_halberds	80	wh_main_shp_transport	1	1	100	false	medium	1600	400	3	-1	1600	0	melee_infantry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	infantry_spear_halberd		4	true	chaos_warrior_30_degrees		false	true		1600.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_gryphon_legion_horse_archers	cf_gryphon_legion_horse_archers	60	wh_main_shp_transport	1	1	60	false	medium	1300	325	1	-1	1300	0	missile_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	missile_cavalry_bow		4	false	emp_reiksguard		false	true		300.0000	1000.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false	
cf_gryphon_legion_knights	cf_gryphon_legion_knights	32	wh_main_shp_transport	1	1	32	false	medium	1600	400	3	-1	1600	0	melee_cavalry	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	shock_cavalry		4	true	ksl_gryphon_legion_0		false	true		1500.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
cf_heavy_war_sled_blunderbuss	cf_heavy_war_sled_blunderbuss	20	wh_main_shp_transport	1	1	24	false	heavy	1400	350	3	-1	1400	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	cf_blunderbuss_sled		4	true	default		false	true	composite_scene/porthole/ksl_heavy_warsled_porthole_01.csc	1000.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false	
cf_heavy_war_sled_ice_guard	cf_heavy_war_sled_ice_guard	20	wh_main_shp_transport	1	1	24	false	heavy	1400	350	3	-1	1400	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	cf_ice_guard_sled		4	true	default		false	true	composite_scene/porthole/ksl_heavy_warsled_porthole_01.csc	1000.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false	
cf_heavy_war_sled_kvaskrovka	cf_heavy_war_sled_kvaskrovka	20	wh_main_shp_transport	1	1	24	false	heavy	1400	350	3	-1	1400	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	cf_fire_bomb_sled		4	true	default		false	true	composite_scene/porthole/ksl_heavy_warsled_porthole_01.csc	1000.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false	
cf_heavy_war_sled_melee	cf_heavy_war_sled_melee	20	wh_main_shp_transport	1	1	24	false	heavy	1400	350	2	-1	1400	0	chariot	0					false	false	0	0	true		wh3_main_vo_culture_Kislev	cf_mace_sled		3	true	default		false	true	composite_scene/porthole/ksl_heavy_warsled_porthole_01.csc	1400.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false	
