unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!cth_yinyin_pol
cth_golden_heron	cth_golden_heron	5	wh_main_shp_transport	1	1	8	false	very_heavy	2500	700	4	-1	2000	1	warmachine	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	wh3_main_cth_balloon		3	true	cst_animated_hulks		true	true		100.0000	2500.0000	false	vo_culture_None	false	wh3_main_vo_actor_golden_heron	0	true	false	6	false	false	
cth_golden_heron_upgraded	cth_golden_heron_upgraded	5	wh_main_shp_transport	1	1	8	false	super_heavy	2500	700	4	-1	2500	1	warmachine	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	wh3_main_cth_balloon		3	true	cst_animated_hulks		true	true		100.0000	2500.0000	false	vo_culture_None	false	wh3_main_vo_actor_golden_heron	0	true	false	6	false	false	
cth_golden_heron_zhuque	cth_golden_heron_zhuque	5	wh_main_shp_transport	1	1	8	false	super_heavy	2500	700	4	-1	2500	1	warmachine	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	wh3_main_cth_balloon		3	true	cst_animated_hulks		true	true		100.0000	2500.0000	false	vo_culture_None	false	wh3_main_vo_actor_golden_heron	0	true	false	6	false	false	
cth_marines	cth_marines	90	wh_main_shp_transport	1	1	90	false	medium	500	180	1	-1	750	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	missile_infantry_rifle		2	false	cth_iron_hail_gunners		false	true		100.0000	700.0000	false	vo_culture_None	false	wh3_main_vo_actor_marines	0	true	false	5	false	false	
cth_ronin	cth_ronin	100	wh_main_shp_transport	1	1	100	false	medium	700	220	2	-1	950	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	npn_sam		3	false	wef_infantry_15_degrees		false	true		1800.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_nippon	0	true	false	6	false	false	
cth_sam	cth_sam	100	wh_main_shp_transport	1	1	100	false	medium	1200	300	2	-1	1100	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	npn_sam		3	false	wef_infantry_15_degrees		false	true		1800.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_nippon	0	true	false	6	false	false	
cth_whalers	cth_whalers	16	wh_main_shp_transport	1	1	16	false	very_heavy	1200	275	2	-1	900	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Ogres	wh3_main_ogr_monstrous_cannon		3	false	ogr_leadbelcher		false	true		400.0000	900.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	6	false	false	
cth_wokou	cth_wokou	120	wh_main_shp_transport	1	1	120	false	medium	500	140	1	-1	500	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	missile_infantry_pistol		1	false	emp_soldier_15_degrees		false	true		400.0000	200.0000	false	vo_culture_None	false	wh3_main_vo_actor_wokou	0	true	false	6	false	false	
cth_wokou_cannon	cth_wokou_cannon	44	wh_main_shp_transport	1	1	44	false	medium	800	200	1	-1	800	0	warmachine	0					false	false	0	0	true		wh3_main_vo_culture_Cathay	artillery_cannon		3	false	emp_soldier_15_degrees		false	true		80.0000	720.0000	true	vo_culture_None	false	wh3_main_vo_actor_wokou	0	true	false	6	false	false	
cth_wokou_ds	cth_wokou_ds	120	wh_main_shp_transport	1	1	120	false	medium	400	120	1	-1	400	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	infantry_sword_dual		1	false	emp_soldier_15_degrees		false	true		600.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_wokou	0	true	false	6	false	false	
cth_wokou_guns	cth_wokou_guns	100	wh_main_shp_transport	1	1	100	false	medium	400	150	1	-1	600	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	missile_infantry_rifle		1	false	emp_soldier_15_degrees		false	true		350.0000	500.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false	
cth_wokou_spears	cth_wokou_spears	160	wh_main_shp_transport	1	1	120	false	medium	350	88	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	infantry_spear		1	false	emp_soldier_15_degrees		false	true		350.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_wokou	0	true	false	6	false	false	
cth_yicha_fghter	cth_yicha_fghter	100	wh_main_shp_transport	1	1	120	false	medium	1000	270	2	-1	1000	0	missile_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Cathay	wh3_main_ksl_bow_glaive_infantry		3	false	cth_peasant_archers		false	true		700.0000	700.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_mixed	0	true	false	6	false	false	
lzd_giganotosaur_boss	lzd_giganotosaur_boss	1	wh_main_shp_transport	1	1	1	false	super_heavy	2200	0	2	-1	2200	0	lord	0					false	false	0	0	false		wh2_dlc13_vo_culture_Dread_Saurian	wh2_dlc17_lzd_dread_saurian		3	true	liz_carnosaur		true	true		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true	
lzd_pachy_0	lzd_pachy_0	16	wh_main_shp_transport	1	1	16	false	heavy	900	0	1	-1	900	0	melee_cavalry	0					false	false	0	0	false		wh2_main_vo_culture_Bastiladon	wh2_main_lzd_dinosaur		2	false	liz_feral_cold_ones		false	true		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_group_sound	0	false	true	6	false	true	
lzd_raptor_0	lzd_raptor_0	24	wh_main_shp_transport	1	1	24	false	heavy	700	0	1	-1	700	0	melee_cavalry	0					false	false	0	0	false		wh2_main_vo_culture_Cold_One	wh2_main_lzd_dinosaur		1	false	liz_feral_cold_ones		false	true		800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_group_sound	0	false	true	6	false	true	
lzd_spinosaur_boss	lzd_spinosaur_boss	1	wh_main_shp_transport	1	1	1	false	super_heavy	2000	0	2	-1	2000	0	lord	0					false	false	0	0	false		wh2_dlc17_vo_culture_Troglodon	wh2_dlc17_lzd_carnosaur		3	true	liz_carnosaur		true	true		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true	
lzd_styracosaur	lzd_styracosaur	1	wh_main_shp_transport	1	1	1	false	heavy	1200	0	2	-1	1200	0	monster	0					false	false	0	0	false		wh2_main_vo_culture_Stegadon	wh2_dlc17_lzd_stegadon_feral		3	true	liz_stegadon		true	true		1100.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true	
lzd_tyranosaur_boss	lzd_tyranosaur_boss	1	wh_main_shp_transport	1	1	1	false	super_heavy	1600	0	2	-1	1800	0	lord	0					false	false	0	0	false		wh2_main_vo_culture_Carnosaur	wh2_dlc17_lzd_carnosaur		3	true	liz_carnosaur		true	true		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true	
npn_ansatsu	npn_ansatsu	80	wh_main_shp_transport	1	1	80	false	medium	1400	280	2	-1	1200	0	missile_infantry	0					false	false	0	0	false		wh2_main_vo_culture_Skaven	npn_ninja		3	false	skv_clan_rats		false	true		600.0000	800.0000	true	wh2_main_vo_culture_Skaven	false	wh_vo_actor_silent	0	true	false	6	false	false	
npn_bakegani	npn_bakegani	1	wh_main_shp_transport	1	1	1	false	super_heavy	0	0	1	-1	3000	0	lord	0					false	false	0	0	false		wh2_dlc11_vo_culture_Rotting_Leviathan	kaiju		3	true	cst_rotting_leviathon		true	true		5500.0000	2000.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	true	0	false	true	
npn_kaiju	npn_kaiju	1	wh_main_shp_transport	1	1	1	false	super_heavy	0	0	1	-1	4000	0	lord	0					false	false	0	0	false		wh2_dlc13_vo_culture_Dread_Saurian	kaiju		3	true	liz_dread_saurian		true	true		9999.0000	9999.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	true	0	false	true	
