unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!jade_vamp_pol_IotM
hef_iotm_islanders	hef_iotm_islanders	80	wh_main_shp_transport	1	1	80	false	medium	700	170	1	-1	700	0	missile_infantry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	hef_hybrd_swords		1	false	wef_infantry_30_degrees		false	true		400.0000	300.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
hef_iotm_islanders_hb	hef_iotm_islanders_hb	80	wh_main_shp_transport	1	1	80	false	medium	950	200	1	-1	950	0	missile_infantry	0					false	false	0	0	true		wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear		2	false	wef_infantry_30_degrees		false	true		700.0000	200.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false	
jbv_doctor	jbv_doctor	1	wh_main_shp_transport	1	1	1	false	heavy	0	0	1	0	1300	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Crypt_Horror	cth_ghost_greater		3	true	cth_general_foot		false	true		1200.0000	200.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	0	false	false	
jbv_islanders	jbv_islanders	80	wh_main_shp_transport	1	1	80	false	heavy	0	0	1	0	700	0	melee_infantry	0					false	false	0	0	true		wh_main_vo_culture_Crypt_Ghoul	cth_ghost_spear		1	false	hef_general_foot		false	true		700.0000	300.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
jbv_lady_yayi	jbv_lady_yayi	1	wh_main_shp_transport	1	1	1	false	very_heavy	0	800	1	1	2200	0	melee_infantry	0					false	false	0	0	false		wh2_dlc09_vo_culture_Tomb_Kings_Hexwraith	cth_ghost_greater		5	true	bst_ghorgon		true	true		2000.0000	200.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	2	false	false	
jbv_nurses	jbv_nurses	60	wh_main_shp_transport	1	1	60	false	heavy	0	0	2	0	900	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Rotting_Prometheans	cth_ghost_fire		2	true	cst_zombie_deckhands		false	true		950.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	6	false	false	
jbv_nurses_2	jbv_nurses_2	60	wh_main_shp_transport	1	1	60	false	heavy	0	0	2	0	1100	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Rotting_Prometheans	cth_ghost_dagger		3	true	cst_zombie_deckhands		false	true		1100.0000	500.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	6	false	false	
jbv_patient_man	jbv_patient_man	1	wh_main_shp_transport	1	1	1	false	heavy	0	600	1	1	1500	0	melee_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Bloated_Corpse	cth_ghost_greater		4	true	ogr_gorgers		true	true		1400.0000	200.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	2	false	false	
jbv_patient_mob	jbv_patient_mob	60	wh_main_shp_transport	1	1	60	false	heavy	0	360	1	1	1200	0	melee_infantry	0					false	false	0	0	false		wh_main_vo_culture_Crypt_Ghoul	cth_ghost_greater		3	true	vamp_zombie		false	true		900.0000	200.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	6	false	false	
jbv_patient_woman	jbv_patient_woman	1	wh_main_shp_transport	1	1	1	false	heavy	0	500	1	1	1400	0	melee_infantry	0					false	false	0	0	false		wh2_dlc11_vo_culture_Syreen	cth_ghost_greater		3	true	hef_general_foot		true	true		1100.0000	200.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	2	false	false	
jbv_wraith	jbv_wraith	80	wh_main_shp_transport	1	1	80	false	heavy	800	190	1	-1	800	0	melee_infantry	0					false	false	0	0	true		wh2_dlc09_vo_culture_Carrion	cth_ghost		2	false	vamp_banshee		false	true		900.0000	200.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	6	false	false	
