unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!psgo_brinewight
psgo_abyssal_riders	psgo_abyssal_riders	60	wh_main_shp_transport	1	1	60	false	heavy	750	188	1	-1	750	0	melee_cavalry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	cavalry		2	false	emp_reiksguard		false	true		950.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	true	false	6	false	false	
psgo_brinewight	psgo_brinewight	120	wh_main_shp_transport	1	1	120	false	heavy	850	213	1	-1	850	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	infantry_sword		2	false	vamp_grave_guard		false	true		850.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	false	false	6	false	false	
psgo_brinewight_dual	psgo_brinewight_dual	120	wh_main_shp_transport	1	1	120	false	heavy	950	240	1	-1	950	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	infantry_axe_dual		2	false	vamp_grave_guard		false	true		850.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	false	false	6	false	false	
psgo_brinewight_flamethrower	psgo_brinewight_flamethrower	24	wh_main_shp_transport	1	1	8	false	medium	625	150	2	-1	625	0	missile_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	dwf_irondrakes		3	false	vamp_grave_guard		false	true		400.0000	720.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	false	false	6	false	false	
psgo_brinewight_marksmen	psgo_brinewight_marksmen	24	wh_main_shp_transport	1	1	24	false	medium	625	150	1	-1	625	0	missile_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_sniper		2	false	vamp_grave_guard		false	true		400.0000	720.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	false	false	6	false	false	
psgo_brinewight_polearm	psgo_brinewight_polearm	120	wh_main_shp_transport	1	1	120	false	heavy	900	230	1	-1	900	0	melee_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	infantry_spear_halberd		2	false	vamp_grave_guard		false	true		850.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	false	false	6	false	false	
psgo_deepfang_horror	psgo_deepfang_horror	60	wh_main_shp_transport	1	1	60	false	heavy	625	140	1	-1	625	0	war_beast	0					false	false	0	0	true		wh_main_vo_culture_Dire_Wolves_WarHound	war_beast		2	false	vamp_dire_wolf		false	true		950.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
psgo_drowned_leadbelcher	psgo_drowned_leadbelcher	16	wh_main_shp_transport	1	1	16	false	very_heavy	1000	250	2	-1	1000	0	monstrous_infantry	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	wh3_main_ogr_monstrous_cannon		3	false	ogr_leadbelcher		false	true		400.0000	600.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	false	false	6	false	false	
psgo_haunted_vessel	psgo_haunted_vessel	5	wh_main_shp_transport	1	1	8	false	medium	1500	375	2	-1	1500	0	warmachine	0					false	false	0	0	true		wh2_dlc11_vo_culture_Vampire_Coast	wh3_main_cth_balloon		4	true	default		true	true	composite_scene/porthole/cth_wm_sky_junk_porthole_01.csc	100.0000	1400.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Zombie_Mob	0	true	false	6	false	false	
psgo_river_troll	psgo_river_troll	1	wh_main_shp_transport	1	1	8	false	very_heavy	800	201	1	-1	800	0	monstrous_infantry	0					false	false	0	0	true		wh_main_vo_culture_Troll	monstrous_infantry		2	false	grn_river_trolls		false	true		900.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
