unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;7;db/main_units_tables/!!!stg_unq_mutants
stg_ch_cult_kho_blacksmiths_of_blood	stg_ch_cult_kho_blacksmiths_of_blood	60	wh_main_shp_transport	1	1	100	false	heavy	2800	800	1	-1	2800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe_great		3	false	chaos_warrior_30_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_blacksmiths_of_blood_belakor	stg_ch_cult_kho_blacksmiths_of_blood_belakor	60	wh_main_shp_transport	1	1	100	false	heavy	2800	800	1	-1	2800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe_great		3	false	chaos_warrior_30_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_blacksmiths_of_blood_kholek	stg_ch_cult_kho_blacksmiths_of_blood_kholek	60	wh_main_shp_transport	1	1	100	false	heavy	2800	800	1	-1	2800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe_great		3	false	chaos_warrior_30_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_blacksmiths_of_blood_valkia	stg_ch_cult_kho_blacksmiths_of_blood_valkia	60	wh_main_shp_transport	1	1	100	false	heavy	2800	800	1	-1	2800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe_great		3	false	chaos_warrior_30_degrees		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_corrupted	stg_ch_cult_kho_corrupted	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_corrupted_belakor	stg_ch_cult_kho_corrupted_belakor	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_corrupted_kholek	stg_ch_cult_kho_corrupted_kholek	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_corrupted_valkia	stg_ch_cult_kho_corrupted_valkia	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_monnik_pit_fighter	stg_ch_cult_kho_monnik_pit_fighter	120	wh_main_shp_transport	1	1	120	false	medium	900	225	1	-1	900	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe		1	false	chaos_warrior_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_monnik_pit_fighter_belakor	stg_ch_cult_kho_monnik_pit_fighter_belakor	120	wh_main_shp_transport	1	1	120	false	medium	900	225	1	-1	900	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe		1	false	chaos_warrior_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_monnik_pit_fighter_kholek	stg_ch_cult_kho_monnik_pit_fighter_kholek	120	wh_main_shp_transport	1	1	120	false	medium	900	225	1	-1	900	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe		1	false	chaos_warrior_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_kho_monnik_pit_fighter_valkia	stg_ch_cult_kho_monnik_pit_fighter_valkia	120	wh_main_shp_transport	1	1	120	false	medium	900	225	1	-1	900	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Khorne	infantry_axe		1	false	chaos_warrior_15_degrees		false	true		400.0000	0.0000	false	vo_culture_None	false	wh3_dlc20_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_nur_carnival	stg_ch_cult_nur_carnival	100	wh_main_shp_transport	1	1	100	false	medium	1250	313	1	-1	1250	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		2	false	cst_aranessa		false	true		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Nurgling	0	false	false	6	false	false	
stg_ch_cult_nur_carnival_belakor	stg_ch_cult_nur_carnival_belakor	100	wh_main_shp_transport	1	1	100	false	medium	1250	313	1	-1	1250	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		2	false	cst_aranessa		false	true		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Nurgling	0	false	false	6	false	false	
stg_ch_cult_nur_carnival_festus	stg_ch_cult_nur_carnival_festus	100	wh_main_shp_transport	1	1	100	false	medium	1250	313	1	-1	1250	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		2	false	cst_aranessa		false	true		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Nurgling	0	false	false	6	false	false	
stg_ch_cult_nur_carnival_kholek	stg_ch_cult_nur_carnival_kholek	100	wh_main_shp_transport	1	1	100	false	medium	1250	313	1	-1	1250	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		2	false	cst_aranessa		false	true		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Nurgling	0	false	false	6	false	false	
stg_ch_cult_nur_children_doom	stg_ch_cult_nur_children_doom	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_nur_children_doom_belakor	stg_ch_cult_nur_children_doom_belakor	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_nur_children_doom_festus	stg_ch_cult_nur_children_doom_festus	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_nur_children_doom_kholek	stg_ch_cult_nur_children_doom_kholek	120	wh_main_shp_transport	1	1	120	false	medium	350	94	1	-1	350	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_spear		1	false	emp_soldier_30_degrees		false	true		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
stg_ch_cult_nur_maggot_king_chosen	stg_ch_cult_nur_maggot_king_chosen	60	wh_main_shp_transport	1	1	160	false	light	2800	800	1	-1	2800	0	melee_infantry	0					false	false	0	0	false		wh3_main_vo_culture_Nurgle	infantry_sword		1	false	skv_clan_rats		false	true		1100.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	false	false	6	false	false	
