key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!landmarks_of_legend_wh
dragonling_claws	5	0	21	35	3.0000	axe	creatures_claws	large	4	1.0000	50.0000	0.0000	true	wh_main_unit_contact_poison	0	3	3.8000		false
hef_eonir_stags_spears	25	0	24	11	1.0000	spear	spear		1	1.0000	0.7500	0.0000	false		0	10	4.0000		false
phoenix_rider_weapons	0	5	35	50	7.0000	axe	creatures_claws	medium	4	1.0000	60.0000	1.0000	true		0	10	4.0000		false
ghost_swordsmen_sword	0	0	0	38	1.0000	sword	sword		1	1.0000	1.0000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	4.3000		false
sla_forsaken	0	0	44	14	2.0000	axe	creatures_claws		1	1.0000	1.2500	0.0000	false	wh3_main_unit_contact_soporific_musk	0	10	4.3000		false
lakemen_axe	0	0	8	12	2.0000	axe	club_saurus	small	1	1.0000	10.0000	0.0000	false		0	10	3.0000		false
bearded_skull_miner_pickaxes	0	0	0	32	1.0000	axe	axe		1	1.0000	3.0000	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	4.3000		false
inq_hammer	0	0	22	8	1.0000	axe	hammer	small	1	1.0000	10.0000	0.0000	false		0	10	4.3000		false
shadowgor_dual_axe	0	0	25	11	1.0000	axe	axe	small	1	1.0000	10.0000	0.0000	false	wh_main_unit_contact_poison	0	10	4.4000		false
brotherhood_ranger_templar_swords	0	10	25	15	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
shadowgor_bestigor_greataxe	0	0	12	28	2.0000	axe	axe	small	1	1.0000	10.0000	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
dec_lahmian	0	8	25	9	1.0000	sword	sword	small	1	1.0000	10.0000	0.0000	false		0	10	3.8000		false
brt_mounted_braconnier_sword	20	0	25	11	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	5.1000		false
blue_orc_axes	0	0	22	26	7.0000	axe	creatures_claws	large	8	1.5000	400.0000	0.0000	false		0	10	3.6000		false
brt_short_sword	15	0	22	8	0.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
