key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!Bretonnia_Royal_Lake_Guard
driblex_brt_royal_lake_guard_thunderlancers_melee	0	15	70	175	4.0000	axe	creatures_claws	large	10	1.5000	1.0000	0.0000	true		0	10	3.0000		false
driblex_brt_royal_lake_guard_javelin_melee	20	0	26	20	3.0000	spear	spear	large	4	2.0000	0.7500	0.0000	true		0	10	3.0000		false
driblex_brt_royal_lake_guard_lion_sarrosh_melee	0	0	175	330	7.0000	axe	creatures_claws	large	10	2.0000	1.5000	0.0000	true	wh2_pro08_unit_contact_dampen	0	10	3.0000		false
driblex_brt_royal_lake_guard_1h_sword_melee	0	0	19	4	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	3.0000		false
driblex_brt_royal_lake_guard_halberd_melee	12	0	10	25	1.0000	sword	halberd	large	2	1.3000	0.7500	0.0000	true	wh2_pro08_unit_contact_dampen	0	10	2.0000		false
driblex_brt_royal_lake_guard_1h_hammer_melee	0	0	22	16	1.0000	axe	hammer		1	1.0000	0.7500	0.0000	true	wh2_dlc17_unit_contact_dazed	0	10	1.5000		false
driblex_brt_royal_lake_guard_lion_sorcha_melee	0	0	150	300	7.0000	axe	creatures_claws	large	7	2.0000	1.0000	0.0000	true		0	10	3.0000		false
driblex_brt_royal_lake_guard_2h_sword_melee	0	10	15	35	1.0000	sword	sword		1	1.0000	0.7500	0.0000	true	wh_dlc06_unit_contact_sundered_armour	0	10	2.0000		false
driblex_brt_royal_lake_guard_circle_mages_support_melee	0	0	28	8	1.0000	sword	hammer		4	1.0000	0.7500	0.0000	true		0	10	2.5000		false
driblex_brt_royal_lake_guard_spears_melee	25	0	24	7	2.0000	spear	spear		1	1.0000	0.7500	0.0000	true	wh_dlc06_unit_contact_discouraged	0	10	3.0000		false
