key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!DEER24Cathay
wh3_deer24_BINGYONG_weapon	0	12	23	12	2.0000	spear	spear	medium	1	1.0000	1.0000	0.0000	true		0	10	5.0000		false
wh3_deer24_HUREN1_weapon	0	20	25	80	4.0000	sword	sword	medium	6	2.5000	1.0000	0.0000	false		0	10	5.0000		false
wh3_deer24_HUREN_weapon	23	0	25	68	4.0000	sword	sword	large	4	2.5000	1.0000	0.0000	false		0	10	5.0000		false
wh3_deer24_HUXIA_weapon	0	10	14	22	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
wh3_deer24_JINGUO_weapon	0	0	14	22	3.0000	sword	sword	small	2	1.0000	1.0000	0.0000	true	wh3_deer24_abilities_QISHA	0	10	3.0000		false
wh3_deer24_JINYIWEI_weapon	0	12	18	25	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false	wh3_deer24_abilities_QISHA	0	10	3.0000		false
wh3_deer24_NUQI_weapon	0	0	18	10	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
wh3_deer24_NU_weapon	0	10	18	6	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
wh3_deer24_QIMA_weapon	0	12	10	30	3.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh3_deer24_TIEBIAN_weapon	0	0	12	26	3.0000	sword	sword	medium	1	1.5000	1.0000	0.0000	true	wh_dlc06_unit_contact_sundered_armour	0	10	3.0000		false
wh3_deer24_XIAOYONG_weapon	0	0	8	20	5.0000	lance	spear	medium	1	1.0000	0.7500	0.0000	false		0	10	4.0000		false
wh3_deer24_baihu_weapon	0	0	220	420	12.0000	axe	axe	large	15	2.5000	1.2500	0.0000	true	wh3_deer24_abilities_HU	15	10	3.0000		false
wh3_deer24_bixue	0	0	40	24	1.0000	sword	sword		1	1.0000	1.0000	0.0000	true	wh3_deer24_abilities_bixuedaoren	0	10	3.0000		false
wh3_deer24_bixueshixiang	25	0	30	70	4.0000	axe	sword	medium	6	2.5000	1.0000	0.0000	true	wh3_deer24_abilities_bixuedaoren	0	10	5.0000		false
wh3_deer24_burenjia	10	0	10	30	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.2000		false
wh3_deer24_changyalishi	26	0	33	77	3.0000	axe	axe	medium	3	1.0000	1.0000	0.0000	false	wh2_dlc17_unit_contact_dazed	0	10	3.8000		false
wh3_deer24_douseng_weapon	0	12	44	20	4.0000	sword	sword	large	4	2.5000	1.0000	0.0000	false	wh3_deer24_fumo_luohanquan	0	10	4.0000		false
wh3_deer24_fo_weapon	0	12	20	24	5.0000	spear	halberd	medium	2	1.0000	1.0000	0.0000	false		0	10	3.0000		false
wh3_deer24_fubing_weapon	12	0	10	22	3.0000	spear	halberd		1	1.0000	0.7500	0.0000	false		0	10	4.6000		false
wh3_deer24_jiaNU_weapon	0	10	22	8	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
wh3_deer24_jinwu_horese_weapon	0	0	23	32	5.0000	spear	halberd	medium	2	1.0000	1.0000	0.0000	false	wh3_deer24_abilities_HU	0	10	5.0000		false
wh3_deer24_jinwu_weapon	0	0	23	32	5.0000	spear	halberd	medium	2	1.0000	1.0000	0.0000	false	wh_dlc06_unit_contact_sundered_armour	0	10	5.0000		false
wh3_deer24_junshou_weapon	0	20	50	75	4.0000	axe	axe	large	6	1.5000	1.0000	10.0000	true	wh2_pro08_unit_contact_dampen	15	10	3.0000		false
wh3_deer24_tianwang1_weapon	0	0	190	530	9.0000	spear	sword_huge	large	30	10.0000	1.0000	0.0000	true		15	10	4.0000		false
wh3_deer24_tianwang2_weapon	0	0	180	500	9.0000	spear	sword_huge	large	30	10.0000	1.0000	0.0000	true		15	10	4.0000		false
wh3_deer24_tianwang_weapon	0	0	170	470	9.0000	spear	sword_huge	large	30	10.0000	1.0000	0.0000	true		15	10	4.0000		false
wh3_deer24_tongrenseng_weapon	0	13	33	66	4.0000	sword	sword	large	4	2.5000	1.0000	10.0000	true	wh3_deer24_fumo_luohanquan	0	10	4.0000		false
wh3_deer24_warchariot	0	20	15	23	5.0000	axe	axe	very_large	4	1.0000	1.2500	0.0000	false		5	10	4.0000		false
wh3_deer24_wuren_weapon	0	9	20	6	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
wh3_deer24_wuseng_weapon	14	10	20	6	3.0000	spear	halberd		1	1.0000	0.7500	0.0000	false		0	10	3.0000		false
wh3_deer24_xianzhen_weapon	16	0	13	27	2.0000	spear	halberd		1	1.0000	0.7500	0.0000	false		0	10	4.4000		false
wh3_deer24_xuanwu_weapon	0	15	140	160	9.0000	axe	axe	medium	4	1.0000	1.2500	0.0000	true	wh_main_unit_contact_poison	0	10	3.7000		false
