key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!nag_nagash
nag_bone_golems	0	8	60	30	2.0000	axe	club_medium	medium	5	1.1000	1.0000	0.0000	false		0	10	4.0000		false
vigpro_grn_choppa_dual_big_uns	0	8	29	13	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.9000		false
nag_nagashi_guard	0	8	30	14	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.4000		false
nag_nagashi_guard_halb	8	0	16	28	2.0000	spear	halberd		4	1.0000	1.0000	0.0000	false		0	10	4.9000		false
nag_spirit_hosts	0	0	0	16	1.0000	sword	creatures_claws		1	1.0000	1.0000	0.0000	true		0	10	4.3000		false
nag_warp_ghouls	0	0	40	13	3.0000	axe	creatures_claws	small	1	1.0000	1.0000	0.0000	true	nag_warp_ghouls_poison	0	10	4.0000		false
nag_skeleton_reaper_scythe	0	8	12	16	1.0000	axe	halberd	small	1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
nag_morghasts	0	0	60	120	2.0000	axe	axe	medium	6	1.2000	1.0000	0.0000	false		0	10	4.0000		false
nag_nagashi_lance	0	0	12	38	1.0000	lance	spear		1	1.0000	0.7500	0.0000	true	wh_dlc08_unit_contact_frostbite	0	10	5.1000		false
nag_spectre_swarm	0	0	0	28	3.0000	sword	creatures_claws	medium	3	1.0000	1.0000	0.0000	true	nag_contact_slownado	0	10	4.3000		false
