key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!1a_glf_unit_expansion
glf_brt_crossbowmen	false	glf_brt_crossbowmen	crossbow	false
glf_brt_herrimault	false	glf_brt_herrimault	bow	false
glf_brt_longbowmen	false	glf_brt_longbowmen	bow	false
glf_chd_infernal_guard_flamethrower	false	glf_chd_infernal_guard_flamethrower	drakegun	false
glf_chd_infernal_guard_machinegun_missile	false	glf_chd_infernal_guard_machinegun_projectile	wh3_dlc23_fireglaive	false
glf_cth_great_bastion_guard_missile	false	glf_cth_great_bastion_guard_projectile	hand_cannon	false
glf_cth_jade_chariot_crossbow	false	glf_cth_jade_chariot_crossbow	crossbow	false
glf_cth_jade_riders_crossbow	false	glf_cth_jade_riders_crossbow	crossbow	false
glf_cth_jade_warriors_javelin_missile	false	glf_cth_jade_warriors_javelin_projectile	javelin	false
glf_cth_terracotta_sentinel_giant_bow_missile	false	glf_cth_terracotta_sentinel_giant_bow_projectile		false
glf_def_human_slaves_missile	false	glf_def_human_slaves_projectile	javelin	false
glf_def_shades_handbow_missile	false	glf_def_shades_handbow_projectile	crossbow	false
glf_dwf_machine_gunner_missile	false	glf_dwf_machine_gunner_projectile	repeater_rifle	false
glf_dwf_raiders_missile	false	glf_dwf_raiders_projectile	javelin	false
glf_dwf_sniper_missile	false	glf_dwf_sniper_projectile	repeater_rifle	false
glf_emp_celestial_hurricanum	false	glf_emp_celestial_hurricanum	luminark	false
glf_hef_avelorn_reavers_missile	false	glf_hef_avelorn_reavers_projectile	bow	false
glf_ogr_ogres_crossbow	false	glf_ogr_ogres_crossbow	crossbow	false
glf_skv_clanrats_crossbow	false	glf_skv_clanrats_crossbow	crossbow	false
glf_skv_handgunners_missile	false	glf_skv_handgunners_projectile	wh2_dlc12_warplock_jezzails	false
glf_skv_stormfiend_rattling_gun	false	glf_skv_stormfiend_rattling_gun	clattergun	false
glf_skv_stormfiend_warpfire	false	glf_skv_stormfiend_warpfire	warpfiregun	false
glf_sla_daemonette_archers_missile	false	glf_sla_daemonette_archers_projectile	bow	false
glf_sla_daemonette_exalted_archers_missile	false	glf_sla_daemonette_exalted_archers_projectile	bow	false
glf_sp_black_archers	false	glf_sp_black_archers	bow	false
glf_sp_mercenary_crossbow_cavalry	false	glf_sp_mercenary_crossbow_cavalry	crossbow	false
glf_sp_mercenary_crossbowmen	false	glf_sp_mercenary_crossbowmen	crossbow	false
glf_sp_mercenary_dwarf_guard	false	glf_sp_mercenary_dwarf_guard	pistol	false
glf_sp_mercenary_rangers	false	glf_sp_mercenary_rangers	bow	false
glf_tmb_nehekhara_scout_missile	false	glf_tmb_nehekhara_scout_projectile	bow	false
glf_vmp_skeleton_archers_missile	false	glf_vmp_skeleton_archers_projectile	bow	false
wh3_dlc26_ogr_inf_eshin_maneater_ror	false	wh3_dlc26_ogr_inf_eshin_maneater_ror		false
