key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!17C_Deithland_Main
emp_pyrehulks_fusilaxe_gun	false	emp_pyrehulks_fusilaxe_projectile	wh2_dlc12_warplock_jezzails	false
wh_main_emp_drilling_gun	false	wh_emp_rifle_bullet_emp_deithland_drilling_gun_shotgun	pistol_Ogre	false
wh_main_emp_handgonne	false	wh_emp_rifle_bullet_emp_deithland_handgonne	blunderbuss	false
wh_main_emp_rifle_deithland	false	wh_emp_rifle_bullet_emp_deithland_rifle	repeater_gun	false
emp_steamsuits_volley_gun	false	emp_pyrehulks_volley_projectile	pistol_Ogre	false
emp_tillerguns_gun	false	emp_tillerguns_projectile	wh2_dlc12_warplock_jezzails	false
emp_danzigers_gun	false	emp_danziger_projectile	hell_cannon	false
emp_hellbores_gun	false	emp_hellbores_explosive_projectile	magma_cannon	false
wh_main_emp_carbine_deithland	false	wh_emp_rifle_bullet_emp_deithland_carbine	repeater_gun	false
wh_main_emp_blasterkey_deithland	false	wh_emp_rifle_bullet_emp_deithland_rifle	repeater_gun	false
emp_mortar_muskets_gun	false	emp_mortar_muskets_explosive_projectile	poison_wind_mortar	false
emp_cinderwind_arbalests_arbalest	false	emp_cinderwind_arbalests_projectile	bolt_launcher_eagle_claw	false
