key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!Zerooz_All_Units
cth_inf_moon_yinyang_maiden	false	cth_yang_arrow	bow	false
hef_inf_scouts_of_eternal	false	hef_inf_scouts_of_eternal	bow	false
cth_cav_jade_crossbow_arrow	false	cth_cav_jade_crossbow_arrow	crossbow	false
ogr_leadbelchers_longrange	false	ogr_leadbelchers_longrange	great_cannon	false
cth_cav_celestial_crossbow_rider_arrow	false	cth_cav_celestial_crossbow_rider_arrow	crossbow	false
emp_inf_sterntower_marksmen	false	emp_inf_sterntower_marksmen	crossbow	false
chs_inf_chaos_marauders_mnur_throwing_axes	false	chs_inf_chaos_marauders_mnur_throwing_axes		false
cth_cav_jade_longma_crassbow_arrow	false	cth_cav_jade_longma_crassbow_arrow	crossbow	false
ogr_inf_orger_hunter_spear	false	ogr_inf_orger_hunter_spear		false
wef_mon_treemen_acher_evil_arrow	false	wef_mon_treemen_acher_evil_arrow		false
emp_inf_ostland_salamanders	false	emp_inf_ostland_salamanders		false
emp_cav_dual_pistols_demigryph_knights	false	emp_cav_dual_pistols_demigryph_knights	wh3_dlc23_fireglaive	false
hef_inf_hunter_of_chrace	false	hef_inf_hunter_of_chrace	bow	false
def_mon_shadow_lifetaker	false	def_mon_shadow_lifetaker	wh2_dlc14_medusa_gaze	false
def_inf_khaine_tracker	false	def_inf_khaine_tracker		false
hef_inf_sea_master	false	hef_inf_sea_master_arrow	bow	false
hef_inf_mage_of_hoeth	false	hef_inf_mage_of_hoeth_magic_arrow		false
cth_veh_war_compass_1	false	cth_veh_war_compass_1	luminark	false
hef_cav_skyraider_of_eternal	false	hef_cav_skyraider_of_eternal	javelin	false
cth_cav_nangao_fire_lance	false	cth_cav_nangao_fire_lance	iron_hail_gunner	false
cth_inf_onyx_armored_crowmen_black_feather	false	cth_inf_onyx_armored_crowmen_black_feather	bow	false
hef_cav_sister_of_eternal	false	hef_cav_sister_of_eternal	bow	false
hef_cav_cothique_shore_watcher_bow	false	hef_cav_cothique_shore_watcher_bow	bow	false
tza_inf_change_of_thousand_sons	false	tza_inf_change_of_thousand_sons		false
cth_mon_terracotta_sentinel_watcher_arrow	false	cth_mon_terracotta_sentinel_watcher_arrow	bow_large	false
hef_brave_acher_arrow	false	hef_brave_acher_arrow	bow	false
cth_sky_arc_cannon	false	cth_sky_arc_cannon	grand_cannon	false
nur_mon_plague_toads_armoured_bombard	false	nur_mon_plague_toads_armoured_bombard		false
haven_crossbowman	false	haven_crossbowman	crossbow	false
hef_cav_cothique_deepsea_marauders_bolt_of_illumination	false	hef_cav_cothique_deepsea_marauders_bolt_of_illumination	luminark	false
talsyn_hawks_dagger	true	talsyn_hawks_dagger	javelin	false
tza_veh_doom_chariot_blue_fire	false	tza_veh_doom_chariot_blue_fire		false
emp_inf_nuln_ironsides_repeaters	false	emp_inf_nuln_ironsides_repeaters	repeater_rifle	false
hef_cav_rider_of_eternal	false	hef_cav_rider_of_eternal	bow	false
emp_inf_nuln_ironsides_heavy_armor	false	emp_inf_nuln_ironsides_heavy_armor	repeater_gun	false
nur_inf_plague_ogres_cannon	false	nur_inf_plague_ogres_cannon		false
nur_inf_centigors_throwing_axes	false	nur_inf_centigors_throwing_axes		false
emp_inf_dark_angel	false	emp_inf_dark_angel	wh3_dlc23_fireglaive	false
cth_thunder_attack_gunners	false	cth_thunder_attack_gunners	iron_hail_gunner	false
cth_inf_fire_explosion_crossbow	false	cth_explostion_arrow_start	crossbow	false
hef_cav_strike_of_eternal	false	hef_cav_strike_of_eternal	bow	false
wef_mon_treemen_acher_arrow	false	wef_mon_treemen_acher_arrow		false
emp_inf_nuln_ironsides_morr_repeaters	false	emp_inf_nuln_ironsides_morr_repeaters	repeater_rifle	false
emp_cav_knight_of_the_raven	false	emp_cav_knight_of_the_raven	bow	false
ogr_leadbelchers_flame	false	ogr_leadbelchers_flame	flame_cannon	false
cth_inf_nangao_firework_trops	false	cth_inf_nangao_firework_trops	iron_hail_gunner	false
hef_inf_dual_axe_of_chrace	false	hef_inf_dual_axe_of_chrace		false
great_stag_rangers_arrow	false	great_stag_rangers_arrow	bow	false
emp_inf_bronzeballs	false	emp_inf_bronzeballs	repeater_gun	false
cth_inf_thunderbolt_gunners	false	cth_inf_thunderbolt_gunners	hand_cannon	false
cth_sky_boat_volley_cannon	false	cth_sky_boat_volley_cannon	gatling_gun	false
emp_inf_free_hunting_corps	false	emp_inf_free_hunting_corps	pistol_LH	false
cth_inf_pioneer_scouts_arrow	false	cth_inf_pioneer_scouts_arrow	bow	false
twilight_guard_arrow	false	twilight_guard_arrow	bow	false
emp_inf_sigmar_marksmen	false	emp_inf_sigmar_marksmen_ap	crossbow_LH	false
