key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!Trajanns_Khorne_Compilation
traj_kho_bastiladon_revive	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform_healing	body	traj_kho_bastiladon_revive	wh2_main_vo_culture_Lizardmen
traj_bloodfeaster_mount	bc2_griffon	wh_main_flying_griffon_blood	plate	traj_bloodfeaster_mount	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
eku_thundertusk_mount	hq3b_dlc26_thundertusk	wh3_dlc26_ogr_monster_thundertusk	body	eku_thundertusk_mount	wh3_main_vo_culture_Ogres
traj_kho_skink_riders_mount	rp3_cold_one	wh2_main_lzd_cavalry_feral_cold_one_blood	body	traj_kho_cav_cold_one_mount	wh2_main_vo_culture_Lizardmen
traj_kho_khornate_guard_riders	rp3_cold_one	wh2_main_lzd_cavalry_horned_one_blood	body	traj_kho_khornate_guard_rider_mount	wh2_main_vo_culture_Lizardmen
traj_kho_cav_necropolis_knight_mount	sn1_serpent	wh2_dlc09_tmb_cav_necroserpent	bone	traj_kho_cav_necropolis_knight_mount	vo_culture_None
traj_kho_forsaken_rider_hound	bc4_dlc25_rot_beast	wh3_main_kho_mon_flesh_hound_blood	body	traj_kho_forsaken_rider_hound	vo_culture_Invalid
traj_kho_cav_longma_mount	hr1_wh3_longma	wh3_main_flying_jade_longma_blood	leather	traj_kho_cav_longma_mount	wh_main_vo_culture_Pegasus
traj_kho_cav_grail_knight_mount	hr1_warhorse	wh_main_brt_mnt_cavalry_knights_heavy_blood	plate	traj_kho_cav_grail_knight_mount	wh_main_vo_culture_Horse
eku_juggernaught_chariot_mount	hq4_wh3_juggernaut	wh3_main_kho_mnt_juggernaut	plate	eku_juggernaught_chariot_mount	vo_culture_Invalid
traj_kho_cav_blood_knight_mount	hr1_warhorse	wh_dlc02_vmp_cavalry_standard_blood_knight_blood	leather	traj_kho_cav_blood_knight_mount	wh_main_vo_culture_Skeletal_horse
traj_kho_terradon	bi3_terradon	wh2_main_lzd_terradon_blood	body	traj_kho_terradon_mount	wh2_main_vo_culture_Lizardmen
traj_kho_cav_cold_one_mount	rp3_cold_one	traj_kho_cav_cold_one_mount	body	traj_kho_cav_cold_one_mount	wh2_main_vo_culture_Lizardmen
traj_bloodcharger_mount	st1_dlc16_great_stag	wh2_dlc16_wef_cav_great_stag_blood	body	traj_bloodcharger_mount	wh_main_vo_culture_Horse
traj_kho_cav_outrider_mount	hr1_warhorse	wh_dlc04_emp_cavalry_blazing_sun_blood	plate	traj_kho_cav_outrider_mount	wh_dlc03_vo_culture_Beastmen
traj_kho_bastiladon_engine	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform	body	traj_kho_bastiladon_engine	wh2_main_vo_culture_Lizardmen
eku_dragon_princes_mounted_mount	hr1_warhorse	wh2_main_hef_mnt_barded_steed_dragon_princes	plate	eku_dragon_princes_mounted_mount	wh_main_vo_culture_Horse
traj_kho_cav_war_bear_mount	be1_wh3_warbear	wh3_main_ksl_cav_war_bear_hero	plate	traj_kho_cav_war_bear_mount	wh_main_vo_culture_Kislev
traj_kho_stegadon_cannon	hq1_stegadon	wh2_main_lzd_mon_stegadon_platform	body	traj_kho_stegadon_cannon	wh2_main_vo_culture_Lizardmen
eku_arachnarok_spider_mount	sp1_arachnarok	wh_main_monster_spider_arachnarok_blood	body	eku_arachnarok_spider_mount	wh_main_vo_culture_Spider_Small
traj_kho_stegadon_shrine	hq1_stegadon	wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods	body	traj_kho_stegadon_shrine	wh2_main_vo_culture_Lizardmen
traj_bloodtracker_mount	rp3_cold_one	wh2_main_def_cavalry_cold_one_blood	body	traj_bloodtracker_mount	wh2_main_vo_culture_Dark_Elves
bloodsaurian_normal	rp4_dlc13_dread_saurian_howdaah	bloodsaurian	body	bloodsaurian_normal	vo_culture_Invalid
eku_heavy_war_sled_mount	be1_wh3_warbear_warsled_draught	wh3_main_ksl_cav_war_bear_draught_heavy_war_sled_blood	plate	eku_heavy_war_sled_mount	wh_main_vo_culture_Kislev
traj_kho_cav_crusher_mount	hq2_wh3_mournfang	wh3_main_ogr_mnt_rhinox_blood	body	traj_kho_cav_crusher_mount	wh3_main_vo_culture_Ogres
traj_bloodseeker_mount	hr1_pegasus	wh_main_flying_pegasus_hero_blood	plate	traj_bloodseeker_mount	wh_main_vo_culture_Pegasus
traj_kho_ripperdactyl	bi3_ripperdactyl	wh2_dlc12_lzd_ripperdactyl_blood	body	traj_kho_ripperdactyl_mount	wh2_main_vo_culture_Lizardmen
