key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!ghs_great_harmony
cth_armour_longmanowing	hr1_warhorse	cth_dark_warchariot_true	plate	cth_armour_longmanowing	wh_main_vo_culture_Horse
wh3_main_cth_mnt_missile_horse_heavy	hr1_warhorse	cth_dark_warchariot_true	plate	wh3_main_cth_mnt_horse_heavy	wh_main_vo_culture_Horse
ksl_mon_ksl_flying_eagle	bi1_hawk	wh_dlc05_wef_hawk_blood	body	ksl_flying_eagle	wh_main_vo_culture_Hawk
lzd_giant_ripperdactyl	bi2_wyvern	ghs_lzd_mon_giant_ripperdactyl	leather	ghs_lzd_mon_giant_ripperdactyl	wh_main_vo_culture_Dragon_Small
ghs_cth_jet_lion_mount	ghs_cth_jet_lion_mount	ghs_cth_jet_lion_mount	plate	ghs_cth_jet_lion_mount	vo_culture_None
dwf_goat_ironbreaker_mnt	bo1_goat	dwf_goat_rider_medieum_blood	leather	dwf_goat_ironbreaker_mnt	wh_main_vo_culture_Horse
dwf_goat_ranger_mnt	bo1_goat	dwf_goat_rider_light_blood	chainmail	dwf_goat_ranger_mnt	wh_main_vo_culture_Horse
ksl_ice_guard_bear	be1_wh3_warbear	ghs_cav_ksl_ice_guard_bear	plate	ksl_ice_guard_bear	wh_main_vo_culture_Kislev
ghs_cth_mon_dragon_titan	gi2_cst_colossus	ghs_cth_mon_dragon_titan	plate	ghs_cth_mon_dragon_titan	vo_culture_Invalid
ghs_cav_wef_zoat_mount	ce2_dlc16_zoat_2handed_mace	ghs_cav_wef_zoat_mount	plate	ghs_cav_wef_zoat_mount	wh2_dlc16_vo_culture_Zoat
ghs_tmb_skeleton_ostrich	tmb_skeleton_ostrich	ghs_tmb_skeleton_ostrich	body	ghs_tmb_skeleton_ostrich	vo_culture_Invalid
dwf_morgrim	gi2_cst_colossus_flame_thrower	dwf_god_machine	body	dwf_morgrim	vo_culture_Invalid
skv_mon_hellpit_ratling	skv_hellpit_ratling_01	wh2_main_skv_monster_hell_pit_abomination	body	skv_mon_hellpit_ratling	vo_culture_Invalid
cth_black_longma_heavy	hr1_pegasus	wh3_main_flying_jade_longma_blood	leather	cth_black_longma_heavy	wh_main_vo_culture_Pegasus
skv_mon_hellpit_warpflame	skv_hellpit_warpflame_01	wh2_main_skv_monster_hell_pit_abomination	body	skv_mon_hellpit_warpflame	vo_culture_Invalid
ghs_mnt_hef_pegasus	hr1_pegasus	ghs_mnt_hef_pegasus	leather	ghs_mnt_hef_pegasus	wh_main_vo_culture_Pegasus
dwf_grungni	gi2_cst_colossus	dwf_god_machine	bone	dwf_grungni	vo_culture_Invalid
ghs_ksl_cav_alces_rider	ghs_ksl_mnt_alces	ghs_ksl_mnt_alces_rider	body	ghs_ksl_cav_alces_rider	wh_main_vo_culture_Horse
ghs_wm_hef_flying_waystone	ghs_wm_hef_flying_waystone	ghs_wm_hef_flying_waystone	body	ghs_wm_hef_flying_waystone	vo_culture_None
ghs_tmb_heavy_skeleton_ostrich	tmb_heavy_skeleton_ostrich	ghs_tmb_heavy_skeleton_ostrich	body	ghs_tmb_heavy_skeleton_ostrich	vo_culture_Invalid
dwf_valaya	gi2_cst_colossus	dwf_god_machine	bone	dwf_valaya	vo_culture_Invalid
ghs_wm_def_black_ark	ghs_wm_def_black_ark	ghs_wm_def_black_ark	body	ghs_wm_def_black_ark	wh_main_vo_culture_Dragon_Large
cth_steed_chariot	hr1_warhorse_draught	cth_dark_warchariot_true	plate	wh3_main_cth_mnt_horse_heavy	wh_main_vo_culture_Horse
dwf_goat_hammer_mnt	bo1_goat	dwf_goat_rider_heavy_blood	heavy_metal	dwf_goat_hammer_mnt	wh_main_vo_culture_Horse
ghs_main_nur_mon_titan	gi2_cst_colossus	ghs_main_nur_mon_titan	plate	ghs_main_nur_mon_titan	vo_culture_Invalid
ghs_mon_hef_flying_lion	bc2_griffon	wh_main_flying_griffon_blood	plate	ghs_mon_hef_flying_lion	wh2_dlc15_vo_culture_War_Lion
cth_armour_warpanda	be1_wh3_warbear	cth_armour_warpanda	plate	cth_armour_warpanda	wh_main_vo_culture_Kislev
dwf_flame_cannon_chariot	bo1_warboar_draught	dwf_goat_rider_medieum_blood	leather	dwf_goat_hammer_mnt	wh_main_vo_culture_Horse
dwf_gun_chariot	bo1_warboar_draught	dwf_goat_rider_medieum_blood	leather	dwf_goat_hammer_mnt	wh_main_vo_culture_Horse
dwf_ancestor_statue	gi2_cst_colossus	dwf_ancestor_statue	bone	dwf_ancestor_statue	vo_culture_Invalid
ghs_hef_white_lion_mount	bc4_dlc15_lion	ghs_hef_mon_war_lion_rider	plate	ghs_hef_white_lion_mount	wh2_dlc15_vo_culture_War_Lion
ghs_main_sla_mon_titan	gi2_cst_colossus	ghs_main_sla_mon_titan	plate	ghs_main_sla_mon_titan	vo_culture_Invalid
skv_mon_hellpit_warpdrill	skv_hellpit_warpdrill_01	wh2_main_skv_monster_hell_pit_abomination	body	skv_mon_hellpit_warpdrill	vo_culture_Invalid
ghs_def_mon_manticore_rider	bc3_manticore	ghs_def_mon_manticore_rider	body	wh2_dlc10_def_manticore	wh_main_vo_culture_Manticore
ghs_main_kho_mon_titan	gi2_cst_colossus_flame_thrower	ghs_main_kho_mon_titan	plate	ghs_main_kho_mon_titan	vo_culture_Invalid
ghs_main_tze_mon_titan	gi2_cst_colossus	ghs_main_tze_mon_titan	plate	ghs_main_tze_mon_titan	vo_culture_Invalid
dwf_grimnir	gi2_cst_colossus	dwf_god_machine	bone	dwf_grimnir	vo_culture_Invalid
ghs_mon_def_armour_hydra	ghs_mon_def_armour_hydra	ghs_mon_def_armour_hydra	body	ghs_mon_def_armour_hydra	wh2_main_vo_culture_Hydra
