key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!TW_Millennium_Public
wh_twm_emp_12_shotgun_short_shell	musket	small_arm_default		none	9	low	45	0	88	150.0000	0.0000	1.5000	0	2	false	false	0.0001	2.0000	30.0000	6.0000	3	0	wh_emp_shotgun_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	very_low	120	false	false	false	false	1	false	false	false	false	1.0000		false	0.4500	0.4000		placeholder
wh_twm_emp_13,25mm_mg_bullet	musket	small_arm_default		none	1	low	250	0	88	300.0000	0.0000	0.0000	0	30	false	false	0.0130	2.7500	125.0000	3.0000	40	20	wh_twm_7,92mm_machine_gun_bullet		wh_twm_machine_gun_bullet	-1.0000	true	wh_twm_unit_contact_suppressive_fire_machine_gun	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium_2	500	false	false	false	false	30	false	true	false	true	1.0000		false	0.4500	0.4000		placeholder
wh_twm_emp_13,25mm_rifle_bullet	musket	small_arm_default		none	1	low	275	0	88	400.0000	0.0000	0.0000	0	60	false	false	0.0130	10.0000	100.0000	2.0000	80	40	wh_twm_7,92mm_bullet		wh_bullet	-1.0000	true	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low_3	500	false	false	false	false	1	false	false	false	true	1.0000		false	0.4500	0.4000		placeholder
wh_twm_emp_17cm_mortar_dummy_shell	artillery	artillery_explosive	wh_twm_emp_17cm_mortar_he_shell_explosion_radius_2	none	1	fixed	325	45	90	200.0000	0.0000	0.0000	50	20	false	false	0.7000	4.0000	300.0000	40.0000	0	0	emp_modern_artillery_dummy_shot		none	0.1700	false		30.0000	1	0.0000	50.0000			0.0000	false	false	false	55	low	1	false	true	false	false	1	false	false	false	true	2.0000		false	0.4200	0.4000		placeholder
wh_twm_emp_20mm_autocannon_shot	artillery	artillery_default		none	1	low	300	25	88	250.0000	10.0000	1.0000	35	65	false	false	0.2000	0.2500	240.0000	4.0000	0	0	emp_3,7cm_autocannon_shot		wh_twm_3,7cm_autocannon_shot	0.0100	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	30	medium_3	1000	false	false	false	false	3	true	false	false	true	1.0000		false	0.4500	0.4000		placeholder
wh_twm_emp_3,7cm_autocannon_dummy_shell	artillery	artillery_default	wh_twm_emp_3,7cm_autocannon_shell_explosion	none	1	low	350	0	90	250.0000	0.0000	0.0000	20	10	false	false	0.0370	0.0500	280.0000	3.0000	0	0	emp_3,7cm_autocannon_dummy_shot		wh_twm_3,7cm_autocannon_dummy_shot	0.0100	true		-1.0000	1	0.0000	0.0000			0.0000	false	true	true	30	low	1	false	false	false	false	1	true	false	false	true	1.0000		false	0.4500	0.4000		placeholder
wh_twm_emp_5,7cm_cannon_ap_shot	artillery	artillery_default		none	1	low	400	0	20	200.0000	15.0000	0.0000	176	264	true	false	0.0570	1.6600	320.0000	7.0000	0	0	emp_5,7cm_cannon_shell		wh_twm_medium_tank_cannon_shot	0.2000	true		-1.0000	1	0.0000	40.0000			0.0000	false	false	true	45	very_high	1500	false	false	false	false	1	true	false	false	true	1.0000		false	0.4500	0.4000		twm_emp_artillery_armor_piercing_shot
wh_twm_emp_5,7cm_cannon_he_shell	artillery	artillery_default	wh_twm_emp_5,7cm_cannon_he_shell_explosion_radius_2	none	1	low	400	0	20	175.0000	12.0000	0.0000	45	145	false	false	0.0570	2.4000	320.0000	7.0000	0	0	emp_5,7cm_cannon_shell		wh_twm_medium_tank_cannon_shot	1.2500	true		-1.0000	1	0.0000	40.0000			0.0000	false	false	false	45	very_low	1500	false	true	false	false	1	true	false	true	true	1.0000		false	0.4500	0.4000	wh_twm_emp_5,7cm_he_shell_explosion_vortex_radius_3	twm_emp_artillery_explosive_shell
wh_twm_emp_50mm_rocket_he	artillery	artillery_explosive	wh_twm_emp_50mm_rocket_he_explosion	none	1	low	275	40	65	100.0000	5.0000	0.0000	0	0	false	false	0.0500	0.2000	275.0000	25.0000	0	0	emp_modern_rocket_50mm		wh_helstorm_rocket	0.0500	true		-1.0000	1	0.0000	4.0000			0.0000	false	true	true	45	low	800	false	true	false	true	4	true	false	false	true	1.0000		false	0.0000	0.4000		placeholder
