key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!ghs_great_harmony
cth_black_snow_crossbow_longma	arrow	small_arm_default		none	2	dual_low_fixed	145	0	88	75.0000	30.0000	1.2000	6	30	false	false	0.1000	12.0000	120.0000	2.0000	0	0	wh3_main_cth_celestial_guard_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	cth_unit_contact_snow	-1.0000	1	0.0000	5.0000			0.0000	false	true	false	45	very_low	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
cth_black_snow_crossbow_shield	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	75.0000	10.0000	1.0000	4	16	false	false	0.1000	12.0000	120.0000	2.0000	0	0	wh3_main_cth_celestial_guard_crossbow_bolt		wh_crossbow_bolt_normal	-1.0000	false	cth_unit_contact_snow	-1.0000	2	0.0100	5.0000			0.0000	false	true	false	45	very_low	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.9000	0.4000		placeholder
cth_dragon_turtle_bolt	artillery	artillery_default	cth_dragon_turtle_bolt_explosion	none	1	dual_low_fixed	400	10	45	90.0000	20.0000	4.0000	60	30	true	false	0.1000	25.0000	300.0000	6.0000	0	0	cth_dragon_turtle_bolt		wh2_bolt_thrower_eagle_claw	0.3000	true	wh2_dlc12_unit_contact_flammable	-1.0000	1	0.0000	50.0000			1.0000	false	true	true	45	medium_3	-1	false	false	false	false	28	true	false	false	true	1.0000		false	0.4400	0.4000		placeholder
cth_female_bullet	musket	small_arm_default		none	1	low	160	0	88	100.0000	10.0000	0.0000	2	10	false	false	0.1000	15.0000	135.0000	1.0000	0	0	wh_emp_rifle_bullet		wh3_dlc25_emp_rifle_repeater_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low	-1	false	false	false	false	2	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
cth_fly_compass_thunder	artillery	artillery_default	wh3_main_weapon_abilities_thundermace	shell_spin	1	low	300	20	88	110.0000	30.0000	0.0000	0	450	false	false	1.0000	15.0000	250.0000	0.1000	0	0	wh3_projectile_ksl_lightning_tower		wh3_ksl_tower_lightning	1.0000	true		0.8500	1	0.0000	100.0000			0.0000	true	true	false	45	very_high_low_entity	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.5000	0.4000		placeholder
cth_jade_warrior_grenade	arrow	explosives	cth_grenade_explosion	grenade_spin	1	dual_low_fixed	120	5	88	40.0000	10.0000	0.0000	10	2	false	false	0.0500	10.0000	100.0000	10.0000	0	0	wh_emp_grenade		wh_grenade	0.0500	false		-1.0000	1	0.0000	1.0000			1.0000	false	false	true	55		-1	false	false	false	false	1	false	false	false	true	1.0000		false	1.0500	0.4000		placeholder
cth_terracotta_arrow	artillery	artillery_default		none	1	low	275	0	88	75.0000	20.0000	0.0000	0	80	false	false	0.1000	15.0000	250.0000	2.0000	0	0	cth_terracotta_arrow		wh2_ushabti_bolt	-1.0000	true		-1.0000	1	0.0000	20.0000			0.0000	true	true	false	45	medium_2	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.6000	0.4000		placeholder
cth_terracotta_rocket	artillery	artillery_default	wh3_main_cth_tower_explosion_cannon_ball	none	3	low	450	10	45	120.0000	25.0000	0.3000	50	300	true	false	0.3000	15.0000	300.0000	3.0000	0	150	wh3_main_cth_grand_cannon_ball		wh3_main_cth_grand_cannon_ball	0.3000	true	wh2_dlc11_unit_contact_monstrous_impact	-1.0000	1	0.0000	400.0000			0.0000	true	true	false	45	very_high_6	-1	false	false	true	false	1	false	false	true	true	2.0000		false	0.5000	0.4000		placeholder
dwf_cannon_chariot	artillery	artillery_default		none	1	low	400	0	40	100.0000	30.0000	0.0000	80	350	true	false	0.1000	28.0000	265.0000	7.8000	0	0	wh_dwf_cannon_ball		wh_cannon_cannonball_normal	0.4000	true		-1.0000	1	0.0000	350.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	false	false	true	true	1.5000		false	0.0000	0.4000		dwf_cannon_ball
dwf_flame_cannon_chariot	artillery	artillery_default	wh_main_dwf_flamecannon_explosion	none	1	fixed	230	0	45	45.0000	20.0000	0.0000	250	150	false	false	1.0000	18.0000	120.0000	9.9000	10	0	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	-1.0000	true	wh_main_unit_contact_morale	4.0000	1	0.0000	40.0000			1.0000	false	true	true	23	very_low	350	false	false	false	true	6	false	false	false	true	1.5000		false	0.0000	0.4000		dwf_flame_cannon_flame
dwf_goat_drakegun_grenade	arrow	explosives	wh_main_dwf_cinderblast_explosion	none	1	dual_low_fixed	110	0	88	35.0000	10.0000	0.0000	10	40	false	false	0.0500	25.0000	60.0000	1.7000	0	20	wh_dwf_drakegun_trollhammer		wh_drakegun_troll_hammer	-1.0000	false		-1.0000	1	0.0000	150.0000			0.0000	false	true	true	45	very_low	-1	false	true	false	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
dwf_goat_ranger_rifle	musket	small_arm_default		none	1	low	180	0	88	100.0000	20.0000	0.0000	0	15	false	false	0.0500	15.0000	110.0000	1.6500	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.5000	0.4000		placeholder
dwf_grimnir	artillery	artillery_default		none	4	low	450	0	45	110.0000	20.0000	2.0000	110	140	true	false	0.2000	12.0000	225.0000	10.0000	0	0	wh_dwf_cannon_ball		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high_low_entity	-1	false	false	true	false	1	true	false	true	true	1.0000		false	0.5000	0.4000		placeholder
dwf_grungni	artillery	artillery_default		none	4	low	450	0	45	110.0000	20.0000	2.0000	90	160	true	false	0.2000	12.0000	250.0000	5.0000	0	0	wh_dwf_cannon_ball		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high_low_entity	-1	false	false	true	false	1	true	false	true	true	1.0000		false	0.5000	0.4000		placeholder
