key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!str_toro_skaven
warp_bombard	artillery	artillery_explosive	wh2_main_skv_plagueclaw	axe_spin	7	fixed	380	60	56	68.0000	10.0000	10.0000	33	20	false	false	0.1600	20.0000	275.0000	400.0000	0	0	wh2_main_skv_plagueclaw		wh2_catapult_plagueclaw	0.8000	true	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	50	low	600	false	false	false	false	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
warp_bomber	misc	artillery_explosive	drg_toro_missile_explode	shell_spin	1	low	45	0	50	15.0000	3.0000	6.0000	34	80	false	false	2.0000	10.0000	25.0000	8.0000	0	0	wh2_main_hero_abilities_doomrocket		wh3_cth_tower_helstorm_rocket	1.7500	true		-1.0000	6	0.5000	300.0000			0.0000	false	true	true	45	very_high	-1	false	true	false	true	1	false	false	true	true	1.0000		false	0.5600	0.4000		placeholder
warp_runners	sling	small_arm_default		shell_spin	1	dual_low_fixed	200	0	88	100.0000	15.0000	0.0000	6	6	false	false	0.0500	5.0000	150.0000	0.6000	0	0	wh2_dlc12_skv_warp_jezzails_ror		wh2_dlc12_warplock_jezzail_bullet	-1.0000	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	50	medium_1	600	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
warp_gunship	artillery	artillery_explosive	wh2_main_skv_poison_wind_globe	none	1	low	200	0	75	85.0000	20.0000	0.0000	6	16	false	false	0.1000	4.0000	120.0000	8.0000	0	0	wh2_dlc12_skv_ratling_gun		wh2_helblaster_bullet_multi_impact_large	-1.0000	true	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	10.0000			0.0000	false	true	true	40	very_low	600	false	true	false	false	1	false	false	true	true	1.0000		false	8.4000	0.4000		placeholder
skaven_mech_at	artillery	artillery_default	wh2_main_skv_warp_lightning	none	1	low	330	0	60	170.0000	20.0000	0.0000	40	180	false	false	0.4000	5.0000	300.0000	5.0000	0	50	wh2_main_skv_warp_lightning		wh2_main_skv_warp_lightning_cannon	1.5000	true		6.0000	1	0.0000	250.0000	homing_strong_magical_fast		0.0000	true	true	true	45	very_high_low_entity	700	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
skaven_mech	artillery	artillery_default	wh2_main_skv_doomwheel_warp_lightning	none	1	low	290	0	60	300.0000	20.0000	0.0000	20	60	false	false	0.4000	5.0000	300.0000	5.0000	0	0	wh2_dlc12_skv_storm_daemon_lightning		wh_magic_gaze_of_mork	0.8000	true		-1.0000	1	0.0000	300.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	false	true	3	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
skaven_mech_gat	musket	small_arm_heavy		none	1	low	260	0	88	120.0000	10.0000	0.0000	4	10	false	false	0.0500	5.0000	60.0000	2.4000	11	0	wh2_dlc12_skv_ratling_gun		wh2_helblaster_bullet_multi_impact_large	0.4000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	50.0000			0.0000	false	true	true	35	very_high_low_entity	300	false	false	false	false	78	false	false	true	true	1.0000		false	0.4200	0.4000		placeholder
warp_tank	misc	artillery_explosive	wh2_main_skv_plagueclaw	shell_spin	1	low	200	0	50	75.0000	30.0000	0.0000	40	110	false	false	2.0000	5.0000	250.0000	1.0000	0	30	wh2_main_skv_warp_lightning		wh2_dlc09_abilities_venom_staff	1.5000	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high	-1	false	false	false	true	1	false	false	true	true	1.0000		true	0.5600	0.4000		placeholder
warp_zeppelin	artillery	artillery_explosive	wh2_main_skv_plagueclaw	none	3	low	160	20	65	72.0000	10.0000	0.0000	120	0	false	false	2.0000	8.0000	120.0000	8.0000	15	0	wh2_main_hero_abilities_doomrocket		wh3_cth_tower_helstorm_rocket	1.7500	true		-1.0000	1	0.0000	300.0000			0.0000	true	true	true	45	very_high	800	false	false	false	false	1	false	false	true	true	2.0000		false	0.0000	0.4000		placeholder
