key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!DEER24Cathay
wh3_deer24_JINJUN	wh2_main_def_spy	campaign_exclusives
wh3_deer24_JINJUNQI2	wh3_bear_cavalry	campaign_exclusives
doushen	wh3_main_cth_gate_master	heroes_agents
wh3_deer24_BINGYONG2	wh3_cth_terracotta_sentinel	monster_beasts
wh3_deer24_JINJUNQI	wh_dlc05_wef_wild_riders	campaign_exclusives
wh3_deer24_BINGYONG	wh3_cth_terracotta_sentinel	monster_beasts
wh3_deer24_shenshou	wh_dlc05_wef_treeman	monster_beasts
wwd_daoren	wh2_main_skv_missile_infantry_globe	infantry
huangfengling_unit	wh2_dlc16_skv_chieftain	campaign_exclusives
wh3_deer24_DANEISHE	wh2_main_def_dignitary	missile_infantry
wh3_deer24_JINJUNSHE	wh2_dlc10_hef_handmaiden	campaign_exclusives
wh3_deer24_DANEI	wh2_main_def_dignitary	infantry
xingshengbubingbow	missile_infantry_bow	campaign_exclusives
xingshengbubinghalberd	infantry_spear_halberd	campaign_exclusives
xingshengbubingsword	infantry_sword	campaign_exclusives
