key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!snek_guns_of_the_empire
snek_missile_infantry_bayonet	missile_infantry_bayonet	missile_infantry
snek_emp_flying_missile_cav	snek_emp_flying_missile_cav	missile_cavalry_chariots
snek_emp_war_balloon	snek_emp_war_balloon	flying_war_machine
snek_missile_field_engineers	combat_engineer_infantry	missile_infantry
snek_missile_cavalry_hybrid	missile_cavalry_pistol_hybrid	missile_cavalry_chariots
snek_missile_infantry_skirmish	missile_infantry_rifle	missile_infantry
snek_missile_infantry_gatling_gun	missile_infantry_gatling_gun	missile_infantry
snek_missile_infantry_grenade	wh2_dlc11_cst_explosives_infantry	missile_infantry
snek_emp_flying_infantry	snek_emp_flying_infantry	missile_infantry
snek_emp_steamcopter	snek_emp_steamcopter	flying_war_machine
